FBpp0078415	FBgn0037330	Drosophila_melanogaster
F02A9.4.1	WBGene00008514	Caenorhabditis_elegans_strain_N2
ENSACAP00000004063	ENSACAG00000004173	Anolis_carolinensis
ENSPVIP00000020111	ENSPVIG00000015350	Pogona_vitticeps
ENSNSUP00000020082	ENSNSUG00000014642	Notechis_scutatus
ENSSMRP00000011434	ENSSMRG00000008983	Salvator_merianae
ENSSPUP00000004312	ENSSPUG00000003347	Sphenodon_punctatus
ENSAOWP00000024685	ENSAOWG00000016687	Apteryx_owenii	ENSAOWT00000027967
ENSAHAP00000012580	ENSAHAG00000009059	Apteryx_haastii	ENSAHAT00000013931
ENSARWP00000002656	ENSARWG00000001991	Apteryx_rowi	ENSARWT00000003091
ENSDNVP00000003272	ENSDNVG00000002316	Dromaius_novaehollandiae	ENSDNVT00000003935
ENSNPEP00000017752	ENSNPEG00000013127	Nothoprocta_perdicaria
ENSCPUP00000017937	ENSCPUG00000012369	Calidris_pugnax
ENSCPGP00000016951	ENSCPGG00000011889	Calidris_pygmaea
ENSMUNP00000016856	ENSMUNG00000012968	Melopsittacus_undulatus
ENSZALP00000014920	ENSZALG00000012318	Zonotrichia_albicollis
ENSJHYP00000020128	ENSJHYG00000015290	Junco_hyemalis
ENSTGUP00000008478	ENSTGUG00000008225	Taeniopygia_guttata
ENSLSDP00000006646	ENSLSDG00000005031	Lonchura_striata_domestica
ENSSCAP00000001748	ENSSCAG00000001482	Serinus_canaria
ENSFALP00000007224	ENSFALG00000006925	Ficedula_albicollis
ENSCCEP00000020310	ENSCCEG00000018396	Cyanistes_caeruleus
ENSPMJP00000023300	ENSPMJG00000017220	Parus_major
ENSLCOP00000004401	ENSLCOG00000003379	Lepidothrix_coronata
ENSMVIP00005012565	ENSMVIG00005009132	Manacus_vitellinus
ENSABRP00000020066	ENSABRG00000017157	Anser_brachyrhynchus
ENSAPLP00000032212	ENSAPLG00000017027	Anas_platyrhynchos_platyrhynchos
ENSGALP00000004833	ENSGALG00000003067	Gallus_gallus
ENSCJPP00005009170	ENSCJPG00005008104	Coturnix_japonica
ENSNMEP00000005602	ENSNMEG00000005808	Numida_meleagris
ENSCPRP00005005918	ENSCPRG00005004235	Crocodylus_porosus
ENSGAGP00000026141	ENSGAGG00000019089	Gopherus_agassizii
ENSCABP00000014175	ENSCABG00000010577	Chelonoidis_abingdonii
ENSCPBP00000027605	ENSCPBG00000019508	Chrysemys_picta_bellii
ENSPSIP00000007715	ENSPSIG00000007051	Pelodiscus_sinensis
ENSCCNP00000000117	ENSCCNG00000000167	Castor_canadensis
ENSDORP00000002956	ENSDORG00000003160	Dipodomys_ordii
ENSMOCP00000012625	ENSMOCG00000012676	Microtus_ochrogaster
ENSPEMP00000012278	ENSPEMG00000012661	Peromyscus_maniculatus_bairdii
ENSCGRP00001023864	ENSCGRG00001021967	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005463	ENSCGRG00000003999	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015008489	ENSCGRG00015006594	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000011742	ENSMAUG00000012251	Mesocricetus_auratus
ENSMSIP00000020060	ENSMSIG00000017035	Mus_spicilegus
MGP_SPRETEiJ_P0019638	MGP_SPRETEiJ_G0015124	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000027464	ENSMUSG00000026248	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0018623	MGP_CAROLIEiJ_G0014318	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0073930	MGP_PahariEiJ_G0027556	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000020420	ENSRNOG00000015231	Rattus_norvegicus
ENSMUGP00000023881	ENSMUGG00000019967	Meriones_unguiculatus
ENSNGAP00000023095	ENSNGAG00000021751	Nannospalax_galili
ENSJJAP00000014463	ENSJJAG00000016921	Jaculus_jaculus
ENSCPOP00000019407	ENSCPOG00000026825	Cavia_porcellus
ENSCAPP00000015539	ENSCAPG00000015639	Cavia_aperea
ENSCLAP00000020208	ENSCLAG00000013842	Chinchilla_lanigera
ENSODEP00000008581	ENSODEG00000006415	Octodon_degus
ENSHGLP00000009168	ENSHGLG00000006588	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100002089	ENSHGLG00100001630	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013036	ENSHGLG00000009321	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016897	ENSHGLG00100012465	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009020	ENSFDAG00000017124	Fukomys_damarensis
ENSSTOP00000018018	ENSSTOG00000029006	Ictidomys_tridecemlineatus
ENSSDAP00000019962	ENSSDAG00000018199	Spermophilus_dauricus
ENSUPAP00010017403	ENSUPAG00010013857	Urocitellus_parryii
ENSMMMP00000024197	ENSMMMG00000021181	Marmota_marmota_marmota
ENSOCUP00000011645	ENSOCUG00000013542	Oryctolagus_cuniculus
ENSPPAP00000018696	ENSPPAG00000032507	Pan_paniscus
ENSPTRP00000022181	ENSPTRG00000012981	Pan_troglodytes
ENSP00000258383	ENSG00000135900	Homo_sapiens
ENSGGOP00000013858	ENSGGOG00000014207	Gorilla_gorilla
ENSPPYP00000014783	ENSPPYG00000013228	Pongo_abelii
ENSNLEP00000030282	ENSNLEG00000027769	Nomascus_leucogenys
ENSCANP00000002798	ENSCANG00000010372	Colobus_angolensis_palliatus
ENSPTEP00000043515	ENSPTEG00000039621	Piliocolobus_tephrosceles
ENSRROP00000016147	ENSRROG00000032230	Rhinopithecus_roxellana
ENSRBIP00000008535	ENSRBIG00000028158	Rhinopithecus_bieti
ENSMNEP00000012613	ENSMNEG00000030596	Macaca_nemestrina
ENSMFAP00000000147	ENSMFAG00000042793	Macaca_fascicularis
ENSMMUP00000008101	ENSMMUG00000006160	Macaca_mulatta
ENSPANP00000022138	ENSPANG00000018302	Papio_anubis
ENSTGEP00000017815	ENSTGEG00000014408	Theropithecus_gelada
ENSMLEP00000010985	ENSMLEG00000029688	Mandrillus_leucophaeus
ENSCATP00000023926	ENSCATG00000035507	Cercocebus_atys
ENSCSAP00000004000	ENSCSAG00000007739	Chlorocebus_sabaeus
ENSSBOP00000010477	ENSSBOG00000022099	Saimiri_boliviensis_boliviensis
ENSCJAP00000070343	ENSCJAG00000012401	Callithrix_jacchus
ENSCCAP00000034402	ENSCCAG00000035165	Cebus_capucinus_imitator
ENSANAP00000042176	ENSANAG00000038369	Aotus_nancymaae
ENSTSYP00000004977	ENSTSYG00000005453	Carlito_syrichta
ENSPSMP00000037267	ENSPSMG00000025621	Prolemur_simus
ENSPCOP00000027708	ENSPCOG00000026402	Propithecus_coquereli
ENSMICP00000022818	ENSMICG00000033078	Microcebus_murinus
ENSOGAP00000013631	ENSOGAG00000015225	Otolemur_garnettii
ENSTBEP00000003296	ENSTBEG00000003814	Tupaia_belangeri
ENSMLUP00000002377	ENSMLUG00000002614	Myotis_lucifugus
ENSPVAP00000013656	ENSPVAG00000014486	Pteropus_vampyrus
ENSECAP00000032986	ENSECAG00000034074	Equus_caballus
ENSECAP00000040658	ENSECAG00000039937	Equus_caballus
ENSECAP00000035748	ENSECAG00000029584	Equus_caballus
ENSECAP00000011714	ENSECAG00000013948	Equus_caballus
ENSEASP00005016253	ENSEASG00005011288	Equus_asinus_asinus
ENSCHIP00000012522	ENSCHIG00000014243	Capra_hircus
ENSOARP00000021920	ENSOARG00000020409	Ovis_aries
ENSBIXP00005037453	ENSBIXG00005019300	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000014847	ENSBIXG00000019452	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000015301	ENSBTAG00000011514	Bos_taurus
ENSBMUP00000015581	ENSBMUG00000011848	Bos_mutus
ENSBBBP00000015401	ENSBBBG00000000421	Bison_bison_bison
ENSVPAP00000005451	ENSVPAG00000005871	Vicugna_pacos
ENSTTRP00000012717	ENSTTRG00000013403	Tursiops_truncatus
ENSSSCP00000017195	ENSSSCG00000016232	Sus_scrofa_strain_reference
ENSUMAP00000024664	ENSUMAG00000017946	Ursus_maritimus
ENSUAMP00000006675	ENSUAMG00000005829	Ursus_americanus
ENSAMEP00000012339	ENSAMEG00000011735	Ailuropoda_melanoleuca
ENSMPUP00000016585	ENSMPUG00000016688	Mustela_putorius_furo
ENSNVIP00000000632	ENSNVIG00000000548	Neovison_vison
ENSCAFP00020034358	ENSCAFG00020026648	Canis_lupus_dingo
ENSCAFP00000023885	ENSCAFG00000016214	Canis_lupus_familiaris
ENSVVUP00000033141	ENSVVUG00000023971	Vulpes_vulpes
ENSPPRP00000023375	ENSPPRG00000013631	Panthera_pardus
ENSPTIP00000006775	ENSPTIG00000008607	Panthera_tigris_altaica
ENSFCAP00000002464	ENSFCAG00000002678	Felis_catus
ENSCHOP00000004001	ENSCHOG00000004533	Choloepus_hoffmanni
ENSDNOP00000034907	ENSDNOG00000035775	Dasypus_novemcinctus
ENSLAFP00000016664	ENSLAFG00000021334	Loxodonta_africana
ENSPCAP00000007721	ENSPCAG00000008282	Procavia_capensis
ENSETEP00000013942	ENSETEG00000017182	Echinops_telfairi
ENSEEUP00000007304	ENSEEUG00000008043	Erinaceus_europaeus
ENSSARP00000002535	ENSSARG00000002816	Sorex_araneus
ENSVURP00010020625	ENSVURG00010015771	Vombatus_ursinus
ENSPCIP00000000895	ENSPCIG00000000725	Phascolarctos_cinereus
ENSSHAP00000011408	ENSSHAG00000009808	Sarcophilus_harrisii
ENSMODP00000042828	ENSMODG00000045954	Monodelphis_domestica
ENSOANP00000015451	ENSOANG00000009738	Ornithorhynchus_anatinus
ENSXETP00000024304	ENSXETG00000004537	Xenopus_tropicalis
ENSLACP00000010560	ENSLACG00000009306	Latimeria_chalumnae
ENSORLP00015020582	ENSORLG00015021720	Oryzias_latipes_ASM223469v1
ENSORLP00020012643	ENSORLG00020013568	Oryzias_latipes_ASM223471v1
ENSORLP00000014873	ENSORLG00000011871	Oryzias_latipes_ASM223467v1
ENSOMEP00000003012	ENSOMEG00000003920	Oryzias_melastigma
ENSTRUP00000019638	ENSTRUG00000007892	Takifugu_rubripes
ENSCSEP00000002401	ENSCSEG00000001612	Cynoglossus_semilaevis
ENSMALP00000011716	ENSMALG00000008333	Monopterus_albus
ENSMAMP00000007213	ENSMAMG00000004925	Mastacembelus_armatus
ENSBSLP00000044063	ENSBSLG00000020904	Betta_splendens
ENSATEP00000006376	ENSATEG00000004508	Anabas_testudineus
ENSLCAP00010033210	ENSLCAG00010015607	Lates_calcarifer
ENSSMAP00000033132	ENSSMAG00000020295	Scophthalmus_maximus
ENSSDUP00000027896	ENSSDUG00000020174	Seriola_dumerili
ENSSLDP00000010744	ENSSLDG00000008564	Seriola_lalandi_dorsalis
ENSLCRP00005045221	ENSLCRG00005017304	Larimichthys_crocea
ENSMMOP00000011740	ENSMMOG00000009023	Mola_mola
ENSLBEP00000035295	ENSLBEG00000026498	Labrus_bergylta
ENSCGOP00000043332	ENSCGOG00000019564	Cottoperca_gobio
ENSGACP00000009770	ENSGACG00000007362	Gasterosteus_aculeatus
ENSAOCP00000022052	ENSAOCG00000007299	Amphiprion_ocellaris
ENSAPEP00000027028	ENSAPEG00000019210	Amphiprion_percula
ENSAPOP00000033147	ENSAPOG00000021536	Acanthochromis_polyacanthus
ENSSPAP00000008633	ENSSPAG00000006580	Stegastes_partitus
ENSPRNP00000043932	ENSPRNG00000021419	Parambassis_ranga
ENSXMAP00000010808	ENSXMAG00000010787	Xiphophorus_maculatus
ENSXCOP00000017070	ENSXCOG00000012878	Xiphophorus_couchianus
ENSGAFP00000006645	ENSGAFG00000004536	Gambusia_affinis
ENSPFOP00000026552	ENSPFOG00000022776	Poecilia_formosa
ENSPMEP00000034644	ENSPMEG00000024020	Poecilia_mexicana
ENSPLAP00000010133	ENSPLAG00000012992	Poecilia_latipinna
ENSPREP00000026095	ENSPREG00000017644	Poecilia_reticulata
ENSCVAP00000030295	ENSCVAG00000018722	Cyprinodon_variegatus
ENSFHEP00000022043	ENSFHEG00000002174	Fundulus_heteroclitus
ENSKMAP00000004141	ENSKMAG00000003162	Kryptolebias_marmoratus
ENSGWIP00000050666	ENSGWIG00000024585	Gouania_willdenowi
ENSACLP00000007815	ENSACLG00000005317	Astatotilapia_calliptera
