ENSAOWP00000020904	ENSAOWG00000014105	Apteryx_owenii	ENSAOWT00000023679
ENSARWP00000027032	ENSARWG00000018271	Apteryx_rowi	ENSARWT00000030575
ENSAHAP00000009862	ENSAHAG00000007055	Apteryx_haastii	ENSAHAT00000010939
ENSDNVP00000001508	ENSDNVG00000001091	Dromaius_novaehollandiae	ENSDNVT00000001812
ENSNPEP00000006663	ENSNPEG00000004896	Nothoprocta_perdicaria
ENSCPGP00000028398	ENSCPGG00000019525	Calidris_pygmaea
ENSCPUP00000011246	ENSCPUG00000007816	Calidris_pugnax
ENSMUNP00000020874	ENSMUNG00000015763	Melopsittacus_undulatus
ENSJHYP00000022804	ENSJHYG00000017191	Junco_hyemalis
ENSZALP00000010656	ENSZALG00000009008	Zonotrichia_albicollis
ENSSCAP00000018640	ENSSCAG00000013481	Serinus_canaria
ENSTGUP00000006081	ENSTGUG00000005861	Taeniopygia_guttata
ENSLSDP00000009916	ENSLSDG00000006786	Lonchura_striata_domestica
ENSCCEP00000009007	ENSCCEG00000009175	Cyanistes_caeruleus
ENSPMJP00000014426	ENSPMJG00000010939	Parus_major
ENSFALP00000010687	ENSFALG00000010220	Ficedula_albicollis
ENSLCOP00000020535	ENSLCOG00000014536	Lepidothrix_coronata
ENSMVIP00005011574	ENSMVIG00005008146	Manacus_vitellinus
ENSABRP00000005555	ENSABRG00000005205	Anser_brachyrhynchus
ENSAPLP00000002855	ENSAPLG00000003314	Anas_platyrhynchos_platyrhynchos
ENSGALP00000049194	ENSGALG00000009572	Gallus_gallus
ENSCJPP00005016291	ENSCJPG00005013409	Coturnix_japonica
ENSMGAP00000009793	ENSMGAG00000009481	Meleagris_gallopavo
ENSNMEP00000012704	ENSNMEG00000011252	Numida_meleagris
ENSCPRP00005013021	ENSCPRG00005009043	Crocodylus_porosus
ENSCABP00000006614	ENSCABG00000004999	Chelonoidis_abingdonii
ENSGAGP00000004282	ENSGAGG00000003550	Gopherus_agassizii
ENSCPBP00000021554	ENSCPBG00000015412	Chrysemys_picta_bellii
ENSPSIP00000015839	ENSPSIG00000013955	Pelodiscus_sinensis
ENSACAP00000002964	ENSACAG00000003071	Anolis_carolinensis
ENSPVIP00000020955	ENSPVIG00000015931	Pogona_vitticeps
ENSSMRP00000020327	ENSSMRG00000015811	Salvator_merianae
ENSSPUP00000012727	ENSSPUG00000009668	Sphenodon_punctatus
ENSCHOP00000000850	ENSCHOG00000000955	Choloepus_hoffmanni
ENSDNOP00000003636	ENSDNOG00000004700	Dasypus_novemcinctus
ENSLAFP00000026437	ENSLAFG00000026033	Loxodonta_africana
ENSLAFP00000026869	ENSLAFG00000029229	Loxodonta_africana
ENSPCAP00000009825	ENSPCAG00000010312	Procavia_capensis
ENSETEP00000011525	ENSETEG00000014201	Echinops_telfairi
ENSPVAP00000014614	ENSPVAG00000015494	Pteropus_vampyrus
ENSMLUP00000006016	ENSMLUG00000006566	Myotis_lucifugus
ENSAMEP00000018278	ENSAMEG00000017294	Ailuropoda_melanoleuca
ENSAMEP00000001730	ENSAMEG00000001655	Ailuropoda_melanoleuca
ENSUMAP00000033599	ENSUMAG00000024203	Ursus_maritimus
ENSUAMP00000001425	ENSUAMG00000001300	Ursus_americanus
ENSMPUP00000000347	ENSMPUG00000000352	Mustela_putorius_furo
ENSNVIP00000009207	ENSNVIG00000007207	Neovison_vison
ENSCAFP00000014324	ENSCAFG00000009744	Canis_lupus_familiaris
ENSCAFP00020013065	ENSCAFG00020010483	Canis_lupus_dingo
ENSVVUP00000023016	ENSVVUG00000016835	Vulpes_vulpes
ENSPTIP00000019704	ENSPTIG00000017347	Panthera_tigris_altaica
ENSPPRP00000005619	ENSPPRG00000001433	Panthera_pardus
ENSFCAP00000010117	ENSFCAG00000010889	Felis_catus
ENSBIXP00000017194	ENSBIXG00000004030	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005041633	ENSBIXG00005004224	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000036833	ENSBTAG00000000395	Bos_taurus
ENSBMUP00000026973	ENSBMUG00000020214	Bos_mutus
ENSBBBP00000007632	ENSBBBG00000015661	Bison_bison_bison
ENSOARP00000021178	ENSOARG00000019717	Ovis_aries
ENSCHIP00000033564	ENSCHIG00000027074	Capra_hircus
ENSTTRP00000009637	ENSTTRG00000010127	Tursiops_truncatus
ENSSSCP00000000845	ENSSSCG00000000795	Sus_scrofa_strain_reference
ENSVPAP00000001389	ENSVPAG00000001499	Vicugna_pacos
ENSEASP00005034426	ENSEASG00005023494	Equus_asinus_asinus
ENSECAP00000018989	ENSECAG00000020835	Equus_caballus
ENSSARP00000009761	ENSSARG00000010775	Sorex_araneus
ENSEEUP00000011934	ENSEEUG00000012986	Erinaceus_europaeus
ENSCLAP00000007130	ENSCLAG00000005016	Chinchilla_lanigera
ENSODEP00000004433	ENSODEG00000003382	Octodon_degus
ENSCPOP00000004605	ENSCPOG00000005119	Cavia_porcellus
ENSCAPP00000010493	ENSCAPG00000011728	Cavia_aperea
ENSHGLP00100016595	ENSHGLG00100012253	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006456	ENSHGLG00000004720	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021521	ENSFDAG00000007646	Fukomys_damarensis
ENSUPAP00010001279	ENSUPAG00010000990	Urocitellus_parryii
ENSSTOP00000010828	ENSSTOG00000012059	Ictidomys_tridecemlineatus
ENSSDAP00000011499	ENSSDAG00000010303	Spermophilus_dauricus
ENSMMMP00000025754	ENSMMMG00000022568	Marmota_marmota_marmota
MGP_SPRETEiJ_P0041389	MGP_SPRETEiJ_G0021090	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000024741	ENSMSIG00000020830	Mus_spicilegus
ENSMUSP00000036330	ENSMUSG00000022449	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0039567	MGP_CAROLIEiJ_G0020194	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0042919	MGP_PahariEiJ_G0020198	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000041609	ENSRNOG00000033397	Rattus_norvegicus
ENSMUGP00000024969	ENSMUGG00000020789	Meriones_unguiculatus
ENSPEMP00000019340	ENSPEMG00000017664	Peromyscus_maniculatus_bairdii
ENSMOCP00000003270	ENSMOCG00000002582	Microtus_ochrogaster
ENSCGRP00000000220	ENSCGRG00000000218	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001007239	ENSCGRG00001009652	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015001907	ENSCGRG00015001465	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000012397	ENSMAUG00000012674	Mesocricetus_auratus
ENSNGAP00000007509	ENSNGAG00000010724	Nannospalax_galili
ENSJJAP00000017601	ENSJJAG00000019070	Jaculus_jaculus
ENSOCUP00000028196	ENSOCUG00000012959	Oryctolagus_cuniculus
ENSOPRP00000000423	ENSOPRG00000000453	Ochotona_princeps
ENSDORP00000012383	ENSDORG00000013168	Dipodomys_ordii
ENSCCNP00000022819	ENSCCNG00000022437	Castor_canadensis
ENSTBEP00000011405	ENSTBEG00000013104	Tupaia_belangeri
ENSPPAP00000042249	ENSPPAG00000043703	Pan_paniscus
ENSPTRP00000078571	ENSPTRG00000004841	Pan_troglodytes
ENSP00000374071	ENSG00000173157	Homo_sapiens
ENSGGOP00000002511	ENSGGOG00000002541	Gorilla_gorilla
ENSPPYP00000005050	ENSPPYG00000004425	Pongo_abelii
ENSNLEP00000032948	ENSNLEG00000017936	Nomascus_leucogenys
ENSMMUP00000018329	ENSMMUG00000013942	Macaca_mulatta
ENSMFAP00000024705	ENSMFAG00000043872	Macaca_fascicularis
ENSMNEP00000017984	ENSMNEG00000032916	Macaca_nemestrina
ENSCATP00000035071	ENSCATG00000040417	Cercocebus_atys
ENSPANP00000001234	ENSPANG00000015479	Papio_anubis
ENSTGEP00000008912	ENSTGEG00000007333	Theropithecus_gelada
ENSTGEP00000009788	ENSTGEG00000008049	Theropithecus_gelada
ENSMLEP00000027120	ENSMLEG00000037772	Mandrillus_leucophaeus
ENSCSAP00000003117	ENSCSAG00000006963	Chlorocebus_sabaeus
ENSRBIP00000020886	ENSRBIG00000034418	Rhinopithecus_bieti
ENSRROP00000033592	ENSRROG00000040368	Rhinopithecus_roxellana
ENSPTEP00000016619	ENSPTEG00000018231	Piliocolobus_tephrosceles
ENSCANP00000014050	ENSCANG00000030427	Colobus_angolensis_palliatus
ENSCCAP00000010793	ENSCCAG00000023155	Cebus_capucinus_imitator
ENSSBOP00000005480	ENSSBOG00000019557	Saimiri_boliviensis_boliviensis
ENSCJAP00000024751	ENSCJAG00000013458	Callithrix_jacchus
ENSANAP00000040590	ENSANAG00000037642	Aotus_nancymaae
ENSTSYP00000007845	ENSTSYG00000008499	Carlito_syrichta
ENSPSMP00000021655	ENSPSMG00000015278	Prolemur_simus
ENSPCOP00000012226	ENSPCOG00000017667	Propithecus_coquereli
ENSMICP00000013367	ENSMICG00000014631	Microcebus_murinus
ENSOGAP00000006726	ENSOGAG00000007508	Otolemur_garnettii
ENSOANP00000007871	ENSOANG00000004962	Ornithorhynchus_anatinus
ENSXETP00000002013	ENSXETG00000006086	Xenopus_tropicalis
ENSPVIP00000020956	ENSPVIG00000015949	Pogona_vitticeps
ENSHHUP00000005019	ENSHHUG00000003115	Hucho_hucho
ENSLACP00000016519	ENSLACG00000014555	Latimeria_chalumnae
ENSCHAP00000039863	ENSCHAG00000018032	Clupea_harengus
ENSDCDP00000050713	ENSDCDG00000030862	Denticeps_clupeoides
ENSAMXP00005033449	ENSAMXG00005014744	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000015125	ENSAMXG00000014651	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000012182	ENSPNAG00000018037	Pygocentrus_nattereri
ENSIPUP00000021672	ENSIPUG00000014644	Ictalurus_punctatus
ENSEEEP00000041920	ENSEEEG00000019807	Electrophorus_electricus
ENSTNIP00000019072	ENSTNIG00000015984	Tetraodon_nigroviridis
ENSPMGP00000013074	ENSPMGG00000010776	Periophthalmus_magnuspinnatus
ENSATEP00000026933	ENSATEG00000018585	Anabas_testudineus
ENSBSLP00000052314	ENSBSLG00000024588	Betta_splendens
ENSMAMP00000034483	ENSMAMG00000023175	Mastacembelus_armatus
ENSMALP00000017920	ENSMALG00000012449	Monopterus_albus
ENSHCOP00000004367	ENSHCOG00000005964	Hippocampus_comes
ENSHCOP00000004333	ENSHCOG00000005779	Hippocampus_comes
ENSSMAP00000012925	ENSSMAG00000007900	Scophthalmus_maximus
ENSCSEP00000011903	ENSCSEG00000007625	Cynoglossus_semilaevis
ENSSDUP00000032045	ENSSDUG00000022977	Seriola_dumerili
ENSSLDP00000029861	ENSSLDG00000022994	Seriola_lalandi_dorsalis
ENSLCAP00010051240	ENSLCAG00010023794	Lates_calcarifer
ENSMMOP00000019326	ENSMMOG00000014632	Mola_mola
ENSTRUP00000042872	ENSTRUG00000016748	Takifugu_rubripes
ENSLBEP00000017458	ENSLBEG00000013401	Labrus_bergylta
ENSLCRP00005050436	ENSLCRG00005018756	Larimichthys_crocea
ENSCGOP00000044533	ENSCGOG00000019903	Cottoperca_gobio
ENSGACP00000005356	ENSGACG00000004063	Gasterosteus_aculeatus
ENSAOCP00000011966	ENSAOCG00000016432	Amphiprion_ocellaris
ENSAPEP00000011789	ENSAPEG00000008305	Amphiprion_percula
ENSAPOP00000028710	ENSAPOG00000014217	Acanthochromis_polyacanthus
ENSSPAP00000029012	ENSSPAG00000021797	Stegastes_partitus
ENSPRNP00000055740	ENSPRNG00000026100	Parambassis_ranga
ENSHBUP00000021761	ENSHBUG00000001654	Haplochromis_burtoni
ENSACLP00000000200	ENSACLG00000000156	Astatotilapia_calliptera
ENSPNYP00000007300	ENSPNYG00000005239	Pundamilia_nyererei
ENSMZEP00005011374	ENSMZEG00005008339	Maylandia_zebra
ENSNBRP00000026999	ENSNBRG00000019988	Neolamprologus_brichardi
ENSONIP00000010955	ENSONIG00000008715	Oreochromis_niloticus
ENSACIP00000003209	ENSACIG00000002491	Amphilophus_citrinellus
ENSXMAP00000017405	ENSXMAG00000017324	Xiphophorus_maculatus
ENSXCOP00000027942	ENSXCOG00000020840	Xiphophorus_couchianus
ENSGAFP00000001997	ENSGAFG00000001255	Gambusia_affinis
