ENSMLUP00000006586	ENSMLUG00000007207	Myotis_lucifugus
ENSPVAP00000001560	ENSPVAG00000001654	Pteropus_vampyrus
ENSEASP00005008534	ENSEASG00005006142	Equus_asinus_asinus
ENSECAP00000043440	ENSECAG00000014063	Equus_caballus
ENSMPUP00000003769	ENSMPUG00000003800	Mustela_putorius_furo
ENSNVIP00000029022	ENSNVIG00000022368	Neovison_vison
ENSCAFP00020013179	ENSCAFG00020010588	Canis_lupus_dingo
ENSCAFP00000021850	ENSCAFG00000014833	Canis_lupus_familiaris
ENSVVUP00000032844	ENSVVUG00000023768	Vulpes_vulpes
ENSUAMP00000020365	ENSUAMG00000016055	Ursus_americanus
ENSUAMP00000023841	ENSUAMG00000018653	Ursus_americanus
ENSUMAP00000006112	ENSUMAG00000004788	Ursus_maritimus
ENSAMEP00000011822	ENSAMEG00000011211	Ailuropoda_melanoleuca
ENSPPRP00000014483	ENSPPRG00000007393	Panthera_pardus
ENSPTIP00000006122	ENSPTIG00000008106	Panthera_tigris_altaica
ENSFCAP00000051682	ENSFCAG00000009527	Felis_catus
ENSEEUP00000001878	ENSEEUG00000002066	Erinaceus_europaeus
ENSBIXP00000014066	ENSBIXG00000018858	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005035812	ENSBIXG00005017055	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000072685	ENSBTAG00000000429	Bos_taurus
ENSBMUP00000006694	ENSBMUG00000005302	Bos_mutus
ENSBBBP00000010197	ENSBBBG00000004487	Bison_bison_bison
ENSCHIP00000000489	ENSCHIG00000000347	Capra_hircus
ENSOARP00000003129	ENSOARG00000002945	Ovis_aries
ENSTTRP00000006462	ENSTTRG00000006835	Tursiops_truncatus
ENSMSIP00000023494	ENSMSIG00000019893	Mus_spicilegus
ENSMUSP00000012152	ENSMUSG00000003166	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0042579	MGP_SPRETEiJ_G0021424	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0040728	MGP_CAROLIEiJ_G0020529	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0028114	MGP_PahariEiJ_G0016234	Mus_pahari_strain_PAHARI_EIJ
MGP_SPRETEiJ_P0042576	MGP_SPRETEiJ_G0021423	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000115071	ENSMUSG00000092470	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0040725	MGP_CAROLIEiJ_G0020528	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0028111	MGP_PahariEiJ_G0016233	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069196	ENSRNOG00000061814	Rattus_norvegicus
ENSRNOP00000042758	ENSRNOG00000029216	Rattus_norvegicus
ENSRNOP00000048627	ENSRNOG00000049965	Rattus_norvegicus
ENSMUGP00000026019	ENSMUGG00000021692	Meriones_unguiculatus
ENSMOCP00000017735	ENSMOCG00000016234	Microtus_ochrogaster
ENSPEMP00000025052	ENSPEMG00000021594	Peromyscus_maniculatus_bairdii
ENSCGRP00001008458	ENSCGRG00001010718	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009468	ENSCGRG00015007191	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000004688	ENSCGRG00000003442	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000017079	ENSMAUG00000016026	Mesocricetus_auratus
ENSNGAP00000011194	ENSNGAG00000013399	Nannospalax_galili
ENSJJAP00000023044	ENSJJAG00000022914	Jaculus_jaculus
ENSCCNP00000026187	ENSCCNG00000025441	Castor_canadensis	ENSCCNT00000033223
ENSDORP00000016268	ENSDORG00000010097	Dipodomys_ordii	ENSDORT00000035880
ENSUPAP00010014835	ENSUPAG00010011875	Urocitellus_parryii	ENSUPAT00010016952
ENSMMMP00000002948	ENSMMMG00000002630	Marmota_marmota_marmota
ENSSTOP00000026489	ENSSTOG00000002774	Ictidomys_tridecemlineatus	ENSSTOT00000032808
ENSSDAP00000011037	ENSSDAG00000009913	Spermophilus_dauricus
ENSHGLP00000001932	ENSHGLG00000001472	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006204	ENSHGLG00100004665	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007783	ENSFDAG00000016338	Fukomys_damarensis
ENSCLAP00000021844	ENSCLAG00000014962	Chinchilla_lanigera
ENSODEP00000022741	ENSODEG00000016687	Octodon_degus
ENSCPOP00000027336	ENSCPOG00000002706	Cavia_porcellus
ENSCAPP00000015080	ENSCAPG00000015293	Cavia_aperea
ENSOPRP00000010561	ENSOPRG00000011577	Ochotona_princeps
ENSPTRP00000024201	ENSPTRG00000014053	Pan_troglodytes
ENSPPAP00000008772	ENSPPAG00000027620	Pan_paniscus
ENSP00000263196	ENSG00000070413	Homo_sapiens
ENSPPYP00000012907	ENSPPYG00000011571	Pongo_abelii
ENSPANP00000001194	ENSPANG00000015766	Papio_anubis
ENSTGEP00000003498	ENSTGEG00000002972	Theropithecus_gelada
ENSMNEP00000014461	ENSMNEG00000031352	Macaca_nemestrina
ENSMMUP00000037317	ENSMMUG00000019925	Macaca_mulatta
ENSCSAP00000007678	ENSCSAG00000011477	Chlorocebus_sabaeus
ENSRROP00000026516	ENSRROG00000036994	Rhinopithecus_roxellana
ENSRBIP00000013504	ENSRBIG00000030793	Rhinopithecus_bieti
ENSPTEP00000010141	ENSPTEG00000011537	Piliocolobus_tephrosceles
ENSCANP00000019921	ENSCANG00000033337	Colobus_angolensis_palliatus
ENSGGOP00000024580	ENSGGOG00000028492	Gorilla_gorilla
ENSNLEP00000024342	ENSNLEG00000005117	Nomascus_leucogenys
ENSCATP00000015469	ENSCATG00000031705	Cercocebus_atys
ENSMFAP00000035917	ENSMFAG00000034320	Macaca_fascicularis
ENSMLEP00000038681	ENSMLEG00000043386	Mandrillus_leucophaeus
ENSCCAP00000025213	ENSCCAG00000030344	Cebus_capucinus_imitator
ENSSBOP00000014797	ENSSBOG00000024086	Saimiri_boliviensis_boliviensis
ENSCJAP00000050900	ENSCJAG00000001699	Callithrix_jacchus
ENSANAP00000010009	ENSANAG00000022985	Aotus_nancymaae
ENSTSYP00000007546	ENSTSYG00000008239	Carlito_syrichta
ENSPCOP00000007227	ENSPCOG00000014840	Propithecus_coquereli
ENSPCOP00000011657	ENSPCOG00000017357	Propithecus_coquereli
ENSMICP00000010589	ENSMICG00000011635	Microcebus_murinus
ENSPSMP00000029911	ENSPSMG00000020759	Prolemur_simus
ENSOGAP00000001205	ENSOGAG00000001352	Otolemur_garnettii
ENSTBEP00000000716	ENSTBEG00000000823	Tupaia_belangeri
ENSOCUP00000010351	ENSOCUG00000012030	Oryctolagus_cuniculus
ENSSSCP00000049857	ENSSSCG00000036280	Sus_scrofa_strain_reference
ENSLAFP00000019891	ENSLAFG00000026369	Loxodonta_africana
ENSPCAP00000009450	ENSPCAG00000010138	Procavia_capensis
ENSETEP00000006842	ENSETEG00000008418	Echinops_telfairi
ENSDNOP00000007996	ENSDNOG00000010336	Dasypus_novemcinctus
ENSPVIP00000007642	ENSPVIG00000006240	Pogona_vitticeps
ENSACAP00000002639	ENSACAG00000002669	Anolis_carolinensis
ENSNSUP00000007844	ENSNSUG00000006127	Notechis_scutatus
ENSSMRP00000017840	ENSSMRG00000013915	Salvator_merianae
ENSSPUP00000005133	ENSSPUG00000003961	Sphenodon_punctatus
ENSTGUP00000009184	ENSTGUG00000008905	Taeniopygia_guttata
ENSTGUP00000015848	ENSTGUG00000015506	Taeniopygia_guttata
