ENSARWP00000026737	ENSARWG00000018081	Apteryx_rowi	ENSARWT00000030231
ENSDNVP00000000817	ENSDNVG00000000623	Dromaius_novaehollandiae	ENSDNVT00000000990
ENSNPEP00000017930	ENSNPEG00000013351	Nothoprocta_perdicaria	ENSNPET00000018378
ENSCJPP00005013684	ENSCJPG00005011519	Coturnix_japonica
ENSGALP00000041489	ENSGALG00000027620	Gallus_gallus
ENSNMEP00000005888	ENSNMEG00000006060	Numida_meleagris
ENSAPLP00000001680	ENSAPLG00000002256	Anas_platyrhynchos_platyrhynchos
ENSMUNP00000001082	ENSMUNG00000000943	Melopsittacus_undulatus
ENSCPGP00000018621	ENSCPGG00000013018	Calidris_pygmaea
ENSJHYP00000000591	ENSJHYG00000000570	Junco_hyemalis
ENSZALP00000012935	ENSZALG00000010792	Zonotrichia_albicollis
ENSTGUP00000001698	ENSTGUG00000001650	Taeniopygia_guttata
ENSLSDP00000024999	ENSLSDG00000017531	Lonchura_striata_domestica
ENSMVIP00005003952	ENSMVIG00005003065	Manacus_vitellinus
ENSAOWP00000004344	ENSAOWG00000003041	Apteryx_owenii
ENSAHAP00000004790	ENSAHAG00000003727	Apteryx_haastii
ENSFALP00000010682	ENSFALG00000010248	Ficedula_albicollis
ENSSCAP00000018093	ENSSCAG00000013121	Serinus_canaria
ENSCCEP00000021291	ENSCCEG00000019292	Cyanistes_caeruleus
ENSCPRP00005020703	ENSCPRG00005014395	Crocodylus_porosus
ENSGAGP00000028005	ENSGAGG00000020339	Gopherus_agassizii
ENSCHIP00000004694	ENSCHIG00000008860	Capra_hircus
ENSOARP00000004901	ENSOARG00000004581	Ovis_aries
ENSBIXP00000022747	ENSBIXG00000025537	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005011931	ENSBIXG00005016262	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000021172	ENSBTAG00000015925	Bos_taurus
ENSSSCP00000027441	ENSSSCG00000023850	Sus_scrofa_strain_reference
ENSVPAP00000010969	ENSVPAG00000011787	Vicugna_pacos
ENSCAFP00020019952	ENSCAFG00020015831	Canis_lupus_dingo
ENSTSYP00000015190	ENSTSYG00000029415	Carlito_syrichta
ENSCSAP00000009201	ENSCSAG00000013025	Chlorocebus_sabaeus
ENSPSMP00000011826	ENSPSMG00000008537	Prolemur_simus
ENSMICP00000047565	ENSMICG00000036645	Microcebus_murinus
ENSOGAP00000008194	ENSOGAG00000009141	Otolemur_garnettii
ENSRBIP00000031377	ENSRBIG00000039526	Rhinopithecus_bieti
ENSRROP00000011501	ENSRROG00000030088	Rhinopithecus_roxellana
ENSCANP00000029096	ENSCANG00000038084	Colobus_angolensis_palliatus
ENSMNEP00000014540	ENSMNEG00000031425	Macaca_nemestrina
ENSMFAP00000014694	ENSMFAG00000030531	Macaca_fascicularis
ENSCATP00000016534	ENSCATG00000032188	Cercocebus_atys
ENSGGOP00000014463	ENSGGOG00000014829	Gorilla_gorilla
ENSMMMP00000013649	ENSMMMG00000012168	Marmota_marmota_marmota
ENSLAFP00000026595	ENSLAFG00000031515	Loxodonta_africana
ENSETEP00000008779	ENSETEG00000010811	Echinops_telfairi
ENSCHOP00000009444	ENSCHOG00000010669	Choloepus_hoffmanni
