ENSCPBP00000024578	ENSCPBG00000017509	Chrysemys_picta_bellii
ENSCABP00000019618	ENSCABG00000014490	Chelonoidis_abingdonii
ENSGAGP00000015415	ENSGAGG00000011636	Gopherus_agassizii
ENSPSIP00000006307	ENSPSIG00000005838	Pelodiscus_sinensis
ENSPMJP00000017747	ENSPMJG00000013319	Parus_major
ENSJHYP00000004965	ENSJHYG00000004070	Junco_hyemalis
ENSCPUP00000002000	ENSCPUG00000001534	Calidris_pugnax
ENSABRP00000005883	ENSABRG00000005482	Anser_brachyrhynchus
ENSARWP00000016834	ENSARWG00000011621	Apteryx_rowi
ENSACAP00000006576	ENSACAG00000006736	Anolis_carolinensis
ENSPVIP00000033195	ENSPVIG00000024282	Pogona_vitticeps
ENSNSUP00000009239	ENSNSUG00000007070	Notechis_scutatus
ENSSMRP00000000716	ENSSMRG00000000649	Salvator_merianae
ENSSPUP00000010094	ENSSPUG00000007816	Sphenodon_punctatus
ENSODEP00000002317	ENSODEG00000001801	Octodon_degus
ENSCLAP00000013571	ENSCLAG00000009376	Chinchilla_lanigera
ENSCPOP00000011584	ENSCPOG00000012871	Cavia_porcellus
ENSCAPP00000005759	ENSCAPG00000008016	Cavia_aperea
ENSHGLP00000023531	ENSHGLG00000016780	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000006750	ENSHGLG00000004924	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009108	ENSHGLG00100006770	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100007643	ENSHGLG00100005709	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005046	ENSHGLG00000003699	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000020239	ENSFDAG00000008583	Fukomys_damarensis
ENSMMMP00000012388	ENSMMMG00000011094	Marmota_marmota_marmota
ENSUPAP00010021720	ENSUPAG00010017275	Urocitellus_parryii
ENSSTOP00000016331	ENSSTOG00000019858	Ictidomys_tridecemlineatus
ENSSDAP00000003288	ENSSDAG00000003138	Spermophilus_dauricus
ENSMMMP00000021152	ENSMMMG00000018644	Marmota_marmota_marmota
ENSSDAP00000003546	ENSSDAG00000003367	Spermophilus_dauricus
ENSUPAP00010000221	ENSUPAG00010000225	Urocitellus_parryii
ENSSTOP00000032126	ENSSTOG00000031910	Ictidomys_tridecemlineatus
ENSCCNP00000006734	ENSCCNG00000007149	Castor_canadensis
ENSCCNP00000032990	ENSCCNG00000031258	Castor_canadensis
ENSDORP00000006685	ENSDORG00000007132	Dipodomys_ordii
ENSNGAP00000016402	ENSNGAG00000017151	Nannospalax_galili
ENSNGAP00000005808	ENSNGAG00000008377	Nannospalax_galili
ENSMUSP00000026475	ENSMUSG00000025408	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0026279	MGP_SPRETEiJ_G0016716	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000002471	ENSMSIG00000002353	Mus_spicilegus
MGP_CAROLIEiJ_P0025001	MGP_CAROLIEiJ_G0015890	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0087663	MGP_PahariEiJ_G0031195	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000071840	ENSRNOG00000006789	Rattus_norvegicus
ENSMUGP00000009834	ENSMUGG00000008750	Meriones_unguiculatus
ENSCGRP00000021932	ENSCGRG00000015899	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015037976	ENSCGRG00015028401	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001014793	ENSCGRG00001015590	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000003446	ENSMOCG00000002751	Microtus_ochrogaster
ENSPEMP00000000782	ENSPEMG00000000565	Peromyscus_maniculatus_bairdii
ENSJJAP00000007438	ENSJJAG00000011845	Jaculus_jaculus
ENSOCUP00000016579	ENSOCUG00000023877	Oryctolagus_cuniculus
ENSOPRP00000005973	ENSOPRG00000006529	Ochotona_princeps
ENSTBEP00000000437	ENSTBEG00000000521	Tupaia_belangeri
ENSPPAP00000022208	ENSPPAG00000034304	Pan_paniscus
ENSPTRP00000043666	ENSPTRG00000022781	Pan_troglodytes
ENSP00000448665	ENSG00000175197	Homo_sapiens
ENSGGOP00000001955	ENSGGOG00000001987	Gorilla_gorilla
ENSPPYP00000005345	ENSPPYG00000004692	Pongo_abelii
ENSNLEP00000021003	ENSNLEG00000017291	Nomascus_leucogenys
ENSRBIP00000034704	ENSRBIG00000041025	Rhinopithecus_bieti
ENSRROP00000006446	ENSRROG00000025508	Rhinopithecus_roxellana
ENSPTEP00000029826	ENSPTEG00000029169	Piliocolobus_tephrosceles
ENSCANP00000020163	ENSCANG00000033513	Colobus_angolensis_palliatus
ENSMMUP00000070060	ENSMMUG00000011286	Macaca_mulatta
ENSMFAP00000027780	ENSMFAG00000045278	Macaca_fascicularis
ENSMNEP00000000014	ENSMNEG00000000019	Macaca_nemestrina
ENSCATP00000008838	ENSCATG00000026856	Cercocebus_atys
ENSPANP00000018338	ENSPANG00000024001	Papio_anubis
ENSTGEP00000021277	ENSTGEG00000017156	Theropithecus_gelada
ENSMLEP00000020226	ENSMLEG00000034327	Mandrillus_leucophaeus
ENSCSAP00000001141	ENSCSAG00000004816	Chlorocebus_sabaeus
ENSCJAP00000043609	ENSCJAG00000007243	Callithrix_jacchus
ENSCJAP00000059748	ENSCJAG00000022553	Callithrix_jacchus
ENSSBOP00000018354	ENSSBOG00000025810	Saimiri_boliviensis_boliviensis
ENSCCAP00000026395	ENSCCAG00000030994	Cebus_capucinus_imitator
ENSANAP00000021598	ENSANAG00000028583	Aotus_nancymaae
ENSTSYP00000004753	ENSTSYG00000005201	Carlito_syrichta
ENSPSMP00000032565	ENSPSMG00000022525	Prolemur_simus
ENSMICP00000004947	ENSMICG00000005434	Microcebus_murinus
ENSPCOP00000010630	ENSPCOG00000016792	Propithecus_coquereli
ENSOGAP00000004677	ENSOGAG00000005231	Otolemur_garnettii
ENSSSCP00000044365	ENSSSCG00000044553	Sus_scrofa_strain_reference
ENSVPAP00000008073	ENSVPAG00000008674	Vicugna_pacos
