ENSPREP00000002368	ENSPREG00000001741	Poecilia_reticulata
ENSCVAP00000015177	ENSCVAG00000017935	Cyprinodon_variegatus
ENSAPEP00000028283	ENSAPEG00000020082	Amphiprion_percula
ENSTNIP00000001102	ENSTNIG00000000576	Tetraodon_nigroviridis
ENSOMEP00000035437	ENSOMEG00000022703	Oryzias_melastigma
ENSATEP00000024925	ENSATEG00000017308	Anabas_testudineus
ENSBSLP00000048110	ENSBSLG00000022886	Betta_splendens
ENSMAMP00000012077	ENSMAMG00000008112	Mastacembelus_armatus
ENSPRNP00000056581	ENSPRNG00000026425	Parambassis_ranga
ENSCSEP00000033256	ENSCSEG00000021345	Cynoglossus_semilaevis
ENSHCOP00000023803	ENSHCOG00000013131	Hippocampus_comes
ENSLCRP00005027678	ENSLCRG00005011008	Larimichthys_crocea
ENSGACP00000023510	ENSGACG00000017787	Gasterosteus_aculeatus
ENSGMOP00000011583	ENSGMOG00000010795	Gadus_morhua
ENSHHUP00000008191	ENSHHUG00000005031	Hucho_hucho
ENSPNAP00000003448	ENSPNAG00000009863	Pygocentrus_nattereri
