ENSPCIP00000041082	ENSPCIG00000030046	Phascolarctos_cinereus	ENSPCIT00000050626
ENSVURP00010004577	ENSVURG00010003648	Vombatus_ursinus	ENSVURT00010005203
ENSMEUP00000014170	ENSMEUG00000015520	Notamacropus_eugenii	ENSMEUT00000015566
ENSMODP00000003023	ENSMODG00000002491	Monodelphis_domestica	ENSMODT00000003088
ENSSHAP00000021690	ENSSHAG00000018367	Sarcophilus_harrisii	ENSSHAT00000021864
ENSCCAP00000004562	ENSCCAG00000019822	Cebus_capucinus_imitator
ENSSBOP00000004635	ENSSBOG00000018974	Saimiri_boliviensis_boliviensis
ENSCJAP00000031581	ENSCJAG00000017174	Callithrix_jacchus
ENSANAP00000024838	ENSANAG00000030135	Aotus_nancymaae
ENSPTRP00000002723	ENSPTRG00000001630	Pan_troglodytes
ENSPPAP00000032602	ENSPPAG00000039182	Pan_paniscus
ENSP00000356842	ENSG00000143167	Homo_sapiens
ENSGGOP00000028172	ENSGGOG00000004520	Gorilla_gorilla
ENSPPYP00000000648	ENSPPYG00000000554	Pongo_abelii
ENSNLEP00000026052	ENSNLEG00000028779	Nomascus_leucogenys
ENSMFAP00000004477	ENSMFAG00000001951	Macaca_fascicularis
ENSMNEP00000035344	ENSMNEG00000040838	Macaca_nemestrina
ENSMMUP00000074262	ENSMMUG00000065239	Macaca_mulatta
ENSPANP00000028567	ENSPANG00000035424	Papio_anubis
ENSTGEP00000010231	ENSTGEG00000008396	Theropithecus_gelada
ENSMLEP00000030223	ENSMLEG00000039317	Mandrillus_leucophaeus
ENSCATP00000027475	ENSCATG00000037113	Cercocebus_atys
ENSCSAP00000007125	ENSCSAG00000010901	Chlorocebus_sabaeus
ENSRBIP00000010725	ENSRBIG00000029206	Rhinopithecus_bieti
ENSRROP00000014243	ENSRROG00000031341	Rhinopithecus_roxellana
ENSCANP00000030443	ENSCANG00000038883	Colobus_angolensis_palliatus
ENSPTEP00000019897	ENSPTEG00000021188	Piliocolobus_tephrosceles
ENSTSYP00000006035	ENSTSYG00000006618	Carlito_syrichta
ENSPCOP00000012505	ENSPCOG00000017837	Propithecus_coquereli
ENSMICP00000007128	ENSMICG00000007836	Microcebus_murinus
ENSPSMP00000014100	ENSPSMG00000010109	Prolemur_simus
