ENSVURP00010007417	ENSVURG00010005618	Vombatus_ursinus	ENSVURT00010008377
ENSVURP00010007156	ENSVURG00010004472	Vombatus_ursinus	ENSVURT00010008089
ENSPCIP00000027218	ENSPCIG00000020331	Phascolarctos_cinereus	ENSPCIT00000033474
ENSMEUP00000011659	ENSMEUG00000012769	Notamacropus_eugenii	ENSMEUT00000012821
ENSSHAP00000016889	ENSSHAG00000014365	Sarcophilus_harrisii	ENSSHAT00000017031
ENSMODP00000001468	ENSMODG00000001226	Monodelphis_domestica	ENSMODT00000001499
ENSPCAP00000000020	ENSPCAG00000000021	Procavia_capensis
ENSETEP00000013638	ENSETEG00000016805	Echinops_telfairi
ENSDNOP00000009451	ENSDNOG00000012151	Dasypus_novemcinctus
ENSCCNP00000014861	ENSCCNG00000015325	Castor_canadensis
ENSDORP00000012658	ENSDORG00000013462	Dipodomys_ordii
ENSMSIP00000038618	ENSMSIG00000032175	Mus_spicilegus
MGP_SPRETEiJ_P0065619	MGP_SPRETEiJ_G0027172	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000099842	ENSMUSG00000028530	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0063128	MGP_CAROLIEiJ_G0026203	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0078255	MGP_PahariEiJ_G0028540	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061649	ENSRNOG00000011157	Rattus_norvegicus
ENSMUGP00000013733	ENSMUGG00000011894	Meriones_unguiculatus
ENSMOCP00000011607	ENSMOCG00000011865	Microtus_ochrogaster
ENSPEMP00000003319	ENSPEMG00000004628	Peromyscus_maniculatus_bairdii
ENSCGRP00000010232	ENSCGRG00000007481	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006459	ENSCGRG00001008727	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015028424	ENSCGRG00015021515	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008650	ENSMAUG00000010024	Mesocricetus_auratus
ENSNGAP00000005674	ENSNGAG00000008128	Nannospalax_galili
ENSJJAP00000022099	ENSJJAG00000022247	Jaculus_jaculus
ENSHGLP00000026083	ENSHGLG00000018566	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014185	ENSHGLG00100010487	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018314	ENSFDAG00000009944	Fukomys_damarensis
ENSCAPP00000001424	ENSCAPG00000002694	Cavia_aperea
