ENSCATP00000017026	ENSCATG00000032415	Cercocebus_atys
ENSPPAP00000011314	ENSPPAG00000028861	Pan_paniscus
ENSCJAP00000069214	ENSCJAG00000047694	Callithrix_jacchus
ENSUMAP00000024934	ENSUMAG00000018162	Ursus_maritimus
ENSPSMP00000002518	ENSPSMG00000001991	Prolemur_simus
ENSCCAP00000034473	ENSCCAG00000035202	Cebus_capucinus_imitator
ENSPCAP00000007489	ENSPCAG00000008046	Procavia_capensis
ENSMFAP00000000930	ENSMFAG00000000061	Macaca_fascicularis
ENSMMUP00000055125	ENSMMUG00000047697	Macaca_mulatta
ENSPTIP00000009229	ENSPTIG00000010365	Panthera_tigris_altaica
ENSPTEP00000010817	ENSPTEG00000012200	Piliocolobus_tephrosceles
ENSTSYP00000002717	ENSTSYG00000003011	Carlito_syrichta
ENSECAP00000008205	ENSECAG00000010313	Equus_caballus
ENSDNOP00000024839	ENSDNOG00000033077	Dasypus_novemcinctus
ENSCANP00000020171	ENSCANG00000033514	Colobus_angolensis_palliatus
ENSPPYP00000011096	ENSPPYG00000009912	Pongo_abelii
ENSUMAP00000027397	ENSUMAG00000019864	Ursus_maritimus
ENSP00000315505	ENSG00000181666	Homo_sapiens
ENSPANP00000029040	ENSPANG00000033036	Papio_anubis
ENSRBIP00000009595	ENSRBIG00000028681	Rhinopithecus_bieti
ENSFCAP00000050911	ENSFCAG00000042009	Felis_catus
ENSCHOP00000001125	ENSCHOG00000001271	Choloepus_hoffmanni
ENSPCOP00000029980	ENSPCOG00000027707	Propithecus_coquereli
ENSMLEP00000032316	ENSMLEG00000040383	Mandrillus_leucophaeus
ENSMPUP00000017742	ENSMPUG00000017853	Mustela_putorius_furo
ENSSBOP00000003677	ENSSBOG00000017286	Saimiri_boliviensis_boliviensis
ENSVVUP00000018312	ENSVVUG00000013483	Vulpes_vulpes
ENSMICP00000009253	ENSMICG00000010166	Microcebus_murinus
ENSCSAP00000000521	ENSCSAG00000004166	Chlorocebus_sabaeus
ENSUAMP00000023745	ENSUAMG00000018594	Ursus_americanus
ENSCAFP00020022780	ENSCAFG00020017971	Canis_lupus_dingo
ENSSTOP00000029791	ENSSTOG00000033428	Ictidomys_tridecemlineatus
ENSNLEP00000032565	ENSNLEG00000027421	Nomascus_leucogenys
ENSEASP00005003083	ENSEASG00005002376	Equus_asinus_asinus
ENSSARP00000009833	ENSSARG00000010899	Sorex_araneus
ENSPTRP00000046527	ENSPTRG00000010907	Pan_troglodytes
ENSVPAP00000004547	ENSVPAG00000004909	Vicugna_pacos
ENSMNEP00000028700	ENSMNEG00000037790	Macaca_nemestrina
ENSPPRP00000011787	ENSPPRG00000005551	Panthera_pardus
ENSFCAP00000056950	ENSFCAG00000049296	Felis_catus
ENSOGAP00000014267	ENSOGAG00000015925	Otolemur_garnettii
ENSANAP00000025078	ENSANAG00000030258	Aotus_nancymaae
ENSRROP00000043550	ENSRROG00000044808	Rhinopithecus_roxellana
ENSTTRP00000013073	ENSTTRG00000013782	Tursiops_truncatus
ENSCAFP00000061638	ENSCAFG00000031993	Canis_lupus_familiaris
ENSNVIP00000009967	ENSNVIG00000007859	Neovison_vison	ENSNVIT00000011648
ENSUPAP00010026951	ENSUPAG00010021319	Urocitellus_parryii
ENSGGOP00000042196	ENSGGOG00000013141	Gorilla_gorilla
ENSTGEP00000008196	ENSTGEG00000006698	Theropithecus_gelada
