ENSCHIP00000011826	ENSCHIG00000013845	Capra_hircus
ENSOARP00000015420	ENSOARG00000014371	Ovis_aries
ENSBIXP00000011552	ENSBIXG00000016789	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005034870	ENSBIXG00005015912	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000050470	ENSBTAG00000040177	Bos_taurus
ENSBMUP00000025954	ENSBMUG00000019458	Bos_mutus
ENSBBBP00000017230	ENSBBBG00000009509	Bison_bison_bison
ENSTTRP00000005412	ENSTTRG00000005731	Tursiops_truncatus
ENSSSCP00000062459	ENSSSCG00000033192	Sus_scrofa_strain_reference
ENSPVAP00000009809	ENSPVAG00000010409	Pteropus_vampyrus
ENSECAP00000006463	ENSECAG00000008467	Equus_caballus
ENSEASP00005014012	ENSEASG00005009766	Equus_asinus_asinus
ENSMPUP00000001529	ENSMPUG00000001544	Mustela_putorius_furo
ENSNVIP00000028011	ENSNVIG00000021640	Neovison_vison
ENSCAFP00000045639	ENSCAFG00000042298	Canis_lupus_familiaris
ENSFCAP00000015358	ENSFCAG00000018319	Felis_catus
ENSPPRP00000000415	ENSPPRG00000024834	Panthera_pardus
ENSAMEP00000015069	ENSAMEG00000014284	Ailuropoda_melanoleuca
ENSUAMP00000028568	ENSUAMG00000022076	Ursus_americanus
ENSVVUP00000015775	ENSVVUG00000011534	Vulpes_vulpes
ENSCAFP00020024509	ENSCAFG00020019275	Canis_lupus_dingo
ENSUMAP00000013828	ENSUMAG00000010179	Ursus_maritimus
ENSPTIP00000020147	ENSPTIG00000017723	Panthera_tigris_altaica
ENSPSMP00000026664	ENSPSMG00000018711	Prolemur_simus
ENSRBIP00000042284	ENSRBIG00000044437	Rhinopithecus_bieti
ENSRROP00000026704	ENSRROG00000037109	Rhinopithecus_roxellana
ENSPTEP00000016573	ENSPTEG00000018201	Piliocolobus_tephrosceles
ENSCANP00000009740	ENSCANG00000028270	Colobus_angolensis_palliatus
ENSTGEP00000003477	ENSTGEG00000002946	Theropithecus_gelada
ENSPANP00000041218	ENSPANG00000035274	Papio_anubis
ENSCATP00000035079	ENSCATG00000040430	Cercocebus_atys
ENSMLEP00000020709	ENSMLEG00000034571	Mandrillus_leucophaeus
ENSMNEP00000028402	ENSMNEG00000037649	Macaca_nemestrina
ENSMFAP00000020288	ENSMFAG00000033130	Macaca_fascicularis
ENSMMUP00000020260	ENSMMUG00000028728	Macaca_mulatta
ENSCSAP00000015987	ENSCSAG00000002047	Chlorocebus_sabaeus
ENSP00000469417	ENSG00000213022	Homo_sapiens
ENSP00000250366	ENSG00000269741	Homo_sapiens
ENSGGOP00000001409	ENSGGOG00000001426	Gorilla_gorilla
ENSPPAP00000028932	ENSPPAG00000037492	Pan_paniscus
ENSPTRP00000059550	ENSPTRG00000034421	Pan_troglodytes
ENSPPYP00000011541	ENSPPYG00000010305	Pongo_abelii
ENSNLEP00000025091	ENSNLEG00000028407	Nomascus_leucogenys
ENSCJAP00000011546	ENSCJAG00000038106	Callithrix_jacchus
ENSSBOP00000038798	ENSSBOG00000035463	Saimiri_boliviensis_boliviensis
ENSCCAP00000011186	ENSCCAG00000023358	Cebus_capucinus_imitator
ENSANAP00000029470	ENSANAG00000032524	Aotus_nancymaae
ENSTSYP00000023197	ENSTSYG00000026885	Carlito_syrichta
ENSPCOP00000028413	ENSPCOG00000026836	Propithecus_coquereli
ENSMICP00000020560	ENSMICG00000034651	Microcebus_murinus
ENSOGAP00000012852	ENSOGAG00000014341	Otolemur_garnettii
ENSCCNP00000004236	ENSCCNG00000004480	Castor_canadensis
ENSDORP00000001671	ENSDORG00000001788	Dipodomys_ordii
ENSCGRP00015030642	ENSCGRG00015023089	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000018420	ENSCGRG00000013407	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001022890	ENSCGRG00001021285	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000010455	ENSMAUG00000011344	Mesocricetus_auratus
ENSMOCP00000007604	ENSMOCG00000007455	Microtus_ochrogaster
ENSPEMP00000008539	ENSPEMG00000010130	Peromyscus_maniculatus_bairdii
ENSMUSP00000005891	ENSMUSG00000047884	Mus_musculus_strain_reference_(CL57BL6)
