ENSPCIP00000021194	ENSPCIG00000016085	Phascolarctos_cinereus	ENSPCIT00000026151
ENSVURP00010017338	ENSVURG00010013236	Vombatus_ursinus	ENSVURT00010019691
ENSMEUP00000003159	ENSMEUG00000003452	Notamacropus_eugenii	ENSMEUT00000003470
ENSSHAP00000010884	ENSSHAG00000009383	Sarcophilus_harrisii	ENSSHAT00000010978
ENSMODP00000002395	ENSMODG00000001964	Monodelphis_domestica	ENSMODT00000002445
ENSMNEP00000021424	ENSMNEG00000034444	Macaca_nemestrina
ENSMFAP00000033573	ENSMFAG00000003222	Macaca_fascicularis
ENSMLEP00000012432	ENSMLEG00000030337	Mandrillus_leucophaeus
ENSPANP00000002026	ENSPANG00000005243	Papio_anubis
ENSMMUP00000014912	ENSMMUG00000011363	Macaca_mulatta
ENSTGEP00000031784	ENSTGEG00000025379	Theropithecus_gelada
ENSCATP00000016309	ENSCATG00000032014	Cercocebus_atys
ENSCSAP00000002508	ENSCSAG00000006231	Chlorocebus_sabaeus
ENSCANP00000031369	ENSCANG00000039171	Colobus_angolensis_palliatus
ENSPTEP00000029004	ENSPTEG00000028358	Piliocolobus_tephrosceles
ENSRROP00000023391	ENSRROG00000035512	Rhinopithecus_roxellana
ENSRBIP00000037603	ENSRBIG00000042341	Rhinopithecus_bieti
ENSPTRP00000026176	ENSPTRG00000015168	Pan_troglodytes
ENSPPAP00000041712	ENSPPAG00000043455	Pan_paniscus
ENSGGOP00000009764	ENSGGOG00000009993	Gorilla_gorilla
ENSP00000377655	ENSG00000138468	Homo_sapiens
ENSPPYP00000015198	ENSPPYG00000013594	Pongo_abelii
ENSNLEP00000003890	ENSNLEG00000003107	Nomascus_leucogenys
ENSCCAP00000005768	ENSCCAG00000020496	Cebus_capucinus_imitator
ENSCJAP00000000888	ENSCJAG00000000515	Callithrix_jacchus
ENSSBOP00000006179	ENSSBOG00000019918	Saimiri_boliviensis_boliviensis
ENSANAP00000030912	ENSANAG00000033170	Aotus_nancymaae
ENSTSYP00000016841	ENSTSYG00000025541	Carlito_syrichta	ENSTSYT00000037312
ENSMICP00000050616	ENSMICG00000049322	Microcebus_murinus
ENSPCOP00000015566	ENSPCOG00000019516	Propithecus_coquereli
ENSPSMP00000029041	ENSPSMG00000020143	Prolemur_simus
ENSOGAP00000001615	ENSOGAG00000001812	Otolemur_garnettii
ENSTBEP00000011700	ENSTBEG00000013468	Tupaia_belangeri
ENSHGLP00100009575	ENSHGLG00100007098	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005427	ENSHGLG00000003974	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000016977	ENSFDAG00000005639	Fukomys_damarensis
ENSODEP00000009015	ENSODEG00000006738	Octodon_degus
ENSCLAP00000012715	ENSCLAG00000008777	Chinchilla_lanigera
ENSCPOP00000007120	ENSCPOG00000007909	Cavia_porcellus
ENSCAPP00000009982	ENSCAPG00000011324	Cavia_aperea
ENSUPAP00010007164	ENSUPAG00010005757	Urocitellus_parryii
ENSSTOP00000001166	ENSSTOG00000001297	Ictidomys_tridecemlineatus
ENSSDAP00000017924	ENSSDAG00000016246	Spermophilus_dauricus
ENSMMMP00000014482	ENSMMMG00000012844	Marmota_marmota_marmota
ENSCCNP00000000618	ENSCCNG00000000658	Castor_canadensis
ENSDORP00000002437	ENSDORG00000002593	Dipodomys_ordii
ENSCGRP00015015326	ENSCGRG00015011776	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000008749	ENSCGRG00000006392	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001015334	ENSCGRG00001015956	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000003961	ENSMAUG00000004612	Mesocricetus_auratus
ENSMOCP00000015111	ENSMOCG00000014396	Microtus_ochrogaster
ENSPEMP00000010065	ENSPEMG00000011146	Peromyscus_maniculatus_bairdii
ENSMSIP00000024262	ENSMSIG00000020308	Mus_spicilegus
MGP_SPRETEiJ_P0043759	MGP_SPRETEiJ_G0021713	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000086779	ENSMUSG00000052917	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0041884	MGP_CAROLIEiJ_G0020813	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0029248	MGP_PahariEiJ_G0016513	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000043376	ENSRNOG00000001616	Rattus_norvegicus
