ENSLOCP00000002501	ENSLOCG00000002125	Lepisosteus_oculatus
ENSECRP00000010909	ENSECRG00000007225	Erpetoichthys_calabaricus
ENSCHAP00000049496	ENSCHAG00000021541	Clupea_harengus
ENSDCDP00000043494	ENSDCDG00000027512	Denticeps_clupeoides
ENSAMXP00000018072	ENSAMXG00000017365	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005001773	ENSAMXG00005000989	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000028300	ENSPNAG00000013972	Pygocentrus_nattereri
ENSEEEP00000025114	ENSEEEG00000011629	Electrophorus_electricus
ENSIPUP00000015999	ENSIPUG00000010835	Ictalurus_punctatus
ENSDARP00000139511	ENSDARG00000101059	Danio_rerio
ENSTRUP00000002858	ENSTRUG00000001230	Takifugu_rubripes
ENSTNIP00000010508	ENSTNIG00000007692	Tetraodon_nigroviridis
ENSMMOP00000017103	ENSMMOG00000013033	Mola_mola
ENSLCRP00005025837	ENSLCRG00005009732	Larimichthys_crocea
ENSLBEP00000031121	ENSLBEG00000023465	Labrus_bergylta
ENSGACP00000013600	ENSGACG00000010276	Gasterosteus_aculeatus
ENSLCAP00010005743	ENSLCAG00010002655	Lates_calcarifer
ENSSMAP00000019481	ENSSMAG00000011914	Scophthalmus_maximus
ENSSLDP00000019804	ENSSLDG00000015494	Seriola_lalandi_dorsalis
ENSSDUP00000032923	ENSSDUG00000023657	Seriola_dumerili
ENSCGOP00000051809	ENSCGOG00000022888	Cottoperca_gobio
ENSMAMP00000019595	ENSMAMG00000013131	Mastacembelus_armatus
ENSMALP00000014863	ENSMALG00000010405	Monopterus_albus
ENSATEP00000022351	ENSATEG00000015441	Anabas_testudineus
ENSBSLP00000015968	ENSBSLG00000007670	Betta_splendens
ENSAPEP00000002015	ENSAPEG00000001495	Amphiprion_percula
ENSAOCP00000019456	ENSAOCG00000000046	Amphiprion_ocellaris
ENSAPOP00000018956	ENSAPOG00000022391	Acanthochromis_polyacanthus
ENSSPAP00000029510	ENSSPAG00000022168	Stegastes_partitus
ENSMZEP00005002066	ENSMZEG00005001607	Maylandia_zebra
ENSACLP00000020951	ENSACLG00000014163	Astatotilapia_calliptera
ENSHBUP00000030225	ENSHBUG00000015199	Haplochromis_burtoni
ENSPNYP00000010150	ENSPNYG00000007679	Pundamilia_nyererei
ENSNBRP00000002861	ENSNBRG00000002239	Neolamprologus_brichardi
ENSONIP00000004464	ENSONIG00000003546	Oreochromis_niloticus
ENSACIP00000021016	ENSACIG00000016290	Amphilophus_citrinellus
ENSPRNP00000031772	ENSPRNG00000015787	Parambassis_ranga
ENSGWIP00000051593	ENSGWIG00000024973	Gouania_willdenowi
ENSCVAP00000004199	ENSCVAG00000005470	Cyprinodon_variegatus
ENSFHEP00000016011	ENSFHEG00000000896	Fundulus_heteroclitus
ENSPFOP00000009790	ENSPFOG00000009598	Poecilia_formosa
ENSPMEP00000025428	ENSPMEG00000008396	Poecilia_mexicana
ENSPLAP00000024667	ENSPLAG00000011061	Poecilia_latipinna
ENSPREP00000004177	ENSPREG00000002966	Poecilia_reticulata
ENSXMAP00000001518	ENSXMAG00000001490	Xiphophorus_maculatus
ENSXCOP00000015442	ENSXCOG00000011687	Xiphophorus_couchianus
ENSGAFP00000020476	ENSGAFG00000013829	Gambusia_affinis
ENSKMAP00000026356	ENSKMAG00000019498	Kryptolebias_marmoratus
ENSORLP00020003842	ENSORLG00020004665	Oryzias_latipes_ASM223471v1
ENSORLP00015006331	ENSORLG00015007188	Oryzias_latipes_ASM223469v1
ENSORLP00000030629	ENSORLG00000005842	Oryzias_latipes_ASM223467v1
ENSOMEP00000009760	ENSOMEG00000011032	Oryzias_melastigma
ENSPMGP00000016908	ENSPMGG00000013858	Periophthalmus_magnuspinnatus
ENSHCOP00000002494	ENSHCOG00000003686	Hippocampus_comes
ENSCSEP00000021010	ENSCSEG00000013424	Cynoglossus_semilaevis
ENSGMOP00000014939	ENSGMOG00000013947	Gadus_morhua
ENSELUP00000008533	ENSELUG00000009181	Esox_lucius
ENSHHUP00000058370	ENSHHUG00000034705	Hucho_hucho
ENSSFOP00015030504	ENSSFOG00015019533	Scleropages_formosus
ENSPKIP00000028263	ENSPKIG00000009943	Paramormyrops_kingsleyae
ENSSLDP00000014997	ENSSLDG00000011953	Seriola_lalandi_dorsalis
ENSPNYP00000006096	ENSPNYG00000004699	Pundamilia_nyererei
ENSVURP00010022566	ENSVURG00010017291	Vombatus_ursinus
ENSPCIP00000000075	ENSPCIG00000000045	Phascolarctos_cinereus
ENSMEUP00000001396	ENSMEUG00000001499	Notamacropus_eugenii
ENSSHAP00000019188	ENSSHAG00000016292	Sarcophilus_harrisii
ENSMODP00000058030	ENSMODG00000015820	Monodelphis_domestica
ENSETEP00000007389	ENSETEG00000009104	Echinops_telfairi
ENSLAFP00000012853	ENSLAFG00000015342	Loxodonta_africana
ENSMUSP00000029336	ENSMUSG00000027770	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0060142	MGP_SPRETEiJ_G0025972	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000035177	ENSMSIG00000029300	Mus_spicilegus
MGP_CAROLIEiJ_P0057840	MGP_CAROLIEiJ_G0025032	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0068803	MGP_PahariEiJ_G0026476	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000019824	ENSRNOG00000014599	Rattus_norvegicus
ENSMUGP00000004638	ENSMUGG00000004251	Meriones_unguiculatus
