ENSAPLP00000022266	ENSAPLG00000026984	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000022368	ENSCPGG00000015531	Calidris_pygmaea
ENSGALP00000072270	ENSGALG00000015203	Gallus_gallus
ENSGALP00000070306	ENSGALG00000054445	Gallus_gallus
ENSCJPP00005012542	ENSCJPG00005010669	Coturnix_japonica
ENSMGAP00000003787	ENSMGAG00000004031	Meleagris_gallopavo
ENSCPUP00000024110	ENSCPUG00000016381	Calidris_pugnax
ENSCCEP00000001625	ENSCCEG00000001876	Cyanistes_caeruleus
ENSTGUP00000000903	ENSTGUG00000000878	Taeniopygia_guttata
ENSSCAP00000008414	ENSSCAG00000006404	Serinus_canaria
ENSPMJP00000015386	ENSPMJG00000011683	Parus_major
ENSCCEP00000001776	ENSCCEG00000002074	Cyanistes_caeruleus
ENSLCOP00000018905	ENSLCOG00000013366	Lepidothrix_coronata
ENSNMEP00000002656	ENSNMEG00000003306	Numida_meleagris
ENSABRP00000001152	ENSABRG00000000852	Anser_brachyrhynchus
ENSLSDP00000015849	ENSLSDG00000011438	Lonchura_striata_domestica
ENSMUNP00000016661	ENSMUNG00000012833	Melopsittacus_undulatus
ENSCPRP00005022366	ENSCPRG00005015591	Crocodylus_porosus
ENSGAGP00000019400	ENSGAGG00000014316	Gopherus_agassizii	ENSGAGT00000022097
ENSCABP00000005073	ENSCABG00000003815	Chelonoidis_abingdonii	ENSCABT00000005516
ENSCPBP00000032716	ENSCPBG00000022937	Chrysemys_picta_bellii
ENSPSIP00000002873	ENSPSIG00000002788	Pelodiscus_sinensis
ENSPVIP00000018478	ENSPVIG00000014095	Pogona_vitticeps
ENSACAP00000009242	ENSACAG00000009405	Anolis_carolinensis
ENSNSUP00000020263	ENSNSUG00000014755	Notechis_scutatus
ENSSMRP00000021008	ENSSMRG00000016357	Salvator_merianae
ENSSPUP00000008478	ENSSPUG00000006561	Sphenodon_punctatus
ENSOANP00000019431	ENSOANG00000012282	Ornithorhynchus_anatinus
ENSLACP00000012814	ENSLACG00000011285	Latimeria_chalumnae
ENSXETP00000001884	ENSXETG00000006309	Xenopus_tropicalis
ENSDCDP00000061137	ENSDCDG00000034904	Denticeps_clupeoides
ENSCHAP00000009283	ENSCHAG00000005263	Clupea_harengus
ENSAMXP00005044205	ENSAMXG00005020357	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000050301	ENSAMXG00000018891	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000018073	ENSPNAG00000006424	Pygocentrus_nattereri
ENSEEEP00000051577	ENSEEEG00000024217	Electrophorus_electricus
ENSIPUP00000023285	ENSIPUG00000015772	Ictalurus_punctatus
ENSDARP00000099138	ENSDARG00000078504	Danio_rerio
ENSHHUP00000072033	ENSHHUG00000042249	Hucho_hucho
