Y48G1BM.1.1	WBGene00021667	Caenorhabditis_elegans_strain_N2	Y48G1BM.1.1
B0273.3.1	WBGene00015098	Caenorhabditis_elegans_strain_N2	B0273.3.1
Y48G1BL.1.1	WBGene00021662	Caenorhabditis_elegans_strain_N2	Y48G1BL.1.1
Y48G1BL.8.1	WBGene00255594	Caenorhabditis_elegans_strain_N2	Y48G1BL.8.1
T02C12.2.1	WBGene00011367	Caenorhabditis_elegans_strain_N2	T02C12.2.1
FBpp0289882	FBgn0260398	Drosophila_melanogaster	FBtr0300658
ENSCHIP00000021955	ENSCHIG00000020068	Capra_hircus
ENSOARP00000015003	ENSOARG00000013981	Ovis_aries
ENSBIXP00005019825	ENSBIXG00005023074	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000017464	ENSBIXG00000021467	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000066700	ENSBTAG00000004592	Bos_taurus
ENSBBBP00000010292	ENSBBBG00000004526	Bison_bison_bison
ENSBMUP00000031466	ENSBMUG00000023480	Bos_mutus
ENSVPAP00000005407	ENSVPAG00000005822	Vicugna_pacos
ENSTTRP00000010639	ENSTTRG00000011215	Tursiops_truncatus
ENSSSCP00000005573	ENSSSCG00000005184	Sus_scrofa_strain_reference
ENSUMAP00000024042	ENSUMAG00000017506	Ursus_maritimus
ENSUAMP00000015661	ENSUAMG00000012530	Ursus_americanus
ENSAMEP00000002137	ENSAMEG00000002018	Ailuropoda_melanoleuca
ENSNVIP00000027817	ENSNVIG00000021502	Neovison_vison
ENSMPUP00000004033	ENSMPUG00000004067	Mustela_putorius_furo
ENSCAFP00000002241	ENSCAFG00000001548	Canis_lupus_familiaris
ENSCAFP00020015814	ENSCAFG00020012694	Canis_lupus_dingo
ENSVVUP00000031426	ENSVVUG00000022862	Vulpes_vulpes
ENSPPRP00000021330	ENSPPRG00000012176	Panthera_pardus
ENSPTIP00000019348	ENSPTIG00000017166	Panthera_tigris_altaica
ENSFCAP00000002921	ENSFCAG00000003173	Felis_catus
ENSPVAP00000016017	ENSPVAG00000016980	Pteropus_vampyrus
ENSMLUP00000015695	ENSMLUG00000017214	Myotis_lucifugus
ENSEASP00005028416	ENSEASG00005019324	Equus_asinus_asinus
ENSECAP00000004798	ENSECAG00000006422	Equus_caballus
ENSEEUP00000007838	ENSEEUG00000008607	Erinaceus_europaeus
ENSSARP00000012656	ENSSARG00000014003	Sorex_araneus
ENSMSIP00000026622	ENSMSIG00000022439	Mus_spicilegus
MGP_SPRETEiJ_P0065274	MGP_SPRETEiJ_G0027088	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000030206	ENSMUSG00000028483	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0062798	MGP_CAROLIEiJ_G0026123	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0077934	MGP_PahariEiJ_G0028461	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000015254	ENSRNOG00000010825	Rattus_norvegicus
ENSMUGP00000011053	ENSMUGG00000009691	Meriones_unguiculatus
ENSCGRP00015013226	ENSCGRG00015010140	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001022536	ENSCGRG00001021052	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000015936	ENSCGRG00000011570	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000016448	ENSPEMG00000015671	Peromyscus_maniculatus_bairdii
ENSNGAP00000002139	ENSNGAG00000001690	Nannospalax_galili
ENSJJAP00000016623	ENSJJAG00000018408	Jaculus_jaculus
ENSCCNP00000014602	ENSCCNG00000015062	Castor_canadensis
ENSHGLP00000009296	ENSHGLG00000006667	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025010	ENSHGLG00100018353	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000015673	ENSCLAG00000010768	Chinchilla_lanigera
ENSFDAP00000007794	ENSFDAG00000016205	Fukomys_damarensis
ENSODEP00000018639	ENSODEG00000013737	Octodon_degus
ENSCPOP00000004569	ENSCPOG00000005081	Cavia_porcellus
ENSUPAP00010024371	ENSUPAG00010019316	Urocitellus_parryii
ENSSTOP00000001951	ENSSTOG00000002194	Ictidomys_tridecemlineatus
ENSSDAP00000001177	ENSSDAG00000001161	Spermophilus_dauricus
ENSMMMP00000008035	ENSMMMG00000007194	Marmota_marmota_marmota
ENSOCUP00000008039	ENSOCUG00000009315	Oryctolagus_cuniculus
ENSOPRP00000003268	ENSOPRG00000003569	Ochotona_princeps
ENSMICP00000012683	ENSMICG00000013886	Microcebus_murinus
ENSPCOP00000029036	ENSPCOG00000027201	Propithecus_coquereli
ENSPSMP00000004349	ENSPSMG00000003475	Prolemur_simus
ENSOGAP00000001947	ENSOGAG00000002175	Otolemur_garnettii
ENSPPAP00000003796	ENSPPAG00000015962	Pan_paniscus
ENSPTRP00000042673	ENSPTRG00000020785	Pan_troglodytes
ENSP00000370200	ENSG00000164975	Homo_sapiens
ENSGGOP00000006609	ENSGGOG00000006757	Gorilla_gorilla
ENSPPYP00000021513	ENSPPYG00000019207	Pongo_abelii
ENSNLEP00000021357	ENSNLEG00000017591	Nomascus_leucogenys
ENSPTEP00000008818	ENSPTEG00000009992	Piliocolobus_tephrosceles
ENSCANP00000009859	ENSCANG00000028336	Colobus_angolensis_palliatus
ENSRROP00000042338	ENSRROG00000044323	Rhinopithecus_roxellana
ENSRBIP00000035889	ENSRBIG00000041577	Rhinopithecus_bieti
ENSTGEP00000018827	ENSTGEG00000015153	Theropithecus_gelada
ENSPANP00000019206	ENSPANG00000025229	Papio_anubis
ENSMLEP00000012289	ENSMLEG00000030316	Mandrillus_leucophaeus
ENSCATP00000040008	ENSCATG00000042572	Cercocebus_atys
ENSMFAP00000044326	ENSMFAG00000039519	Macaca_fascicularis
ENSMMUP00000021275	ENSMMUG00000016189	Macaca_mulatta
ENSMNEP00000000574	ENSMNEG00000002686	Macaca_nemestrina
ENSCSAP00000005478	ENSCSAG00000009226	Chlorocebus_sabaeus
ENSSBOP00000039588	ENSSBOG00000035820	Saimiri_boliviensis_boliviensis
ENSSBOP00000033642	ENSSBOG00000032986	Saimiri_boliviensis_boliviensis
ENSCCAP00000017283	ENSCCAG00000026454	Cebus_capucinus_imitator
ENSCJAP00000059022	ENSCJAG00000012442	Callithrix_jacchus
ENSANAP00000037018	ENSANAG00000036004	Aotus_nancymaae
ENSPSMP00000017839	ENSPSMG00000012683	Prolemur_simus
ENSPCOP00000010476	ENSPCOG00000016707	Propithecus_coquereli
ENSMAUP00000006646	ENSMAUG00000008531	Mesocricetus_auratus
ENSMOCP00000015006	ENSMOCG00000014331	Microtus_ochrogaster
ENSDORP00000004590	ENSDORG00000004905	Dipodomys_ordii
ENSTSYP00000022788	ENSTSYG00000029590	Carlito_syrichta
ENSCHOP00000005436	ENSCHOG00000006147	Choloepus_hoffmanni
ENSDNOP00000009547	ENSDNOG00000012296	Dasypus_novemcinctus
ENSLAFP00000011613	ENSLAFG00000013869	Loxodonta_africana
ENSPCAP00000004638	ENSPCAG00000004961	Procavia_capensis
ENSETEP00000001068	ENSETEG00000001326	Echinops_telfairi
ENSVURP00010005510	ENSVURG00010004305	Vombatus_ursinus
ENSPCIP00000020168	ENSPCIG00000015370	Phascolarctos_cinereus
ENSMEUP00000014718	ENSMEUG00000016100	Notamacropus_eugenii
ENSSHAP00000021236	ENSSHAG00000018002	Sarcophilus_harrisii
ENSMODP00000018701	ENSMODG00000014956	Monodelphis_domestica
ENSOANP00000016036	ENSOANG00000010116	Ornithorhynchus_anatinus
ENSAOWP00000000557	ENSAOWG00000000428	Apteryx_owenii
ENSARWP00000011680	ENSARWG00000008069	Apteryx_rowi
ENSAHAP00000004409	ENSAHAG00000003323	Apteryx_haastii
ENSDNVP00000006464	ENSDNVG00000004597	Dromaius_novaehollandiae
ENSNPEP00000009010	ENSNPEG00000006771	Nothoprocta_perdicaria
ENSABRP00000009420	ENSABRG00000008451	Anser_brachyrhynchus
ENSAPLP00000024777	ENSAPLG00000024309	Anas_platyrhynchos_platyrhynchos
ENSGALP00000018452	ENSGALG00000011323	Gallus_gallus
ENSCJPP00005005140	ENSCJPG00005004972	Coturnix_japonica
ENSMGAP00000011889	ENSMGAG00000011378	Meleagris_gallopavo
ENSNMEP00000006278	ENSNMEG00000006456	Numida_meleagris
ENSCPGP00000018393	ENSCPGG00000012856	Calidris_pygmaea
