ENSLSDP00000024668	ENSLSDG00000017294	Lonchura_striata_domestica
ENSFALP00000010156	ENSFALG00000009734	Ficedula_albicollis
ENSMUNP00000017360	ENSMUNG00000013341	Melopsittacus_undulatus
ENSABRP00000027627	ENSABRG00000023005	Anser_brachyrhynchus
ENSAPLP00000008975	ENSAPLG00000009287	Anas_platyrhynchos_platyrhynchos
ENSGALP00000042912	ENSGALG00000026028	Gallus_gallus
ENSCJPP00005001664	ENSCJPG00005001713	Coturnix_japonica
ENSNMEP00000007059	ENSNMEG00000007152	Numida_meleagris
ENSARWP00000016669	ENSARWG00000011486	Apteryx_rowi
ENSNPEP00000021724	ENSNPEG00000016109	Nothoprocta_perdicaria
ENSDNVP00000022522	ENSDNVG00000015663	Dromaius_novaehollandiae
ENSLCOP00000011680	ENSLCOG00000008485	Lepidothrix_coronata
ENSMVIP00005022929	ENSMVIG00005016098	Manacus_vitellinus
ENSCPUP00000021964	ENSCPUG00000014925	Calidris_pugnax
ENSZALP00000016483	ENSZALG00000013387	Zonotrichia_albicollis
ENSCPGP00000012766	ENSCPGG00000009070	Calidris_pygmaea
ENSAOWP00000011172	ENSAOWG00000007684	Apteryx_owenii
ENSAHAP00000014573	ENSAHAG00000010503	Apteryx_haastii
ENSCPRP00005024704	ENSCPRG00005017167	Crocodylus_porosus
ENSGAGP00000021342	ENSGAGG00000015675	Gopherus_agassizii
ENSCABP00000007014	ENSCABG00000005327	Chelonoidis_abingdonii
ENSPSIP00000008619	ENSPSIG00000007888	Pelodiscus_sinensis
ENSACAP00000015342	ENSACAG00000015621	Anolis_carolinensis
ENSNSUP00000004078	ENSNSUG00000003258	Notechis_scutatus
ENSSMRP00000025794	ENSSMRG00000019916	Salvator_merianae
ENSSPUP00000021169	ENSSPUG00000016286	Sphenodon_punctatus
ENSTGUP00000002867	ENSTGUG00000002785	Taeniopygia_guttata
ENSPCIP00000045657	ENSPCIG00000035064	Phascolarctos_cinereus
ENSVURP00010027242	ENSVURG00010020850	Vombatus_ursinus
ENSMODP00000038410	ENSMODG00000025600	Monodelphis_domestica
ENSMODP00000010082	ENSMODG00000008111	Monodelphis_domestica
ENSSHAP00000005911	ENSSHAG00000005155	Sarcophilus_harrisii
ENSPTRP00000028974	ENSPTRG00000016924	Pan_troglodytes
ENSPPAP00000027412	ENSPPAG00000036783	Pan_paniscus
ENSGGOP00000049124	ENSGGOG00000000235	Gorilla_gorilla
ENSP00000427401	ENSG00000153006	Homo_sapiens
ENSPPYP00000017323	ENSPPYG00000015504	Pongo_abelii
ENSNLEP00000045827	ENSNLEG00000029872	Nomascus_leucogenys
ENSRROP00000039988	ENSRROG00000043286	Rhinopithecus_roxellana
ENSRBIP00000003388	ENSRBIG00000016006	Rhinopithecus_bieti
ENSPTEP00000013472	ENSPTEG00000015090	Piliocolobus_tephrosceles
ENSCANP00000009263	ENSCANG00000028044	Colobus_angolensis_palliatus
ENSMMUP00000019710	ENSMMUG00000015040	Macaca_mulatta
ENSMFAP00000010594	ENSMFAG00000008308	Macaca_fascicularis
ENSMNEP00000034424	ENSMNEG00000040413	Macaca_nemestrina
ENSPANP00000043792	ENSPANG00000033802	Papio_anubis
ENSPANP00000018097	ENSPANG00000003299	Papio_anubis
ENSTGEP00000019899	ENSTGEG00000016018	Theropithecus_gelada
ENSCATP00000026601	ENSCATG00000036697	Cercocebus_atys
ENSMLEP00000012533	ENSMLEG00000030454	Mandrillus_leucophaeus
ENSCSAP00000012050	ENSCSAG00000015974	Chlorocebus_sabaeus
ENSCCAP00000033429	ENSCCAG00000034728	Cebus_capucinus_imitator
ENSSBOP00000017924	ENSSBOG00000025599	Saimiri_boliviensis_boliviensis
ENSANAP00000022883	ENSANAG00000029198	Aotus_nancymaae
ENSPSMP00000008527	ENSPSMG00000006265	Prolemur_simus
ENSMICP00000038670	ENSMICG00000037409	Microcebus_murinus
ENSOGAP00000006189	ENSOGAG00000006912	Otolemur_garnettii
ENSCJAP00000028841	ENSCJAG00000015668	Callithrix_jacchus
ENSTBEP00000008666	ENSTBEG00000010014	Tupaia_belangeri
ENSCCNP00000023180	ENSCCNG00000022794	Castor_canadensis
ENSDORP00000022964	ENSDORG00000009897	Dipodomys_ordii
MGP_SPRETEiJ_P0037062	MGP_SPRETEiJ_G0019744	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000022230	ENSMUSG00000021716	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000006479	ENSMSIG00000005790	Mus_spicilegus
MGP_CAROLIEiJ_P0035386	MGP_CAROLIEiJ_G0018865	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0027046	MGP_PahariEiJ_G0015937	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064069	ENSRNOG00000047506	Rattus_norvegicus
ENSMUGP00000030660	ENSMUGG00000025492	Meriones_unguiculatus
ENSCGRP00001018801	ENSCGRG00001018440	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015003688	ENSCGRG00015002940	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000001144	ENSCGRG00000000892	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000000881	ENSMAUG00000000675	Mesocricetus_auratus
ENSMOCP00000021714	ENSMOCG00000018975	Microtus_ochrogaster
ENSPEMP00000032808	ENSPEMG00000029903	Peromyscus_maniculatus_bairdii
ENSNGAP00000022801	ENSNGAG00000021556	Nannospalax_galili
ENSJJAP00000007983	ENSJJAG00000012251	Jaculus_jaculus
ENSCLAP00000005059	ENSCLAG00000003592	Chinchilla_lanigera
ENSODEP00000022938	ENSODEG00000016833	Octodon_degus
ENSCPOP00000009849	ENSCPOG00000010960	Cavia_porcellus
ENSCAPP00000012935	ENSCAPG00000013678	Cavia_aperea
ENSHGLP00000010783	ENSHGLG00000007739	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100023220	ENSHGLG00100017063	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100004285	ENSHGLG00100003252	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000002275	ENSHGLG00000001729	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000950	ENSFDAG00000011060	Fukomys_damarensis
ENSUPAP00010024947	ENSUPAG00010019763	Urocitellus_parryii
ENSSDAP00000007514	ENSSDAG00000006870	Spermophilus_dauricus
ENSSTOP00000024786	ENSSTOG00000032449	Ictidomys_tridecemlineatus
ENSMMMP00000002564	ENSMMMG00000002364	Marmota_marmota_marmota
ENSOCUP00000048014	ENSOCUG00000031910	Oryctolagus_cuniculus
