ENSBBBP00000017691	ENSBBBG00000000059	Bison_bison_bison
ENSZALP00000008008	ENSZALG00000007035	Zonotrichia_albicollis
ENSPVIP00000027253	ENSPVIG00000020267	Pogona_vitticeps
ENSAMXP00000002498	ENSAMXG00000002428	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMALP00000006299	ENSMALG00000004489	Monopterus_albus
ENSDNOP00000019671	ENSDNOG00000008587	Dasypus_novemcinctus
ENSCCEP00000025848	ENSCCEG00000022830	Cyanistes_caeruleus
ENSPCOP00000004526	ENSPCOG00000012884	Propithecus_coquereli
ENSODEP00000012310	ENSODEG00000009132	Octodon_degus
ENSKMAP00000007473	ENSKMAG00000005612	Kryptolebias_marmoratus
ENSNGAP00000005865	ENSNGAG00000008504	Nannospalax_galili
ENSANAP00000005626	ENSANAG00000020849	Aotus_nancymaae
ENSMFAP00000031465	ENSMFAG00000042661	Macaca_fascicularis
ENSELUP00000037488	ENSELUG00000017200	Esox_lucius
ENSCAFP00020035168	ENSCAFG00020027237	Canis_lupus_dingo
ENSLOCP00000015409	ENSLOCG00000012515	Lepisosteus_oculatus
ENSPNAP00000004126	ENSPNAG00000010598	Pygocentrus_nattereri
ENSTNIP00000014267	ENSTNIG00000011324	Tetraodon_nigroviridis
ENSLCRP00005032463	ENSLCRG00005012837	Larimichthys_crocea
ENSLAFP00000004854	ENSLAFG00000005792	Loxodonta_africana
ENSMAUP00000023382	ENSMAUG00000020538	Mesocricetus_auratus
ENSCGOP00000025375	ENSCGOG00000011991	Cottoperca_gobio
ENSLBEP00000025410	ENSLBEG00000019403	Labrus_bergylta
ENSAPOP00000004972	ENSAPOG00000006659	Acanthochromis_polyacanthus
ENSGACP00000025829	ENSGACG00000019541	Gasterosteus_aculeatus
ENSDCDP00000010419	ENSDCDG00000005209	Denticeps_clupeoides
ENSPPRP00000001860	ENSPPRG00000023823	Panthera_pardus
ENSAHAP00000007050	ENSAHAG00000005276	Apteryx_haastii
ENSHCOP00000024955	ENSHCOG00000014753	Hippocampus_comes
ENSVURP00010004765	ENSVURG00010003721	Vombatus_ursinus
ENSXMAP00000026634	ENSXMAG00000001979	Xiphophorus_maculatus
ENSCLAP00000001986	ENSCLAG00000001455	Chinchilla_lanigera
ENSAOWP00000002382	ENSAOWG00000001678	Apteryx_owenii
ENSTTRP00000005425	ENSTTRG00000005744	Tursiops_truncatus
ENSTSYP00000001482	ENSTSYG00000001588	Carlito_syrichta
ENSPMGP00000003283	ENSPMGG00000002847	Periophthalmus_magnuspinnatus
ENSVPAP00000011226	ENSVPAG00000012067	Vicugna_pacos
ENSEASP00005011339	ENSEASG00005007972	Equus_asinus_asinus
ENSPLAP00000017078	ENSPLAG00000021413	Poecilia_latipinna
ENSAMEP00000006794	ENSAMEG00000006445	Ailuropoda_melanoleuca
ENSECAP00000030996	ENSECAG00000018365	Equus_caballus
ENSDCDP00000014572	ENSDCDG00000010857	Denticeps_clupeoides
ENSCATP00000015848	ENSCATG00000031858	Cercocebus_atys
ENSIPUP00000030256	ENSIPUG00000020401	Ictalurus_punctatus
ENSNVIP00000016397	ENSNVIG00000012734	Neovison_vison
ENSGAFP00000023118	ENSGAFG00000015599	Gambusia_affinis
ENSUMAP00000004334	ENSUMAG00000003497	Ursus_maritimus
MGP_PahariEiJ_P0031325	MGP_PahariEiJ_G0016992	Mus_pahari_strain_PAHARI_EIJ
ENSPVAP00000014944	ENSPVAG00000015838	Pteropus_vampyrus
ENSRNOP00000042016	ENSRNOG00000032350	Rattus_norvegicus
ENSSPAP00000031189	ENSSPAG00000023382	Stegastes_partitus
ENSGWIP00000055745	ENSGWIG00000026486	Gouania_willdenowi
ENSSCAP00000005849	ENSSCAG00000004606	Serinus_canaria
ENSMMOP00000015562	ENSMMOG00000011864	Mola_mola
ENSCPBP00000040671	ENSCPBG00000027922	Chrysemys_picta_bellii
ENSMLEP00000019030	ENSMLEG00000033708	Mandrillus_leucophaeus
ENSCSEP00000010591	ENSCSEG00000006784	Cynoglossus_semilaevis
ENSGGOP00000041589	ENSGGOG00000037969	Gorilla_gorilla
ENSCJAP00000064171	ENSCJAG00000012939	Callithrix_jacchus
ENSMMMP00000019380	ENSMMMG00000017078	Marmota_marmota_marmota
ENSOARP00000005521	ENSOARG00000005149	Ovis_aries
ENSJHYP00000021611	ENSJHYG00000016351	Junco_hyemalis
ENSTBEP00000000595	ENSTBEG00000000698	Tupaia_belangeri
ENSMNEP00000015213	ENSMNEG00000031720	Macaca_nemestrina
MGP_CAROLIEiJ_P0068129	MGP_CAROLIEiJ_G0027210	Mus_caroli_strain_CAROLI_EIJ
ENSCHAP00000040231	ENSCHAG00000018799	Clupea_harengus
ENSTRUP00000054039	ENSTRUG00000021527	Takifugu_rubripes
ENSSDUP00000010289	ENSSDUG00000007532	Seriola_dumerili
ENSNLEP00000020308	ENSNLEG00000016720	Nomascus_leucogenys
ENSCSAP00000012615	ENSCSAG00000016556	Chlorocebus_sabaeus
ENSSSCP00000070767	ENSSSCG00000023934	Sus_scrofa_strain_reference
ENSNPEP00000001005	ENSNPEG00000000795	Nothoprocta_perdicaria
ENSDNVP00000002976	ENSDNVG00000002143	Dromaius_novaehollandiae
ENSEBUP00000016615	ENSEBUG00000010426	Eptatretus_burgeri
ENSFDAP00000016832	ENSFDAG00000005521	Fukomys_damarensis
ENSSDAP00000005423	ENSSDAG00000005049	Spermophilus_dauricus
ENSPCIP00000052684	ENSPCIG00000032533	Phascolarctos_cinereus
ENSNBRP00000030821	ENSNBRG00000023439	Neolamprologus_brichardi
