ENSBTAP00000063852	ENSBTAG00000011014	Bos_taurus
ENSSLDP00000013453	ENSSLDG00000010732	Seriola_lalandi_dorsalis
ENSLOCP00000018788	ENSLOCG00000015269	Lepisosteus_oculatus
ENSMMOP00000024853	ENSMMOG00000018885	Mola_mola
ENSACIP00000010974	ENSACIG00000008590	Amphilophus_citrinellus
ENSIPUP00000024537	ENSIPUG00000016589	Ictalurus_punctatus
ENSCSEP00000024486	ENSCSEG00000015645	Cynoglossus_semilaevis
ENSXETP00000004924	ENSXETG00000003478	Xenopus_tropicalis
ENSTBEP00000008184	ENSTBEG00000009462	Tupaia_belangeri
ENSHCOP00000006241	ENSHCOG00000008015	Hippocampus_comes
ENSAPEP00000016223	ENSAPEG00000011582	Amphiprion_percula
ENSCJAP00000013483	ENSCJAG00000007248	Callithrix_jacchus
ENSECRP00000008957	ENSECRG00000006015	Erpetoichthys_calabaricus
ENSAMXP00000030697	ENSAMXG00000042749	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSORLP00020008251	ENSORLG00020009145	Oryzias_latipes_ASM223471v1
ENSNBRP00000019013	ENSNBRG00000014665	Neolamprologus_brichardi
ENSBSLP00000023078	ENSBSLG00000011613	Betta_splendens
ENSSBOP00000002001	ENSSBOG00000010586	Saimiri_boliviensis_boliviensis
ENSHHUP00000019071	ENSHHUG00000011895	Hucho_hucho	ENSHHUT00000019757
ENSSMAP00000016421	ENSSMAG00000010072	Scophthalmus_maximus
ENSOMEP00000035744	ENSOMEG00000023153	Oryzias_melastigma
ENSACLP00000006473	ENSACLG00000004373	Astatotilapia_calliptera
ENSBMUP00000023297	ENSBMUG00000017503	Bos_mutus
ENSSFOP00015002606	ENSSFOG00015001750	Scleropages_formosus	ENSSFOT00015002652
ENSMALP00000000328	ENSMALG00000000310	Monopterus_albus
ENSGAFP00000032452	ENSGAFG00000021857	Gambusia_affinis
ENSAPOP00000024263	ENSAPOG00000006564	Acanthochromis_polyacanthus
ENSCMIP00000032636	ENSCMIG00000013955	Callorhinchus_milii
ENSMPUP00000004074	ENSMPUG00000004108	Mustela_putorius_furo
ENSCHAP00000014076	ENSCHAG00000007667	Clupea_harengus
ENSSDUP00000028141	ENSSDUG00000020343	Seriola_dumerili
ENSCGOP00000005872	ENSCGOG00000003101	Cottoperca_gobio
ENSTRUP00000007794	ENSTRUG00000003331	Takifugu_rubripes
ENSLCRP00005040572	ENSLCRG00005015658	Larimichthys_crocea
ENSCHIP00000022406	ENSCHIG00000020392	Capra_hircus
ENSORLP00015021374	ENSORLG00015022589	Oryzias_latipes_ASM223469v1
ENSGWIP00000036398	ENSGWIG00000018759	Gouania_willdenowi
ENSMZEP00005023014	ENSMZEG00005017237	Maylandia_zebra
ENSLACP00000002952	ENSLACG00000002641	Latimeria_chalumnae	ENSLACT00000002977
ENSCVAP00000013203	ENSCVAG00000015671	Cyprinodon_variegatus
ENSPRNP00000011049	ENSPRNG00000006275	Parambassis_ranga
ENSATEP00000026725	ENSATEG00000018494	Anabas_testudineus
ENSTNIP00000011189	ENSTNIG00000008358	Tetraodon_nigroviridis
ENSHBUP00000016424	ENSHBUG00000018376	Haplochromis_burtoni
ENSLBEP00000000116	ENSLBEG00000000098	Labrus_bergylta
ENSPMGP00000001111	ENSPMGG00000001007	Periophthalmus_magnuspinnatus
ENSPNYP00000028501	ENSPNYG00000021476	Pundamilia_nyererei
ENSXMAP00000019330	ENSXMAG00000019286	Xiphophorus_maculatus
ENSOGAP00000020842	ENSOGAG00000025801	Otolemur_garnettii
ENSPCAP00000003712	ENSPCAG00000004014	Procavia_capensis
ENSEEEP00000005989	ENSEEEG00000003182	Electrophorus_electricus
ENSUAMP00000011199	ENSUAMG00000009169	Ursus_americanus
ENSPVAP00000011277	ENSPVAG00000011966	Pteropus_vampyrus
ENSORLP00000032541	ENSORLG00000029018	Oryzias_latipes_ASM223467v1
ENSGACP00000017826	ENSGACG00000013487	Gasterosteus_aculeatus
ENSPREP00000030983	ENSPREG00000020983	Poecilia_reticulata
ENSGMOP00000020076	ENSGMOG00000018689	Gadus_morhua
ENSSPAP00000009135	ENSSPAG00000006970	Stegastes_partitus
ENSPCOP00000012418	ENSPCOG00000017784	Propithecus_coquereli
ENSELUP00000040022	ENSELUG00000020366	Esox_lucius	ENSELUT00000031885
ENSDARP00000146607	ENSDARG00000093269	Danio_rerio
ENSDCDP00000013968	ENSDCDG00000010034	Denticeps_clupeoides
ENSOARP00000007518	ENSOARG00000007016	Ovis_aries
ENSLCAP00010041137	ENSLCAG00010019306	Lates_calcarifer
ENSAMXP00005046392	ENSAMXG00005021375	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPKIP00000009585	ENSPKIG00000024642	Paramormyrops_kingsleyae	ENSPKIT00000033697
ENSPMEP00000010982	ENSPMEG00000013000	Poecilia_mexicana
ENSAMEP00000018616	ENSAMEG00000017622	Ailuropoda_melanoleuca
ENSSARP00000007174	ENSSARG00000007937	Sorex_araneus
ENSPNAP00000013418	ENSPNAG00000019260	Pygocentrus_nattereri
ENSMAMP00000003547	ENSMAMG00000002429	Mastacembelus_armatus
ENSHHUP00000084398	ENSHHUG00000048944	Hucho_hucho	ENSHHUT00000087041
ENSXCOP00000002674	ENSXCOG00000002133	Xiphophorus_couchianus
ENSBBBP00000025638	ENSBBBG00000020934	Bison_bison_bison
ENSAOCP00000017271	ENSAOCG00000022306	Amphiprion_ocellaris
ENSONIP00000013143	ENSONIG00000010457	Oreochromis_niloticus
ENSPLAP00000030027	ENSPLAG00000020738	Poecilia_latipinna
ENSFHEP00000007395	ENSFHEG00000008512	Fundulus_heteroclitus
ENSPFOP00000011613	ENSPFOG00000011639	Poecilia_formosa
ENSNVIP00000013017	ENSNVIG00000010301	Neovison_vison
ENSEBUP00000024882	ENSEBUG00000015369	Eptatretus_burgeri
ENSKMAP00000029920	ENSKMAG00000022124	Kryptolebias_marmoratus
