ENSEBUP00000006074	ENSEBUG00000004051	Eptatretus_burgeri	ENSEBUT00000006523
ENSPMAP00000002779	ENSPMAG00000002547	Petromyzon_marinus	ENSPMAT00000002792
ENSSFOP00015015049	ENSSFOG00015009729	Scleropages_formosus
ENSPKIP00000035764	ENSPKIG00000014572	Paramormyrops_kingsleyae
ENSPLAP00000027948	ENSPLAG00000016944	Poecilia_latipinna
ENSPFOP00000017355	ENSPFOG00000017252	Poecilia_formosa
ENSPMEP00000019951	ENSPMEG00000023223	Poecilia_mexicana
ENSPREP00000021213	ENSPREG00000014315	Poecilia_reticulata
ENSXMAP00000005098	ENSXMAG00000005085	Xiphophorus_maculatus
ENSXCOP00000025152	ENSXCOG00000018788	Xiphophorus_couchianus
ENSFHEP00000006038	ENSFHEG00000007031	Fundulus_heteroclitus
ENSCVAP00000029005	ENSCVAG00000016465	Cyprinodon_variegatus
ENSKMAP00000011014	ENSKMAG00000008247	Kryptolebias_marmoratus
ENSAOCP00000004898	ENSAOCG00000008334	Amphiprion_ocellaris
ENSAPEP00000024696	ENSAPEG00000017546	Amphiprion_percula
ENSAPOP00000029090	ENSAPOG00000014795	Acanthochromis_polyacanthus
ENSAPOP00000018879	ENSAPOG00000022266	Acanthochromis_polyacanthus
ENSSPAP00000011616	ENSSPAG00000008810	Stegastes_partitus
ENSGWIP00000018501	ENSGWIG00000010219	Gouania_willdenowi
ENSGWIP00000039703	ENSGWIG00000020130	Gouania_willdenowi
ENSCSEP00000013969	ENSCSEG00000008976	Cynoglossus_semilaevis
ENSSDUP00000011742	ENSSDUG00000008561	Seriola_dumerili
ENSSLDP00000009173	ENSSLDG00000007230	Seriola_lalandi_dorsalis
ENSLCAP00010029263	ENSLCAG00010013755	Lates_calcarifer
ENSSMAP00000031266	ENSSMAG00000019172	Scophthalmus_maximus
ENSLCRP00005020898	ENSLCRG00005008501	Larimichthys_crocea
ENSLBEP00000026772	ENSLBEG00000020332	Labrus_bergylta
ENSCGOP00000011834	ENSCGOG00000005821	Cottoperca_gobio
ENSGACP00000003374	ENSGACG00000002575	Gasterosteus_aculeatus
ENSMMOP00000019134	ENSMMOG00000014487	Mola_mola
ENSATEP00000006007	ENSATEG00000004216	Anabas_testudineus
ENSMALP00000022554	ENSMALG00000015739	Monopterus_albus
ENSMAMP00000009934	ENSMAMG00000006687	Mastacembelus_armatus
ENSBSLP00000033206	ENSBSLG00000016163	Betta_splendens
ENSMZEP00005034974	ENSMZEG00005026166	Maylandia_zebra
ENSACLP00000000546	ENSACLG00000000417	Astatotilapia_calliptera
ENSHBUP00000016040	ENSHBUG00000000530	Haplochromis_burtoni
ENSPNYP00000008402	ENSPNYG00000006432	Pundamilia_nyererei
ENSNBRP00000021742	ENSNBRG00000016681	Neolamprologus_brichardi
ENSONIP00000017390	ENSONIG00000013830	Oreochromis_niloticus
ENSACIP00000025634	ENSACIG00000019861	Amphilophus_citrinellus
ENSPRNP00000001759	ENSPRNG00000001111	Parambassis_ranga
ENSHCOP00000019872	ENSHCOG00000005482	Hippocampus_comes
ENSORLP00020029184	ENSORLG00020013054	Oryzias_latipes_ASM223471v1
ENSORLP00000009982	ENSORLG00000007957	Oryzias_latipes_ASM223467v1
ENSORLP00015002485	ENSORLG00015003142	Oryzias_latipes_ASM223469v1
ENSOMEP00000033217	ENSOMEG00000019070	Oryzias_melastigma
ENSPMGP00000024834	ENSPMGG00000020071	Periophthalmus_magnuspinnatus
ENSGMOP00000014501	ENSGMOG00000013561	Gadus_morhua
ENSHHUP00000060441	ENSHHUG00000035833	Hucho_hucho
ENSELUP00000010277	ENSELUG00000010779	Esox_lucius
ENSTRUP00000009729	ENSTRUG00000004106	Takifugu_rubripes
ENSTNIP00000007339	ENSTNIG00000004686	Tetraodon_nigroviridis
ENSPMGP00000015789	ENSPMGG00000012938	Periophthalmus_magnuspinnatus
ENSCHAP00000018820	ENSCHAG00000009715	Clupea_harengus
ENSDCDP00000026497	ENSDCDG00000019603	Denticeps_clupeoides
ENSAMXP00000011281	ENSAMXG00000010976	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005009001	ENSAMXG00005005060	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000015160	ENSPNAG00000021192	Pygocentrus_nattereri
ENSEEEP00000012404	ENSEEEG00000006233	Electrophorus_electricus
ENSIPUP00000003008	ENSIPUG00000002139	Ictalurus_punctatus
ENSDARP00000052502	ENSDARG00000036158	Danio_rerio
ENSLOCP00000003615	ENSLOCG00000003063	Lepisosteus_oculatus
ENSECRP00000026327	ENSECRG00000017784	Erpetoichthys_calabaricus
ENSLACP00000010934	ENSLACG00000009622	Latimeria_chalumnae
ENSCMIP00000030077	ENSCMIG00000012977	Callorhinchus_milii
ENSCPGP00000026552	ENSCPGG00000018301	Calidris_pygmaea
ENSCPUP00000010074	ENSCPUG00000007136	Calidris_pugnax
