ENSIPUP00000008979	ENSIPUG00000006108	Ictalurus_punctatus	ENSIPUT00000009371
ENSEEEP00000026976	ENSEEEG00000013019	Electrophorus_electricus	ENSEEET00000027285
ENSELUP00000016524	ENSELUG00000016321	Esox_lucius
ENSHHUP00000067217	ENSHHUG00000039635	Hucho_hucho
ENSECRP00000019459	ENSECRG00000013015	Erpetoichthys_calabaricus
ENSABRP00000019705	ENSABRG00000016876	Anser_brachyrhynchus
ENSAPLP00000020805	ENSAPLG00000022133	Anas_platyrhynchos_platyrhynchos
ENSNMEP00000017705	ENSNMEG00000015449	Numida_meleagris
ENSCJPP00005007021	ENSCJPG00005006476	Coturnix_japonica
ENSCPGP00000024318	ENSCPGG00000016769	Calidris_pygmaea
ENSCPUP00000027331	ENSCPUG00000018393	Calidris_pugnax
ENSZALP00000008787	ENSZALG00000007611	Zonotrichia_albicollis
ENSDNVP00000024976	ENSDNVG00000017369	Dromaius_novaehollandiae
