FBpp0086705	FBgn0033902	Drosophila_melanogaster	FBtr0087579
K08F11.3.1	WBGene00019543	Caenorhabditis_elegans_strain_N2	K08F11.3.1
ENSPCIP00000005133	ENSPCIG00000004258	Phascolarctos_cinereus	ENSPCIT00000006438
ENSPCIP00000032789	ENSPCIG00000024347	Phascolarctos_cinereus	ENSPCIT00000040362
ENSVURP00010017179	ENSVURG00010013122	Vombatus_ursinus	ENSVURT00010019517
ENSMEUP00000000722	ENSMEUG00000000780	Notamacropus_eugenii	ENSMEUT00000000782
ENSSHAP00000020801	ENSSHAG00000017641	Sarcophilus_harrisii	ENSSHAT00000020968
ENSMODP00000012102	ENSMODG00000009678	Monodelphis_domestica	ENSMODT00000012326
ENSMLUP00000013405	ENSMLUG00000014727	Myotis_lucifugus
ENSPVAP00000014217	ENSPVAG00000015083	Pteropus_vampyrus
ENSVPAP00000007247	ENSVPAG00000007791	Vicugna_pacos
ENSSSCP00000066281	ENSSSCG00000013315	Sus_scrofa_strain_reference
ENSTTRP00000001984	ENSTTRG00000002119	Tursiops_truncatus
ENSOARP00000017809	ENSOARG00000016580	Ovis_aries
ENSCHIP00000009062	ENSCHIG00000012027	Capra_hircus
ENSCHIP00000018473	ENSCHIG00000017874	Capra_hircus
ENSBTAP00000007021	ENSBTAG00000005338	Bos_taurus
ENSBTAP00000071123	ENSBTAG00000051084	Bos_taurus
ENSBIXP00005008830	ENSBIXG00005013861	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000010970	ENSBIXG00000016348	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000010428	ENSBMUG00000008048	Bos_mutus
ENSBBBP00000019176	ENSBBBG00000012413	Bison_bison_bison
ENSMPUP00000011219	ENSMPUG00000011311	Mustela_putorius_furo
ENSNVIP00000005724	ENSNVIG00000004595	Neovison_vison
ENSCAFP00020003099	ENSCAFG00020002623	Canis_lupus_dingo
ENSCAFP00000065287	ENSCAFG00000007368	Canis_lupus_familiaris
ENSVVUP00000022207	ENSVVUG00000016291	Vulpes_vulpes
ENSUAMP00000008666	ENSUAMG00000007280	Ursus_americanus
ENSUMAP00000026774	ENSUMAG00000019493	Ursus_maritimus
ENSAMEP00000007406	ENSAMEG00000007020	Ailuropoda_melanoleuca
ENSPPRP00000001575	ENSPPRG00000024020	Panthera_pardus
ENSPTIP00000005565	ENSPTIG00000007758	Panthera_tigris_altaica
ENSFCAP00000000285	ENSFCAG00000000310	Felis_catus
ENSEASP00005019672	ENSEASG00005013531	Equus_asinus_asinus
ENSECAP00000044856	ENSECAG00000022640	Equus_caballus
ENSSARP00000009754	ENSSARG00000010809	Sorex_araneus
ENSEEUP00000001304	ENSEEUG00000001445	Erinaceus_europaeus
ENSOGAP00000014254	ENSOGAG00000015913	Otolemur_garnettii
ENSOCUP00000038723	ENSOCUG00000037042	Oryctolagus_cuniculus
ENSRROP00000036561	ENSRROG00000041725	Rhinopithecus_roxellana
ENSRBIP00000023988	ENSRBIG00000035900	Rhinopithecus_bieti
ENSCANP00000034394	ENSCANG00000040853	Colobus_angolensis_palliatus
ENSPTEP00000024723	ENSPTEG00000025151	Piliocolobus_tephrosceles
