ENSPKIP00000013005	ENSPKIG00000000593	Paramormyrops_kingsleyae	ENSPKIT00000037415
ENSSFOP00015032174	ENSSFOG00015020594	Scleropages_formosus
ENSAOCP00000023471	ENSAOCG00000009621	Amphiprion_ocellaris
ENSAPEP00000006766	ENSAPEG00000004848	Amphiprion_percula
ENSAPOP00000020914	ENSAPOG00000024548	Acanthochromis_polyacanthus
ENSSPAP00000027215	ENSSPAG00000020525	Stegastes_partitus
ENSPRNP00000029049	ENSPRNG00000014497	Parambassis_ranga
ENSACLP00000000945	ENSACLG00000000682	Astatotilapia_calliptera
ENSPNYP00000017036	ENSPNYG00000012894	Pundamilia_nyererei
ENSMZEP00005010886	ENSMZEG00005008176	Maylandia_zebra
ENSHBUP00000008578	ENSHBUG00000010092	Haplochromis_burtoni
ENSONIP00000020542	ENSONIG00000016316	Oreochromis_niloticus
ENSNBRP00000013730	ENSNBRG00000010626	Neolamprologus_brichardi
ENSACIP00000024204	ENSACIG00000018709	Amphilophus_citrinellus
ENSGWIP00000018254	ENSGWIG00000010119	Gouania_willdenowi
ENSXCOP00000010085	ENSXCOG00000007489	Xiphophorus_couchianus
ENSXMAP00000039952	ENSXMAG00000025668	Xiphophorus_maculatus
ENSPMEP00000032910	ENSPMEG00000021109	Poecilia_mexicana
ENSPFOP00000001804	ENSPFOG00000001878	Poecilia_formosa
ENSPLAP00000031083	ENSPLAG00000022785	Poecilia_latipinna
ENSPREP00000009151	ENSPREG00000006252	Poecilia_reticulata
ENSGAFP00000014211	ENSGAFG00000009609	Gambusia_affinis
ENSFHEP00000031894	ENSFHEG00000018086	Fundulus_heteroclitus
ENSCVAP00000029945	ENSCVAG00000018117	Cyprinodon_variegatus
ENSKMAP00000025841	ENSKMAG00000019147	Kryptolebias_marmoratus
ENSORLP00015002880	ENSORLG00015003585	Oryzias_latipes_ASM223469v1
ENSORLP00020017554	ENSORLG00020000550	Oryzias_latipes_ASM223471v1
ENSORLP00000018544	ENSORLG00000014794	Oryzias_latipes_ASM223467v1
ENSOMEP00000018245	ENSOMEG00000019947	Oryzias_melastigma
ENSATEP00000013045	ENSATEG00000008953	Anabas_testudineus
ENSMAMP00000012022	ENSMAMG00000008128	Mastacembelus_armatus
ENSGACP00000018027	ENSGACG00000013639	Gasterosteus_aculeatus
ENSSMAP00000005123	ENSSMAG00000003146	Scophthalmus_maximus
ENSCGOP00000034301	ENSCGOG00000015896	Cottoperca_gobio
ENSMALP00000016421	ENSMALG00000011518	Monopterus_albus
ENSSLDP00000003403	ENSSLDG00000002700	Seriola_lalandi_dorsalis
ENSSDUP00000014615	ENSSDUG00000010668	Seriola_dumerili
ENSLCRP00005036106	ENSLCRG00005014080	Larimichthys_crocea
ENSTRUP00000052343	ENSTRUG00000022521	Takifugu_rubripes
ENSTRUP00000019664	ENSTRUG00000019589	Takifugu_rubripes
ENSTNIP00000004943	ENSTNIG00000002424	Tetraodon_nigroviridis
ENSMMOP00000024313	ENSMMOG00000018499	Mola_mola
ENSLBEP00000010444	ENSLBEG00000008069	Labrus_bergylta
ENSCSEP00000031622	ENSCSEG00000020259	Cynoglossus_semilaevis
ENSHCOP00000020092	ENSHCOG00000005889	Hippocampus_comes
ENSPMGP00000001235	ENSPMGG00000001117	Periophthalmus_magnuspinnatus
ENSGMOP00000020886	ENSGMOG00000019416	Gadus_morhua
ENSHHUP00000039934	ENSHHUG00000024737	Hucho_hucho
ENSHHUP00000039424	ENSHHUG00000024460	Hucho_hucho
ENSELUP00000017365	ENSELUG00000017083	Esox_lucius
ENSAMXP00000020571	ENSAMXG00000019981	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005013141	ENSAMXG00005007039	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000024782	ENSPNAG00000009527	Pygocentrus_nattereri
ENSIPUP00000034452	ENSIPUG00000023125	Ictalurus_punctatus
ENSEEEP00000020025	ENSEEEG00000009791	Electrophorus_electricus
ENSDARP00000056094	ENSDARG00000038439	Danio_rerio
ENSDCDP00000005766	ENSDCDG00000002810	Denticeps_clupeoides
