ENSPSIP00000020304	ENSPSIG00000017972	Pelodiscus_sinensis
ENSCABP00000023750	ENSCABG00000017490	Chelonoidis_abingdonii
ENSCPBP00000029337	ENSCPBG00000020676	Chrysemys_picta_bellii
ENSCPRP00005008236	ENSCPRG00005005892	Crocodylus_porosus
ENSABRP00000003200	ENSABRG00000003033	Anser_brachyrhynchus
ENSAPLP00000010542	ENSAPLG00000010799	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000015349	ENSCPGG00000010806	Calidris_pygmaea
ENSGALP00000031668	ENSGALG00000020262	Gallus_gallus
ENSCJPP00005023795	ENSCJPG00005018808	Coturnix_japonica
ENSMGAP00000007845	ENSMGAG00000007693	Meleagris_gallopavo
ENSNMEP00000000539	ENSNMEG00000000817	Numida_meleagris
ENSARWP00000002113	ENSARWG00000001621	Apteryx_rowi
ENSAOWP00000012449	ENSAOWG00000008521	Apteryx_owenii
ENSDNVP00000014252	ENSDNVG00000010010	Dromaius_novaehollandiae
ENSNPEP00000005084	ENSNPEG00000003856	Nothoprocta_perdicaria
ENSMUNP00000018079	ENSMUNG00000013836	Melopsittacus_undulatus
ENSMVIP00005007923	ENSMVIG00005005947	Manacus_vitellinus
ENSTGUP00000012966	ENSTGUG00000012597	Taeniopygia_guttata
ENSLSDP00000006690	ENSLSDG00000005062	Lonchura_striata_domestica
ENSFALP00000001621	ENSFALG00000001554	Ficedula_albicollis
ENSSCAP00000023696	ENSSCAG00000016957	Serinus_canaria
ENSJHYP00000019277	ENSJHYG00000014654	Junco_hyemalis
ENSZALP00000023590	ENSZALG00000018236	Zonotrichia_albicollis
ENSPMJP00000014996	ENSPMJG00000011379	Parus_major
ENSCPUP00000002459	ENSCPUG00000001890	Calidris_pugnax
ENSPVIP00000008789	ENSPVIG00000007060	Pogona_vitticeps
ENSMODP00000043401	ENSMODG00000050011	Monodelphis_domestica
ENSPCIP00000039389	ENSPCIG00000028920	Phascolarctos_cinereus
ENSPTIP00000016472	ENSPTIG00000015239	Panthera_tigris_altaica
ENSMPUP00000001488	ENSMPUG00000001502	Mustela_putorius_furo
ENSTTRP00000010862	ENSTTRG00000011455	Tursiops_truncatus
ENSMAUP00000022931	ENSMAUG00000020220	Mesocricetus_auratus
ENSETEP00000000811	ENSETEG00000001007	Echinops_telfairi
ENSETEP00000006473	ENSETEG00000007967	Echinops_telfairi
ENSP00000360464	ENSG00000101882	Homo_sapiens
ENSGGOP00000013002	ENSGGOG00000013330	Gorilla_gorilla
ENSPTRP00000047284	ENSPTRG00000022233	Pan_troglodytes
ENSPPAP00000014943	ENSPPAG00000030627	Pan_paniscus
ENSPPYP00000023146	ENSPPYG00000020679	Pongo_abelii
ENSRROP00000041183	ENSRROG00000043801	Rhinopithecus_roxellana
ENSRBIP00000030463	ENSRBIG00000039091	Rhinopithecus_bieti
ENSCANP00000014429	ENSCANG00000030639	Colobus_angolensis_palliatus
ENSMNEP00000045661	ENSMNEG00000045325	Macaca_nemestrina
ENSMFAP00000033652	ENSMFAG00000003304	Macaca_fascicularis
ENSMMUP00000061341	ENSMMUG00000012382	Macaca_mulatta
ENSCATP00000012250	ENSCATG00000030292	Cercocebus_atys
ENSTGEP00000025020	ENSTGEG00000020187	Theropithecus_gelada
ENSPANP00000014772	ENSPANG00000013752	Papio_anubis
ENSCSAP00000014353	ENSCSAG00000018345	Chlorocebus_sabaeus
ENSMLEP00000018696	ENSMLEG00000033533	Mandrillus_leucophaeus
ENSPTEP00000025319	ENSPTEG00000025639	Piliocolobus_tephrosceles
ENSNLEP00000031191	ENSNLEG00000035399	Nomascus_leucogenys
ENSCCAP00000002202	ENSCCAG00000013692	Cebus_capucinus_imitator
ENSCJAP00000070276	ENSCJAG00000004941	Callithrix_jacchus
ENSSBOP00000017699	ENSSBOG00000025492	Saimiri_boliviensis_boliviensis
ENSANAP00000041687	ENSANAG00000038130	Aotus_nancymaae
ENSTSYP00000012272	ENSTSYG00000013374	Carlito_syrichta
ENSPCOP00000009850	ENSPCOG00000016335	Propithecus_coquereli
ENSMICP00000012407	ENSMICG00000013599	Microcebus_murinus
ENSPSMP00000000292	ENSPSMG00000000260	Prolemur_simus
ENSOGAP00000000897	ENSOGAG00000001004	Otolemur_garnettii
ENSMUSP00000016553	ENSMUSG00000016409	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0094977	MGP_SPRETEiJ_G0034153	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0091227	MGP_CAROLIEiJ_G0033000	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0088869	MGP_PahariEiJ_G0031544	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073123	ENSRNOG00000053813	Rattus_norvegicus
ENSMUGP00000029663	ENSMUGG00000024628	Meriones_unguiculatus
ENSPEMP00000000824	ENSPEMG00000000591	Peromyscus_maniculatus_bairdii
ENSMOCP00000018891	ENSMOCG00000017047	Microtus_ochrogaster
ENSCGRP00015023106	ENSCGRG00015017548	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011528	ENSCGRG00001013137	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010404	ENSCGRG00000007637	Cricetulus_griseus_CriGri_1.0
ENSNGAP00000012908	ENSNGAG00000014623	Nannospalax_galili
ENSJJAP00000018187	ENSJJAG00000019521	Jaculus_jaculus
ENSSTOP00000001016	ENSSTOG00000001134	Ictidomys_tridecemlineatus
ENSSDAP00000006339	ENSSDAG00000005860	Spermophilus_dauricus
ENSUPAP00010001895	ENSUPAG00010001621	Urocitellus_parryii
ENSMMMP00000007410	ENSMMMG00000006657	Marmota_marmota_marmota
ENSCLAP00000008499	ENSCLAG00000005942	Chinchilla_lanigera
ENSODEP00000002922	ENSODEG00000002240	Octodon_degus
ENSHGLP00100001182	ENSHGLG00100000934	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100005162	ENSHGLG00100003914	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001912	ENSFDAG00000011757	Fukomys_damarensis
ENSDORP00000010760	ENSDORG00000011448	Dipodomys_ordii
ENSOCUP00000008286	ENSOCUG00000009613	Oryctolagus_cuniculus
ENSOPRP00000007210	ENSOPRG00000007872	Ochotona_princeps
ENSMLUP00000007607	ENSMLUG00000008310	Myotis_lucifugus
ENSPVAP00000015983	ENSPVAG00000016945	Pteropus_vampyrus
ENSSSCP00000072270	ENSSSCG00000012613	Sus_scrofa_strain_reference
ENSVPAP00000008883	ENSVPAG00000009548	Vicugna_pacos
ENSBIXP00005014367	ENSBIXG00005018358	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000014458	ENSBTAG00000010884	Bos_taurus
ENSOARP00000017127	ENSOARG00000015950	Ovis_aries
ENSCHIP00000000136	ENSCHIG00000000111	Capra_hircus
ENSBMUP00000014018	ENSBMUG00000010695	Bos_mutus
ENSECAP00000018703	ENSECAG00000021142	Equus_caballus
ENSEASP00005010879	ENSEASG00005007674	Equus_asinus_asinus
ENSEEUP00000004056	ENSEEUG00000004457	Erinaceus_europaeus
ENSSARP00000004274	ENSSARG00000004700	Sorex_araneus
ENSNVIP00000029098	ENSNVIG00000022430	Neovison_vison
ENSMPUP00000001468	ENSMPUG00000001482	Mustela_putorius_furo
ENSAMEP00000000193	ENSAMEG00000000173	Ailuropoda_melanoleuca
ENSCAFP00020004883	ENSCAFG00020003993	Canis_lupus_dingo
ENSCAFP00000039842	ENSCAFG00000018433	Canis_lupus_familiaris
ENSVVUP00000015902	ENSVVUG00000011683	Vulpes_vulpes
ENSPPRP00000002336	ENSPPRG00000023513	Panthera_pardus
ENSFCAP00000004056	ENSFCAG00000004392	Felis_catus
ENSDNOP00000023469	ENSDNOG00000037645	Dasypus_novemcinctus
ENSCHOP00000001141	ENSCHOG00000001285	Choloepus_hoffmanni
ENSLAFP00000002468	ENSLAFG00000002962	Loxodonta_africana
ENSPCAP00000002781	ENSPCAG00000002954	Procavia_capensis
ENSMEUP00000005171	ENSMEUG00000005665	Notamacropus_eugenii
ENSSHAP00000010559	ENSSHAG00000009115	Sarcophilus_harrisii
ENSMODP00000054419	ENSMODG00000046323	Monodelphis_domestica
