ENSAMEP00000007749	ENSAMEG00000007320	Ailuropoda_melanoleuca
ENSUMAP00000008010	ENSUMAG00000005776	Ursus_maritimus
ENSNVIP00000011013	ENSNVIG00000008712	Neovison_vison
ENSMPUP00000002525	ENSMPUG00000002554	Mustela_putorius_furo
ENSCAFP00020019802	ENSCAFG00020015691	Canis_lupus_dingo
ENSCAFP00000041414	ENSCAFG00000012986	Canis_lupus_familiaris
ENSVVUP00000007576	ENSVVUG00000005741	Vulpes_vulpes
ENSPTIP00000013153	ENSPTIG00000012955	Panthera_tigris_altaica
ENSPPRP00000029153	ENSPPRG00000021750	Panthera_pardus
ENSFCAP00000000754	ENSFCAG00000000813	Felis_catus
ENSPVAP00000009432	ENSPVAG00000010004	Pteropus_vampyrus
ENSECAP00000033369	ENSECAG00000012744	Equus_caballus
ENSEASP00005020742	ENSEASG00005014093	Equus_asinus_asinus
ENSTTRP00000011296	ENSTTRG00000011906	Tursiops_truncatus
ENSSSCP00000043168	ENSSSCG00000010746	Sus_scrofa_strain_reference
ENSOARP00000013126	ENSOARG00000012241	Ovis_aries
ENSCHIP00000008349	ENSCHIG00000011552	Capra_hircus
ENSBTAP00000061731	ENSBTAG00000012444	Bos_taurus
ENSBIXP00000030636	ENSBIXG00000012678	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040652	ENSBIXG00005023445	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000015480	ENSBMUG00000011732	Bos_mutus
ENSBBBP00000018544	ENSBBBG00000011479	Bison_bison_bison
ENSVPAP00000010486	ENSVPAG00000011262	Vicugna_pacos
ENSMLUP00000016340	ENSMLUG00000025482	Myotis_lucifugus
ENSCCNP00000017788	ENSCCNG00000018083	Castor_canadensis	ENSCCNT00000023163
ENSDORP00000005247	ENSDORG00000005609	Dipodomys_ordii	ENSDORT00000005609
ENSCGRP00001020313	ENSCGRG00001019498	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005308	ENSCGRG00000003881	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000011252	ENSCGRG00000008194	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015001511	ENSCGRG00015001234	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004867	ENSMAUG00000006532	Mesocricetus_auratus
ENSMOCP00000006584	ENSMOCG00000006212	Microtus_ochrogaster
ENSPEMP00000023554	ENSPEMG00000020560	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0086302	MGP_SPRETEiJ_G0031706	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000028775	ENSMSIG00000024107	Mus_spicilegus
ENSMUSP00000065213	ENSMUSG00000054555	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0082886	MGP_CAROLIEiJ_G0030592	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0019671	MGP_PahariEiJ_G0013799	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024974	ENSRNOG00000018384	Rattus_norvegicus
ENSMUGP00000026670	ENSMUGG00000022173	Meriones_unguiculatus
ENSNGAP00000020607	ENSNGAG00000020011	Nannospalax_galili
ENSJJAP00000018266	ENSJJAG00000019560	Jaculus_jaculus
ENSUPAP00010005317	ENSUPAG00010004287	Urocitellus_parryii
ENSSTOP00000003561	ENSSTOG00000003951	Ictidomys_tridecemlineatus
ENSMMMP00000003203	ENSMMMG00000002897	Marmota_marmota_marmota
ENSSDAP00000011009	ENSSDAG00000009923	Spermophilus_dauricus
ENSCAPP00000017838	ENSCAPG00000017399	Cavia_aperea
ENSCAPP00000011919	ENSCAPG00000012898	Cavia_aperea
ENSCPOP00000003491	ENSCPOG00000003867	Cavia_porcellus
ENSODEP00000024059	ENSODEG00000017603	Octodon_degus
ENSCLAP00000005295	ENSCLAG00000003758	Chinchilla_lanigera
ENSHGLP00000020866	ENSHGLG00000014915	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020679	ENSHGLG00100015240	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012237	ENSFDAG00000019623	Fukomys_damarensis
ENSOCUP00000007586	ENSOCUG00000008781	Oryctolagus_cuniculus
ENSOPRP00000008281	ENSOPRG00000009032	Ochotona_princeps
ENSPTRP00000050102	ENSPTRG00000003046	Pan_troglodytes
ENSPPAP00000010880	ENSPPAG00000028636	Pan_paniscus
ENSP00000357668	ENSG00000148848	Homo_sapiens
ENSGGOP00000000739	ENSGGOG00000000750	Gorilla_gorilla
ENSPPYP00000003219	ENSPPYG00000002755	Pongo_abelii
ENSNLEP00000001035	ENSNLEG00000000851	Nomascus_leucogenys
ENSPTEP00000031375	ENSPTEG00000030321	Piliocolobus_tephrosceles
ENSCANP00000038218	ENSCANG00000042790	Colobus_angolensis_palliatus
ENSRROP00000019237	ENSRROG00000033634	Rhinopithecus_roxellana
ENSRBIP00000024434	ENSRBIG00000036110	Rhinopithecus_bieti
ENSMFAP00000044199	ENSMFAG00000039461	Macaca_fascicularis
ENSMMUP00000012636	ENSMMUG00000009661	Macaca_mulatta
ENSMNEP00000029491	ENSMNEG00000038213	Macaca_nemestrina
ENSMLEP00000025682	ENSMLEG00000037033	Mandrillus_leucophaeus
ENSTGEP00000036277	ENSTGEG00000028863	Theropithecus_gelada
ENSCSAP00000000816	ENSCSAG00000004479	Chlorocebus_sabaeus
ENSPANP00000016085	ENSPANG00000020265	Papio_anubis
ENSCATP00000043845	ENSCATG00000044424	Cercocebus_atys
ENSCCAP00000017217	ENSCCAG00000026413	Cebus_capucinus_imitator
ENSSBOP00000030355	ENSSBOG00000031448	Saimiri_boliviensis_boliviensis
ENSCJAP00000022581	ENSCJAG00000012314	Callithrix_jacchus
ENSANAP00000025104	ENSANAG00000030269	Aotus_nancymaae
ENSTSYP00000000764	ENSTSYG00000000830	Carlito_syrichta
ENSPSMP00000004622	ENSPSMG00000003557	Prolemur_simus
ENSPCOP00000017925	ENSPCOG00000020813	Propithecus_coquereli
ENSMICP00000005666	ENSMICG00000006210	Microcebus_murinus
ENSOGAP00000013903	ENSOGAG00000015525	Otolemur_garnettii
ENSTBEP00000000342	ENSTBEG00000000380	Tupaia_belangeri
ENSCHOP00000007669	ENSCHOG00000008648	Choloepus_hoffmanni	ENSCHOT00000008692
ENSDNOP00000010094	ENSDNOG00000012992	Dasypus_novemcinctus	ENSDNOT00000013004
ENSPCAP00000012034	ENSPCAG00000012825	Procavia_capensis	ENSPCAT00000012883
ENSLAFP00000009459	ENSLAFG00000011309	Loxodonta_africana	ENSLAFT00000011316
ENSETEP00000010459	ENSETEG00000012893	Echinops_telfairi
ENSEEUP00000000587	ENSEEUG00000000668	Erinaceus_europaeus
ENSMLUP00000000986	ENSMLUG00000001072	Myotis_lucifugus
ENSVURP00010031862	ENSVURG00010024308	Vombatus_ursinus
ENSPCIP00000051514	ENSPCIG00000022814	Phascolarctos_cinereus
ENSMEUP00000009702	ENSMEUG00000010617	Notamacropus_eugenii
ENSMODP00000013206	ENSMODG00000010538	Monodelphis_domestica
ENSSHAP00000013434	ENSSHAG00000011484	Sarcophilus_harrisii
ENSOANP00000031967	ENSOANG00000029586	Ornithorhynchus_anatinus
ENSECRP00000014342	ENSECRG00000009577	Erpetoichthys_calabaricus
ENSPMAP00000005533	ENSPMAG00000005053	Petromyzon_marinus
ENSPMAP00000007622	ENSPMAG00000006897	Petromyzon_marinus
ENSLACP00000001775	ENSLACG00000001585	Latimeria_chalumnae
ENSCMIP00000016729	ENSCMIG00000008027	Callorhinchus_milii
ENSPMAP00000004506	ENSPMAG00000004117	Petromyzon_marinus
ENSEBUP00000011139	ENSEBUG00000007146	Eptatretus_burgeri
ENSSFOP00015015817	ENSSFOG00015010203	Scleropages_formosus
ENSPKIP00000014398	ENSPKIG00000001470	Paramormyrops_kingsleyae
ENSHHUP00000038137	ENSHHUG00000023841	Hucho_hucho
ENSAPOP00000029834	ENSAPOG00000016020	Acanthochromis_polyacanthus
ENSCGOP00000040759	ENSCGOG00000018303	Cottoperca_gobio
ENSGACP00000003447	ENSGACG00000002628	Gasterosteus_aculeatus
ENSLBEP00000033477	ENSLBEG00000025211	Labrus_bergylta
ENSLCRP00005061020	ENSLCRG00005022455	Larimichthys_crocea
ENSMAMP00000029835	ENSMAMG00000020105	Mastacembelus_armatus
ENSMALP00000004362	ENSMALG00000003140	Monopterus_albus
ENSATEP00000002032	ENSATEG00000001358	Anabas_testudineus
ENSAPEP00000029437	ENSAPEG00000020789	Amphiprion_percula
ENSAOCP00000030416	ENSAOCG00000021590	Amphiprion_ocellaris
ENSAPOP00000023639	ENSAPOG00000005558	Acanthochromis_polyacanthus
ENSPRNP00000047228	ENSPRNG00000022550	Parambassis_ranga
ENSFHEP00000010522	ENSFHEG00000011836	Fundulus_heteroclitus
ENSCVAP00000023363	ENSCVAG00000006639	Cyprinodon_variegatus
ENSXMAP00000016522	ENSXMAG00000016474	Xiphophorus_maculatus
ENSGAFP00000015032	ENSGAFG00000010155	Gambusia_affinis
ENSPREP00000009560	ENSPREG00000006491	Poecilia_reticulata
ENSPMEP00000011037	ENSPMEG00000013052	Poecilia_mexicana
ENSXCOP00000007253	ENSXCOG00000005607	Xiphophorus_couchianus
ENSPFOP00000010020	ENSPFOG00000009738	Poecilia_formosa
ENSKMAP00000017859	ENSKMAG00000013300	Kryptolebias_marmoratus
ENSORLP00000012318	ENSORLG00000009815	Oryzias_latipes_ASM223467v1
ENSORLP00015004071	ENSORLG00015004838	Oryzias_latipes_ASM223469v1
ENSORLP00020004836	ENSORLG00020005628	Oryzias_latipes_ASM223471v1
ENSOMEP00000027884	ENSOMEG00000010655	Oryzias_melastigma
ENSGWIP00000055347	ENSGWIG00000026340	Gouania_willdenowi
ENSMZEP00005002271	ENSMZEG00005001803	Maylandia_zebra
ENSACLP00000005440	ENSACLG00000003663	Astatotilapia_calliptera
ENSHBUP00000033077	ENSHBUG00000019769	Haplochromis_burtoni
ENSONIP00000020152	ENSONIG00000015999	Oreochromis_niloticus
ENSNBRP00000016064	ENSNBRG00000012394	Neolamprologus_brichardi
ENSPNYP00000002475	ENSPNYG00000001858	Pundamilia_nyererei
ENSACIP00000002001	ENSACIG00000001512	Amphilophus_citrinellus
ENSSDUP00000024448	ENSSDUG00000017759	Seriola_dumerili
ENSSLDP00000024714	ENSSLDG00000019253	Seriola_lalandi_dorsalis
ENSSMAP00000005104	ENSSMAG00000003145	Scophthalmus_maximus
ENSLCAP00010046267	ENSLCAG00010021398	Lates_calcarifer
ENSPFOP00000010318	ENSPFOG00000010357	Poecilia_formosa
ENSMMOP00000018091	ENSMMOG00000013715	Mola_mola
ENSCSEP00000016344	ENSCSEG00000010171	Cynoglossus_semilaevis
ENSTNIP00000001678	ENSTNIG00000010369	Tetraodon_nigroviridis
ENSTRUP00000021277	ENSTRUG00000008494	Takifugu_rubripes
ENSBSLP00000055168	ENSBSLG00000025799	Betta_splendens
ENSPMGP00000018181	ENSPMGG00000014551	Periophthalmus_magnuspinnatus
ENSGMOP00000002709	ENSGMOG00000002539	Gadus_morhua
ENSELUP00000014827	ENSELUG00000014859	Esox_lucius
ENSCHAP00000056240	ENSCHAG00000025127	Clupea_harengus
ENSDCDP00000052449	ENSDCDG00000031471	Denticeps_clupeoides
ENSIPUP00000008475	ENSIPUG00000005828	Ictalurus_punctatus
ENSEEEP00000048552	ENSEEEG00000022839	Electrophorus_electricus
ENSPNAP00000007477	ENSPNAG00000013279	Pygocentrus_nattereri
ENSAMXP00000032546	ENSAMXG00000007834	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000148887	ENSDARG00000116062	Danio_rerio
ENSSFOP00015013268	ENSSFOG00015008550	Scleropages_formosus
ENSHCOP00000013437	ENSHCOG00000016655	Hippocampus_comes
ENSHCOP00000013546	ENSHCOG00000016810	Hippocampus_comes
ENSSPAP00000001956	ENSSPAG00000001489	Stegastes_partitus
ENSSPAP00000002157	ENSSPAG00000001537	Stegastes_partitus
ENSFHEP00000018690	ENSFHEG00000020596	Fundulus_heteroclitus
ENSXCOP00000012983	ENSXCOG00000009833	Xiphophorus_couchianus
ENSPLAP00000016439	ENSPLAG00000020594	Poecilia_latipinna
ENSAMXP00005034331	ENSAMXG00005016560	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPKIP00000018417	ENSPKIG00000003986	Paramormyrops_kingsleyae
ENSTRUP00000008991	ENSTRUG00000003817	Takifugu_rubripes
ENSTNIP00000016330	ENSTNIG00000013340	Tetraodon_nigroviridis
