ENSVURP00010025669	ENSVURG00010019656	Vombatus_ursinus	ENSVURT00010029229
ENSVURP00010000215	ENSVURG00010000199	Vombatus_ursinus	ENSVURT00010000244
ENSPCIP00000017902	ENSPCIG00000013657	Phascolarctos_cinereus	ENSPCIT00000022066
ENSSHAP00000019523	ENSSHAG00000016581	Sarcophilus_harrisii	ENSSHAT00000019680
ENSMODP00000000533	ENSMODG00000000449	Monodelphis_domestica	ENSMODT00000000547
ENSOPRP00000009582	ENSOPRG00000010498	Ochotona_princeps
ENSETEP00000005515	ENSETEG00000006794	Echinops_telfairi
ENSCAFP00020004409	ENSCAFG00020003636	Canis_lupus_dingo
ENSCAFP00000004403	ENSCAFG00000002970	Canis_lupus_familiaris
ENSVVUP00000034293	ENSVVUG00000024771	Vulpes_vulpes
ENSNVIP00000015383	ENSNVIG00000012062	Neovison_vison
ENSMPUP00000004811	ENSMPUG00000004851	Mustela_putorius_furo
ENSAMEP00000006192	ENSAMEG00000005877	Ailuropoda_melanoleuca
ENSPPRP00000014756	ENSPPRG00000007567	Panthera_pardus	ENSPPRT00000012910
ENSPTIP00000011166	ENSPTIG00000011682	Panthera_tigris_altaica
ENSFCAP00000051482	ENSFCAG00000041347	Felis_catus
ENSMLUP00000007601	ENSMLUG00000008332	Myotis_lucifugus
ENSECAP00000040891	ENSECAG00000038185	Equus_caballus
ENSEASP00005032517	ENSEASG00005022194	Equus_asinus_asinus
ENSCHIP00000003978	ENSCHIG00000008199	Capra_hircus
ENSOARP00000010250	ENSOARG00000009550	Ovis_aries
ENSBMUP00000003056	ENSBMUG00000002431	Bos_mutus
ENSBBBP00000012842	ENSBBBG00000020482	Bison_bison_bison
ENSBIXP00005034310	ENSBIXG00005015197	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000014499	ENSBIXG00000019168	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000043379	ENSBTAG00000014735	Bos_taurus
ENSSSCP00000026595	ENSSSCG00000029666	Sus_scrofa_strain_reference
ENSCLAP00000015033	ENSCLAG00000010361	Chinchilla_lanigera
ENSODEP00000010297	ENSODEG00000007693	Octodon_degus
ENSCPOP00000029533	ENSCPOG00000033640	Cavia_porcellus
ENSHGLP00000011054	ENSHGLG00000007930	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008670	ENSHGLG00100006452	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001774	ENSFDAG00000011652	Fukomys_damarensis
ENSPEMP00000028929	ENSPEMG00000024341	Peromyscus_maniculatus_bairdii
ENSMOCP00000000577	ENSMOCG00000000460	Microtus_ochrogaster
ENSCGRP00015027846	ENSCGRG00015021118	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017189	ENSCGRG00001017295	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000001360	ENSMAUG00000001019	Mesocricetus_auratus
MGP_SPRETEiJ_P0076732	MGP_SPRETEiJ_G0029394	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000011133	ENSMSIG00000009733	Mus_spicilegus
ENSMUSP00000039170	ENSMUSG00000038203	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0073863	MGP_CAROLIEiJ_G0028392	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049954	MGP_PahariEiJ_G0022142	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073370	ENSRNOG00000053148	Rattus_norvegicus
ENSRNOP00000073843	ENSRNOG00000057061	Rattus_norvegicus
ENSMUGP00000000930	ENSMUGG00000000882	Meriones_unguiculatus
ENSNGAP00000026579	ENSNGAG00000024186	Nannospalax_galili
ENSCCNP00000023941	ENSCCNG00000023477	Castor_canadensis
ENSDORP00000005921	ENSDORG00000006328	Dipodomys_ordii
ENSOCUP00000048627	ENSOCUG00000024694	Oryctolagus_cuniculus
ENSMNEP00000041276	ENSMNEG00000043469	Macaca_nemestrina
ENSMFAP00000041802	ENSMFAG00000039716	Macaca_fascicularis
ENSTGEP00000025755	ENSTGEG00000020733	Theropithecus_gelada
ENSPANP00000021294	ENSPANG00000030952	Papio_anubis
ENSCATP00000028139	ENSCATG00000037385	Cercocebus_atys
ENSCSAP00000010448	ENSCSAG00000014315	Chlorocebus_sabaeus
ENSPTRP00000063505	ENSPTRG00000050384	Pan_troglodytes
ENSPTRP00000048099	ENSPTRG00000028643	Pan_troglodytes
ENSP00000497112	ENSG00000106031	Homo_sapiens
ENSPPYP00000019837	ENSPPYG00000017697	Pongo_abelii
ENSPTEP00000019895	ENSPTEG00000021187	Piliocolobus_tephrosceles
ENSCANP00000012810	ENSCANG00000029812	Colobus_angolensis_palliatus
ENSRBIP00000001703	ENSRBIG00000008704	Rhinopithecus_bieti
ENSNLEP00000033164	ENSNLEG00000014997	Nomascus_leucogenys
ENSRROP00000018670	ENSRROG00000033374	Rhinopithecus_roxellana
ENSCCAP00000020851	ENSCCAG00000028264	Cebus_capucinus_imitator
ENSSBOP00000014660	ENSSBOG00000024071	Saimiri_boliviensis_boliviensis
ENSCJAP00000062794	ENSCJAG00000008192	Callithrix_jacchus
ENSANAP00000018896	ENSANAG00000027275	Aotus_nancymaae
ENSGGOP00000005197	ENSGGOG00000005309	Gorilla_gorilla
ENSPPAP00000041423	ENSPPAG00000043323	Pan_paniscus
ENSMLEP00000001489	ENSMLEG00000005797	Mandrillus_leucophaeus
ENSMMUP00000017696	ENSMMUG00000013463	Macaca_mulatta
ENSCJAP00000072850	ENSCJAG00000068822	Callithrix_jacchus
ENSTSYP00000014098	ENSTSYG00000036597	Carlito_syrichta
ENSMICP00000043685	ENSMICG00000043155	Microcebus_murinus
ENSPCOP00000016349	ENSPCOG00000019940	Propithecus_coquereli
ENSPSMP00000020867	ENSPSMG00000014769	Prolemur_simus
ENSOGAP00000015689	ENSOGAG00000028983	Otolemur_garnettii
ENSMMMP00000007339	ENSMMMG00000006593	Marmota_marmota_marmota
ENSSDAP00000023879	ENSSDAG00000021742	Spermophilus_dauricus
ENSUPAP00010021823	ENSUPAG00010017357	Urocitellus_parryii
ENSSTOP00000023204	ENSSTOG00000029157	Ictidomys_tridecemlineatus
ENSJJAP00000014189	ENSJJAG00000016730	Jaculus_jaculus
ENSDNOP00000030388	ENSDNOG00000047528	Dasypus_novemcinctus
ENSLAFP00000000623	ENSLAFG00000000738	Loxodonta_africana
ENSOANP00000014598	ENSOANG00000009173	Ornithorhynchus_anatinus
ENSMVIP00005025106	ENSMVIG00005017577	Manacus_vitellinus
ENSSCAP00000020921	ENSSCAG00000015071	Serinus_canaria
