ENSDARP00000124378	ENSDARG00000095805	Danio_rerio
ENSAPOP00000014176	ENSAPOG00000017053	Acanthochromis_polyacanthus
ENSECRP00000031356	ENSECRG00000021250	Erpetoichthys_calabaricus
ENSATEP00000000500	ENSATEG00000000384	Anabas_testudineus
ENSSPAP00000009049	ENSSPAG00000006890	Stegastes_partitus
ENSOANP00000027149	ENSOANG00000021330	Ornithorhynchus_anatinus
ENSAPEP00000020596	ENSAPEG00000014711	Amphiprion_percula
ENSGMOP00000009668	ENSGMOG00000009042	Gadus_morhua
ENSONIP00000014661	ENSONIG00000011647	Oreochromis_niloticus
ENSOMEP00000025468	ENSOMEG00000000157	Oryzias_melastigma
ENSLCAP00010016109	ENSLCAG00010007681	Lates_calcarifer
ENSGWIP00000042932	ENSGWIG00000021492	Gouania_willdenowi
ENSTNIP00000001398	ENSTNIG00000000497	Tetraodon_nigroviridis
ENSBSLP00000051637	ENSBSLG00000024432	Betta_splendens
ENSSMRP00000024897	ENSSMRG00000019244	Salvator_merianae
ENSPKIP00000029624	ENSPKIG00000010800	Paramormyrops_kingsleyae
ENSHHUP00000048961	ENSHHUG00000029671	Hucho_hucho
ENSAOCP00000022177	ENSAOCG00000002582	Amphiprion_ocellaris
ENSACIP00000017523	ENSACIG00000013671	Amphilophus_citrinellus	ENSACIT00000017996
ENSCHAP00000051444	ENSCHAG00000023563	Clupea_harengus
ENSHHUP00000043733	ENSHHUG00000026840	Hucho_hucho
ENSTRUP00000016318	ENSTRUG00000006639	Takifugu_rubripes
ENSLBEP00000016214	ENSLBEG00000012557	Labrus_bergylta
ENSIPUP00000000711	ENSIPUG00000000522	Ictalurus_punctatus
ENSLACP00000007943	ENSLACG00000007030	Latimeria_chalumnae
ENSORLP00020022256	ENSORLG00020002460	Oryzias_latipes_ASM223471v1
ENSSLDP00000032076	ENSSLDG00000024631	Seriola_lalandi_dorsalis
ENSORLP00000028175	ENSORLG00000028205	Oryzias_latipes_ASM223467v1
ENSSMAP00000005441	ENSSMAG00000003347	Scophthalmus_maximus
ENSCSEP00000007124	ENSCSEG00000004602	Cynoglossus_semilaevis
ENSSDUP00000000889	ENSSDUG00000000704	Seriola_dumerili
ENSORLP00015031684	ENSORLG00015016019	Oryzias_latipes_ASM223469v1
ENSLCRP00005059440	ENSLCRG00005022004	Larimichthys_crocea
ENSLOCP00000017681	ENSLOCG00000014358	Lepisosteus_oculatus
ENSSFOP00015031578	ENSSFOG00015020234	Scleropages_formosus
ENSAMXP00000028341	ENSAMXG00000041265	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSELUP00000005910	ENSELUG00000006870	Esox_lucius
ENSNBRP00000028414	ENSNBRG00000021662	Neolamprologus_brichardi
ENSPNAP00000011444	ENSPNAG00000017106	Pygocentrus_nattereri
ENSAMXP00005051955	ENSAMXG00005023418	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
