ENSONIP00000005413	ENSONIG00000004294	Oreochromis_niloticus
ENSBIXP00005025494	ENSBIXG00005007595	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSODEP00000006832	ENSODEG00000005103	Octodon_degus
ENSSPAP00000019912	ENSSPAG00000015009	Stegastes_partitus
ENSPMGP00000007133	ENSPMGG00000005947	Periophthalmus_magnuspinnatus
ENSEEEP00000021959	ENSEEEG00000010671	Electrophorus_electricus
ENSHCOP00000001186	ENSHCOG00000002103	Hippocampus_comes
ENSCSEP00000003378	ENSCSEG00000002217	Cynoglossus_semilaevis
ENSAPLP00000004919	ENSAPLG00000005367	Anas_platyrhynchos_platyrhynchos
ENSNMEP00000007392	ENSNMEG00000007417	Numida_meleagris
ENSELUP00000021122	ENSELUG00000020246	Esox_lucius
ENSMUNP00000022053	ENSMUNG00000016598	Melopsittacus_undulatus
ENSDARP00000112413	ENSDARG00000091509	Danio_rerio
ENSPPAP00000031470	ENSPPAG00000038667	Pan_paniscus
ENSCHIP00000032370	ENSCHIG00000026375	Capra_hircus
ENSCVAP00000008028	ENSCVAG00000009775	Cyprinodon_variegatus
ENSCVAP00000002532	ENSCVAG00000003641	Cyprinodon_variegatus
ENSSFOP00015020634	ENSSFOG00015013285	Scleropages_formosus
ENSSDUP00000021355	ENSSDUG00000015526	Seriola_dumerili
ENSANAP00000031200	ENSANAG00000033330	Aotus_nancymaae
ENSGAFP00000009690	ENSGAFG00000006601	Gambusia_affinis
ENSRROP00000034074	ENSRROG00000040597	Rhinopithecus_roxellana
ENSPEMP00000023368	ENSPEMG00000020422	Peromyscus_maniculatus_bairdii
ENSNSUP00000005840	ENSNSUG00000004706	Notechis_scutatus	ENSNSUT00000006288
ENSLBEP00000035727	ENSLBEG00000026795	Labrus_bergylta
ENSACIP00000017616	ENSACIG00000013727	Amphilophus_citrinellus
ENSPTIP00000024735	ENSPTIG00000020744	Panthera_tigris_altaica
ENSGMOP00000019394	ENSGMOG00000018035	Gadus_morhua
ENSLCOP00000011173	ENSLCOG00000008101	Lepidothrix_coronata
