ENSGMOP00000012307	ENSGMOG00000011511	Gadus_morhua
ENSIPUP00000034791	ENSIPUG00000023370	Ictalurus_punctatus
ENSCHAP00000026068	ENSCHAG00000012664	Clupea_harengus
ENSDCDP00000035583	ENSDCDG00000023872	Denticeps_clupeoides
ENSAMXP00000016319	ENSAMXG00000015855	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005047726	ENSAMXG00005021876	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000010323	ENSPNAG00000015887	Pygocentrus_nattereri
ENSEEEP00000007659	ENSEEEG00000004006	Electrophorus_electricus
ENSIPUP00000003723	ENSIPUG00000002625	Ictalurus_punctatus
ENSDARP00000104933	ENSDARG00000033160	Danio_rerio
ENSHHUP00000020655	ENSHHUG00000012933	Hucho_hucho
ENSHHUP00000010987	ENSHHUG00000006736	Hucho_hucho
ENSELUP00000015018	ENSELUG00000015028	Esox_lucius
ENSSFOP00015008043	ENSSFOG00015005263	Scleropages_formosus
ENSPKIP00000035432	ENSPKIG00000014394	Paramormyrops_kingsleyae
ENSAPEP00000011219	ENSAPEG00000008016	Amphiprion_percula
ENSAOCP00000014148	ENSAOCG00000018796	Amphiprion_ocellaris
ENSAPOP00000015038	ENSAPOG00000017985	Acanthochromis_polyacanthus
ENSSPAP00000025193	ENSSPAG00000018880	Stegastes_partitus
ENSPRNP00000049677	ENSPRNG00000023698	Parambassis_ranga
ENSFHEP00000032821	ENSFHEG00000019538	Fundulus_heteroclitus
ENSCVAP00000026809	ENSCVAG00000012595	Cyprinodon_variegatus
ENSKMAP00000018743	ENSKMAG00000013936	Kryptolebias_marmoratus
ENSACLP00000022633	ENSACLG00000015371	Astatotilapia_calliptera
ENSHBUP00000014651	ENSHBUG00000016545	Haplochromis_burtoni
ENSMZEP00005005524	ENSMZEG00005004281	Maylandia_zebra
ENSPNYP00000023258	ENSPNYG00000017524	Pundamilia_nyererei
ENSONIP00000011673	ENSONIG00000009283	Oreochromis_niloticus
ENSNBRP00000025756	ENSNBRG00000019707	Neolamprologus_brichardi
ENSACIP00000025951	ENSACIG00000020098	Amphilophus_citrinellus
ENSSDUP00000021992	ENSSDUG00000015991	Seriola_dumerili
ENSSDUP00000022004	ENSSDUG00000016011	Seriola_dumerili
ENSSLDP00000017119	ENSSLDG00000013528	Seriola_lalandi_dorsalis
ENSLCAP00010047467	ENSLCAG00010021991	Lates_calcarifer
ENSLBEP00000023495	ENSLBEG00000018015	Labrus_bergylta
ENSLBEP00000011970	ENSLBEG00000009207	Labrus_bergylta
ENSMALP00000001643	ENSMALG00000001227	Monopterus_albus
ENSMAMP00000016118	ENSMAMG00000010917	Mastacembelus_armatus
ENSATEP00000021132	ENSATEG00000014679	Anabas_testudineus
ENSBSLP00000007733	ENSBSLG00000003841	Betta_splendens
ENSXMAP00000018990	ENSXMAG00000018934	Xiphophorus_maculatus
ENSXCOP00000002018	ENSXCOG00000001624	Xiphophorus_couchianus
ENSGAFP00000000673	ENSGAFG00000000414	Gambusia_affinis
ENSPLAP00000008701	ENSPLAG00000011335	Poecilia_latipinna
ENSPREP00000018456	ENSPREG00000012510	Poecilia_reticulata
ENSPFOP00000008525	ENSPFOG00000008509	Poecilia_formosa
ENSPMEP00000006265	ENSPMEG00000007733	Poecilia_mexicana
ENSMMOP00000016714	ENSMMOG00000012731	Mola_mola
ENSECRP00000033208	ENSECRG00000022487	Erpetoichthys_calabaricus
ENSCPGP00000020959	ENSCPGG00000014611	Calidris_pygmaea
ENSCPUP00000001336	ENSCPUG00000001027	Calidris_pugnax
