ENSGALP00000064978	ENSGALG00000031869	Gallus_gallus	ENSGALT00000100606
ENSCJPP00005012208	ENSCJPG00005010396	Coturnix_japonica	ENSCJPT00005017722
ENSFALP00000010667	ENSFALG00000010225	Ficedula_albicollis	ENSFALT00000010709
ENSGAGP00000019131	ENSGAGG00000014145	Gopherus_agassizii	ENSGAGT00000021799
ENSPVIP00000032912	ENSPVIG00000024104	Pogona_vitticeps	ENSPVIT00000040297
ENSACAP00000017892	ENSACAG00000020939	Anolis_carolinensis	ENSACAT00000021098
ENSSHAP00000011380	ENSSHAG00000009787	Sarcophilus_harrisii
ENSPCIP00000015111	ENSPCIG00000011774	Phascolarctos_cinereus
ENSSSCP00000050361	ENSSSCG00000031906	Sus_scrofa_strain_reference
ENSOARP00000015284	ENSOARG00000014234	Ovis_aries
ENSCAFP00000038392	ENSCAFG00000043525	Canis_lupus_familiaris
ENSMAUP00000012299	ENSMAUG00000012632	Mesocricetus_auratus
MGP_SPRETEiJ_P0017517	MGP_SPRETEiJ_G0014723	Mus_spretus_strain_SPRET/EiJ
ENSSDAP00000014223	ENSSDAG00000012784	Spermophilus_dauricus
ENSCSAP00000010767	ENSCSAG00000014645	Chlorocebus_sabaeus
ENSLACP00000016310	ENSLACG00000014370	Latimeria_chalumnae
ENSLOCP00000006723	ENSLOCG00000005569	Lepisosteus_oculatus
ENSACAP00000019388	ENSACAG00000028027	Anolis_carolinensis	ENSACAT00000022699
ENSPSIP00000017263	ENSPSIG00000015363	Pelodiscus_sinensis
ENSCPBP00000006324	ENSCPBG00000005038	Chrysemys_picta_bellii
ENSGAGP00000004439	ENSGAGG00000003676	Gopherus_agassizii
ENSCJPP00005012209	ENSCJPG00005010397	Coturnix_japonica
ENSGALP00000066981	ENSGALG00000054096	Gallus_gallus
ENSABRP00000005884	ENSABRG00000005484	Anser_brachyrhynchus
ENSCCEP00000014387	ENSCCEG00000013729	Cyanistes_caeruleus
ENSPMAP00000008249	ENSPMAG00000007501	Petromyzon_marinus
ENSHCOP00000004081	ENSHCOG00000005465	Hippocampus_comes
C52E12.4.1	WBGene00016889	Caenorhabditis_elegans_strain_N2
