ENSOARP00000010435	ENSOARG00000009730	Ovis_aries
ENSHGLP00100004165	ENSHGLG00100003165	Heterocephalus_glaber_HetGla_1.0
ENSDNOP00000022092	ENSDNOG00000046553	Dasypus_novemcinctus
ENSCLAP00000007528	ENSCLAG00000005286	Chinchilla_lanigera
ENSPTEP00000022684	ENSPTEG00000023566	Piliocolobus_tephrosceles
ENSMLEP00000031790	ENSMLEG00000040098	Mandrillus_leucophaeus
ENSCCAP00000022965	ENSCCAG00000029292	Cebus_capucinus_imitator
ENSFCAP00000043615	ENSFCAG00000045901	Felis_catus
ENSP00000426174	ENSG00000242715	Homo_sapiens
ENSPEMP00000016779	ENSPEMG00000015894	Peromyscus_maniculatus_bairdii
ENSMUSP00000054771	ENSMUSG00000048655	Mus_musculus_strain_reference_(CL57BL6)
ENSCAPP00000003372	ENSCAPG00000006155	Cavia_aperea
ENSPTIP00000013585	ENSPTIG00000013273	Panthera_tigris_altaica
ENSOCUP00000016951	ENSOCUG00000026427	Oryctolagus_cuniculus
ENSODEP00000008883	ENSODEG00000006643	Octodon_degus
ENSSHAP00000016421	ENSSHAG00000013972	Sarcophilus_harrisii
ENSANAP00000019637	ENSANAG00000027605	Aotus_nancymaae
ENSNVIP00000001476	ENSNVIG00000001197	Neovison_vison
ENSRROP00000008664	ENSRROG00000028774	Rhinopithecus_roxellana
ENSSSCP00000026602	ENSSSCG00000026564	Sus_scrofa_strain_reference
ENSFCAP00000047952	ENSFCAG00000023451	Felis_catus
ENSMUGP00000005527	ENSMUGG00000005069	Meriones_unguiculatus
ENSPPRP00000024430	ENSPPRG00000014636	Panthera_pardus
ENSUPAP00010002234	ENSUPAG00010001871	Urocitellus_parryii
ENSCGRP00001007687	ENSCGRG00001010072	Cricetulus_griseus_CHOK1GS_HDv1
MGP_SPRETEiJ_P0059982	MGP_SPRETEiJ_G0025934	Mus_spretus_strain_SPRET/EiJ
ENSCANP00000018833	ENSCANG00000032837	Colobus_angolensis_palliatus
