ENSMFAP00000008974	ENSMFAG00000001040	Macaca_fascicularis	ENSMFAT00000021072
ENSMNEP00000000234	ENSMNEG00000000952	Macaca_nemestrina	ENSMNET00000001021
ENSPANP00000025170	ENSPANG00000035648	Papio_anubis	ENSPANT00000038731
ENSCATP00000042912	ENSCATG00000044037	Cercocebus_atys	ENSCATT00000067348
ENSMLEP00000007273	ENSMLEG00000027656	Mandrillus_leucophaeus	ENSMLET00000030575
ENSRBIP00000021758	ENSRBIG00000034836	Rhinopithecus_bieti	ENSRBIT00000045644
ENSRROP00000038399	ENSRROG00000042591	Rhinopithecus_roxellana	ENSRROT00000062873
ENSPTEP00000019316	ENSPTEG00000020664	Piliocolobus_tephrosceles	ENSPTET00000028218
ENSPTRP00000079826	ENSPTRG00000046233	Pan_troglodytes	ENSPTRT00000078831
ENSGGOP00000037000	ENSGGOG00000038647	Gorilla_gorilla	ENSGGOT00000064505
ENSNLEP00000030389	ENSNLEG00000031951	Nomascus_leucogenys	ENSNLET00000054089
ENSPPAP00000033051	ENSPPAG00000039390	Pan_paniscus	ENSPPAT00000055921
