ENSORLP00015025273	ENSORLG00015006305	Oryzias_latipes_ASM223469v1
ENSORLP00020032835	ENSORLG00020000558	Oryzias_latipes_ASM223471v1
ENSOMEP00000002315	ENSOMEG00000003253	Oryzias_melastigma
ENSNBRP00000006267	ENSNBRG00000004934	Neolamprologus_brichardi
ENSCSEP00000026221	ENSCSEG00000016748	Cynoglossus_semilaevis
ENSPMGP00000013005	ENSPMGG00000010724	Periophthalmus_magnuspinnatus
ENSHCOP00000015345	ENSHCOG00000018930	Hippocampus_comes
ENSPKIP00000005173	ENSPKIG00000021963	Paramormyrops_kingsleyae
ENSCCNP00000013388	ENSCCNG00000013901	Castor_canadensis
ENSMSIP00000002230	ENSMSIG00000002109	Mus_spicilegus
ENSNLEP00000047662	ENSNLEG00000035003	Nomascus_leucogenys
