ENSPCIP00000000376	ENSPCIG00000000317	Phascolarctos_cinereus	ENSPCIT00000000489
ENSVURP00010017645	ENSVURG00010013472	Vombatus_ursinus	ENSVURT00010020032
ENSMEUP00000011700	ENSMEUG00000012838	Notamacropus_eugenii	ENSMEUT00000012865
ENSSHAP00000015298	ENSSHAG00000013043	Sarcophilus_harrisii	ENSSHAT00000015425
ENSMODP00000054765	ENSMODG00000040530	Monodelphis_domestica	ENSMODT00000052542
ENSCCNP00000026390	ENSCCNG00000025614	Castor_canadensis
ENSDORP00000012508	ENSDORG00000013305	Dipodomys_ordii
ENSMSIP00000034860	ENSMSIG00000029096	Mus_spicilegus
MGP_CAROLIEiJ_P0022118	MGP_CAROLIEiJ_G0015082	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000097656	ENSMUSG00000075327	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0056191	MGP_PahariEiJ_G0023701	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026433	ENSRNOG00000019544	Rattus_norvegicus
ENSMUGP00000023755	ENSMUGG00000019862	Meriones_unguiculatus
ENSPEMP00000033022	ENSPEMG00000028248	Peromyscus_maniculatus_bairdii
ENSMOCP00000020521	ENSMOCG00000018175	Microtus_ochrogaster
ENSCGRP00000006048	ENSCGRG00000004431	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001025764	ENSCGRG00001023273	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015012448	ENSCGRG00015009557	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000006765	ENSMAUG00000008627	Mesocricetus_auratus
ENSNGAP00000001343	ENSNGAG00000001004	Nannospalax_galili
ENSJJAP00000013599	ENSJJAG00000016308	Jaculus_jaculus
ENSCAPP00000002706	ENSCAPG00000005660	Cavia_aperea
ENSCPOP00000028226	ENSCPOG00000034799	Cavia_porcellus
ENSCLAP00000004837	ENSCLAG00000003435	Chinchilla_lanigera
ENSODEP00000001455	ENSODEG00000001142	Octodon_degus
ENSHGLP00000010284	ENSHGLG00000007379	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022787	ENSHGLG00100016752	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000004768	ENSHGLG00000003502	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001929	ENSHGLG00100001505	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012387	ENSFDAG00000019733	Fukomys_damarensis
ENSUPAP00010016738	ENSUPAG00010013345	Urocitellus_parryii
ENSSDAP00000005124	ENSSDAG00000004798	Spermophilus_dauricus
ENSSTOP00000023029	ENSSTOG00000021611	Ictidomys_tridecemlineatus
ENSMMMP00000003592	ENSMMMG00000003286	Marmota_marmota_marmota
ENSOCUP00000021459	ENSOCUG00000022931	Oryctolagus_cuniculus
ENSOPRP00000004737	ENSOPRG00000005168	Ochotona_princeps
ENSPPAP00000019774	ENSPPAG00000033109	Pan_paniscus	ENSPPAT00000042550
ENSPTRP00000031927	ENSPTRG00000018712	Pan_troglodytes	ENSPTRT00000034541
ENSGGOP00000010269	ENSGGOG00000010529	Gorilla_gorilla	ENSGGOT00000010570
ENSP00000323183	ENSG00000181472	Homo_sapiens	ENST00000325144
ENSPPYP00000019154	ENSPPYG00000017107	Pongo_abelii	ENSPPYT00000019909
ENSNLEP00000018674	ENSNLEG00000015384	Nomascus_leucogenys	ENSNLET00000019608
ENSRBIP00000014030	ENSRBIG00000031111	Rhinopithecus_bieti	ENSRBIT00000037852
ENSRROP00000035417	ENSRROG00000041204	Rhinopithecus_roxellana	ENSRROT00000059871
ENSCANP00000020592	ENSCANG00000033736	Colobus_angolensis_palliatus
ENSPTEP00000037812	ENSPTEG00000035298	Piliocolobus_tephrosceles
ENSMFAP00000016646	ENSMFAG00000031487	Macaca_fascicularis
ENSMMUP00000077255	ENSMMUG00000029475	Macaca_mulatta
ENSMNEP00000041400	ENSMNEG00000043530	Macaca_nemestrina
ENSMLEP00000040172	ENSMLEG00000044102	Mandrillus_leucophaeus
ENSCATP00000016011	ENSCATG00000031949	Cercocebus_atys
ENSTGEP00000033546	ENSTGEG00000026788	Theropithecus_gelada
ENSCSAP00000010390	ENSCSAG00000014259	Chlorocebus_sabaeus
ENSSBOP00000015660	ENSSBOG00000024551	Saimiri_boliviensis_boliviensis
ENSCCAP00000022894	ENSCCAG00000029241	Cebus_capucinus_imitator
ENSCJAP00000078420	ENSCJAG00000057010	Callithrix_jacchus
ENSANAP00000035742	ENSANAG00000035402	Aotus_nancymaae
ENSTSYP00000032447	ENSTSYG00000036823	Carlito_syrichta
ENSPCOP00000000280	ENSPCOG00000000698	Propithecus_coquereli
ENSMICP00000037789	ENSMICG00000027366	Microcebus_murinus
ENSPSMP00000029228	ENSPSMG00000020305	Prolemur_simus
ENSOGAP00000004706	ENSOGAG00000005262	Otolemur_garnettii
ENSLAFP00000001510	ENSLAFG00000001805	Loxodonta_africana
ENSPCAP00000012900	ENSPCAG00000013849	Procavia_capensis
