ENSVURP00010009401	ENSVURG00010007284	Vombatus_ursinus
ENSPCIP00000035438	ENSPCIG00000026190	Phascolarctos_cinereus
ENSMEUP00000014123	ENSMEUG00000015479	Notamacropus_eugenii
ENSSHAP00000005062	ENSSHAG00000004429	Sarcophilus_harrisii
ENSMODP00000006959	ENSMODG00000005621	Monodelphis_domestica
ENSCCNP00000026744	ENSCCNG00000025915	Castor_canadensis
ENSDORP00000005183	ENSDORG00000005541	Dipodomys_ordii
ENSMSIP00000035528	ENSMSIG00000029558	Mus_spicilegus
ENSMUSP00000136328	ENSMUSG00000022297	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0039903	MGP_SPRETEiJ_G0020651	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0038122	MGP_CAROLIEiJ_G0019754	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041502	MGP_PahariEiJ_G0019763	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006195	ENSRNOG00000004660	Rattus_norvegicus
ENSMUGP00000018930	ENSMUGG00000016064	Meriones_unguiculatus
ENSMUGP00000018956	ENSMUGG00000016085	Meriones_unguiculatus
ENSPEMP00000024975	ENSPEMG00000021530	Peromyscus_maniculatus_bairdii
ENSMOCP00000021195	ENSMOCG00000018634	Microtus_ochrogaster
ENSCGRP00001012216	ENSCGRG00001013670	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015036341	ENSCGRG00015027240	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000016260	ENSCGRG00000011797	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000000101	ENSMAUG00000000110	Mesocricetus_auratus
ENSNGAP00000022674	ENSNGAG00000021476	Nannospalax_galili
ENSJJAP00000008153	ENSJJAG00000012386	Jaculus_jaculus
ENSUPAP00010015462	ENSUPAG00010012378	Urocitellus_parryii
ENSSTOP00000007122	ENSSTOG00000007962	Ictidomys_tridecemlineatus
ENSSDAP00000002616	ENSSDAG00000002505	Spermophilus_dauricus
ENSMMMP00000018558	ENSMMMG00000016434	Marmota_marmota_marmota
ENSOCUP00000007920	ENSOCUG00000009180	Oryctolagus_cuniculus
ENSOPRP00000008184	ENSOPRG00000008948	Ochotona_princeps
ENSP00000351605	ENSG00000164930	Homo_sapiens
ENSGGOP00000015381	ENSGGOG00000015768	Gorilla_gorilla
ENSPPAP00000024513	ENSPPAG00000035393	Pan_paniscus
ENSPTRP00000043752	ENSPTRG00000020490	Pan_troglodytes
ENSPPYP00000021096	ENSPPYG00000018806	Pongo_abelii
ENSNLEP00000004540	ENSNLEG00000003744	Nomascus_leucogenys
ENSRBIP00000042496	ENSRBIG00000044509	Rhinopithecus_bieti
ENSRROP00000019458	ENSRROG00000033742	Rhinopithecus_roxellana
ENSPTEP00000006939	ENSPTEG00000007936	Piliocolobus_tephrosceles
ENSCANP00000019109	ENSCANG00000032983	Colobus_angolensis_palliatus
ENSMMUP00000032022	ENSMMUG00000019399	Macaca_mulatta
ENSMFAP00000008170	ENSMFAG00000001388	Macaca_fascicularis
