ENSCHOP00000001121	ENSCHOG00000001269	Choloepus_hoffmanni
ENSDNOP00000018637	ENSDNOG00000040655	Dasypus_novemcinctus
ENSPTRP00000093849	ENSPTRG00000047594	Pan_troglodytes
ENSPTRP00000019253	ENSPTRG00000011219	Pan_troglodytes
ENSPPAP00000037261	ENSPPAG00000041390	Pan_paniscus
ENSP00000222002	ENSG00000105398	Homo_sapiens
ENSGGOP00000011856	ENSGGOG00000012156	Gorilla_gorilla
ENSPPYP00000023837	ENSPPYG00000029681	Pongo_abelii
ENSNLEP00000001138	ENSNLEG00000000975	Nomascus_leucogenys
ENSRROP00000020530	ENSRROG00000034211	Rhinopithecus_roxellana
ENSRBIP00000023367	ENSRBIG00000035608	Rhinopithecus_bieti
ENSCANP00000032009	ENSCANG00000039670	Colobus_angolensis_palliatus
ENSPTEP00000042856	ENSPTEG00000039106	Piliocolobus_tephrosceles
ENSMLEP00000003435	ENSMLEG00000014855	Mandrillus_leucophaeus
ENSCATP00000012410	ENSCATG00000030367	Cercocebus_atys
ENSMFAP00000040315	ENSMFAG00000046325	Macaca_fascicularis
ENSMMUP00000062807	ENSMMUG00000056800	Macaca_mulatta
ENSMNEP00000030771	ENSMNEG00000038830	Macaca_nemestrina
ENSPANP00000001221	ENSPANG00000023867	Papio_anubis
ENSCSAP00000015118	ENSCSAG00000002919	Chlorocebus_sabaeus
ENSCCAP00000006209	ENSCCAG00000020859	Cebus_capucinus_imitator
ENSSBOP00000033514	ENSSBOG00000032919	Saimiri_boliviensis_boliviensis
ENSCJAP00000009639	ENSCJAG00000005269	Callithrix_jacchus
ENSANAP00000000972	ENSANAG00000008443	Aotus_nancymaae
ENSSBOP00000009264	ENSSBOG00000021513	Saimiri_boliviensis_boliviensis
ENSTSYP00000009017	ENSTSYG00000009855	Carlito_syrichta
ENSOGAP00000019241	ENSOGAG00000030968	Otolemur_garnettii
ENSOGAP00000022146	ENSOGAG00000025022	Otolemur_garnettii
ENSOGAP00000015726	ENSOGAG00000026137	Otolemur_garnettii
ENSOGAP00000021686	ENSOGAG00000028333	Otolemur_garnettii
ENSOGAP00000021615	ENSOGAG00000025473	Otolemur_garnettii
ENSOGAP00000019707	ENSOGAG00000025288	Otolemur_garnettii
ENSOGAP00000021765	ENSOGAG00000030894	Otolemur_garnettii
ENSPSMP00000034672	ENSPSMG00000023880	Prolemur_simus
ENSMICP00000018988	ENSMICG00000037551	Microcebus_murinus
ENSPCOP00000006728	ENSPCOG00000014554	Propithecus_coquereli
ENSOCUP00000026647	ENSOCUG00000000441	Oryctolagus_cuniculus
ENSMMMP00000014704	ENSMMMG00000013050	Marmota_marmota_marmota
ENSSTOP00000023735	ENSSTOG00000022010	Ictidomys_tridecemlineatus
ENSUPAP00010004715	ENSUPAG00010003750	Urocitellus_parryii
ENSUPAP00010004587	ENSUPAG00010003619	Urocitellus_parryii
ENSMMMP00000014612	ENSMMMG00000012878	Marmota_marmota_marmota
ENSSTOP00000022516	ENSSTOG00000022012	Ictidomys_tridecemlineatus
ENSSTOP00000011373	ENSSTOG00000023396	Ictidomys_tridecemlineatus
ENSSTOP00000020848	ENSSTOG00000020159	Ictidomys_tridecemlineatus
ENSSTOP00000015473	ENSSTOG00000023188	Ictidomys_tridecemlineatus
ENSSTOP00000011206	ENSSTOG00000020452	Ictidomys_tridecemlineatus
ENSSTOP00000017914	ENSSTOG00000020676	Ictidomys_tridecemlineatus
ENSSDAP00000016912	ENSSDAG00000014893	Spermophilus_dauricus
ENSMMMP00000014272	ENSMMMG00000012723	Marmota_marmota_marmota
ENSUPAP00010025446	ENSUPAG00010020120	Urocitellus_parryii
ENSMMMP00000014404	ENSMMMG00000012748	Marmota_marmota_marmota
ENSUPAP00010010070	ENSUPAG00010008155	Urocitellus_parryii
ENSMMMP00000014440	ENSMMMG00000012847	Marmota_marmota_marmota
