ENSLOCP00000022333	ENSLOCG00000018232	Lepisosteus_oculatus
ENSECRP00000004383	ENSECRG00000002975	Erpetoichthys_calabaricus
ENSLACP00000003985	ENSLACG00000003549	Latimeria_chalumnae
ENSVURP00010031980	ENSVURG00010024423	Vombatus_ursinus
ENSPCIP00000031105	ENSPCIG00000023128	Phascolarctos_cinereus
ENSSHAP00000003250	ENSSHAG00000002866	Sarcophilus_harrisii
ENSUAMP00000008494	ENSUAMG00000007153	Ursus_americanus
ENSUMAP00000016918	ENSUMAG00000012422	Ursus_maritimus
ENSAMEP00000021154	ENSAMEG00000020100	Ailuropoda_melanoleuca
ENSNVIP00000031693	ENSNVIG00000024383	Neovison_vison
ENSMPUP00000019829	ENSMPUG00000019960	Mustela_putorius_furo
ENSCAFP00020033564	ENSCAFG00020026054	Canis_lupus_dingo
ENSVVUP00000031225	ENSVVUG00000022756	Vulpes_vulpes
ENSFCAP00000024972	ENSFCAG00000001947	Felis_catus
ENSJJAP00000009027	ENSJJAG00000013038	Jaculus_jaculus
ENSOARP00000016048	ENSOARG00000014960	Ovis_aries
ENSCHIP00000001878	ENSCHIG00000004030	Capra_hircus
ENSBIXP00005041012	ENSBIXG00005023855	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000007566	ENSBIXG00000013506	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000002142	ENSBMUG00000001688	Bos_mutus
ENSBBBP00000003419	ENSBBBG00000002384	Bison_bison_bison
ENSTTRP00000007041	ENSTTRG00000007442	Tursiops_truncatus
ENSSSCP00000058740	ENSSSCG00000010449	Sus_scrofa_strain_reference
ENSECAP00000003097	ENSECAG00000004572	Equus_caballus
ENSEASP00005016939	ENSEASG00005011743	Equus_asinus_asinus
ENSSARP00000005884	ENSSARG00000006505	Sorex_araneus
ENSCCNP00000020138	ENSCCNG00000020160	Castor_canadensis
ENSDORP00000000872	ENSDORG00000000931	Dipodomys_ordii
ENSSDAP00000017844	ENSSDAG00000016264	Spermophilus_dauricus
ENSSTOP00000011730	ENSSTOG00000013092	Ictidomys_tridecemlineatus
ENSUPAP00010006797	ENSUPAG00010005477	Urocitellus_parryii
ENSMMMP00000013531	ENSMMMG00000012067	Marmota_marmota_marmota
ENSCLAP00000016260	ENSCLAG00000011191	Chinchilla_lanigera
ENSCPOP00000020087	ENSCPOG00000006452	Cavia_porcellus
ENSFDAP00000022161	ENSFDAG00000007181	Fukomys_damarensis
ENSMSIP00000006207	ENSMSIG00000005562	Mus_spicilegus
ENSMUSP00000049683	ENSMUSG00000050370	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0050603	MGP_SPRETEiJ_G0023810	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0048607	MGP_CAROLIEiJ_G0022890	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021572	MGP_PahariEiJ_G0014385	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000025856	ENSRNOG00000019141	Rattus_norvegicus
ENSMUGP00000000785	ENSMUGG00000000745	Meriones_unguiculatus
ENSCGRP00001012764	ENSCGRG00001014081	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000026470	ENSCGRG00000019545	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015027533	ENSCGRG00015020884	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000002020	ENSMAUG00000001529	Mesocricetus_auratus
ENSMOCP00000010236	ENSMOCG00000010445	Microtus_ochrogaster
ENSPEMP00000014838	ENSPEMG00000014530	Peromyscus_maniculatus_bairdii
ENSNGAP00000010499	ENSNGAG00000012921	Nannospalax_galili
ENSOCUP00000000470	ENSOCUG00000000545	Oryctolagus_cuniculus
ENSOPRP00000013766	ENSOPRG00000015090	Ochotona_princeps
ENSOGAP00000022319	ENSOGAG00000002213	Otolemur_garnettii
ENSPSMP00000003077	ENSPSMG00000002507	Prolemur_simus
ENSTGEP00000008883	ENSTGEG00000007307	Theropithecus_gelada
ENSCSAP00000017981	ENSCSAG00000018439	Chlorocebus_sabaeus
ENSMMUP00000071663	ENSMMUG00000055047	Macaca_mulatta
ENSPTEP00000040259	ENSPTEG00000037109	Piliocolobus_tephrosceles
ENSCANP00000002396	ENSCANG00000008826	Colobus_angolensis_palliatus
ENSRBIP00000000207	ENSRBIG00000001134	Rhinopithecus_bieti
ENSRROP00000005962	ENSRROG00000024126	Rhinopithecus_roxellana
ENSPTRP00000004774	ENSPTRG00000002731	Pan_troglodytes
ENSPPAP00000005950	ENSPPAG00000024010	Pan_paniscus
ENSP00000360918	ENSG00000138135	Homo_sapiens
ENSGGOP00000021535	ENSGGOG00000024451	Gorilla_gorilla
ENSPPYP00000002851	ENSPPYG00000002461	Pongo_abelii
ENSNLEP00000022520	ENSNLEG00000018634	Nomascus_leucogenys
ENSCJAP00000040970	ENSCJAG00000022330	Callithrix_jacchus
ENSDNOP00000032263	ENSDNOG00000043500	Dasypus_novemcinctus
ENSDNOP00000029263	ENSDNOG00000032533	Dasypus_novemcinctus
ENSDNOP00000025833	ENSDNOG00000039159	Dasypus_novemcinctus
ENSTBEP00000004540	ENSTBEG00000005281	Tupaia_belangeri
ENSMLUP00000022390	ENSMLUG00000008622	Myotis_lucifugus
ENSLAFP00000001324	ENSLAFG00000001587	Loxodonta_africana
ENSETEP00000008450	ENSETEG00000010401	Echinops_telfairi
ENSOANP00000003794	ENSOANG00000002397	Ornithorhynchus_anatinus
ENSACAP00000000379	ENSACAG00000000471	Anolis_carolinensis
ENSPVIP00000008709	ENSPVIG00000006991	Pogona_vitticeps
ENSSMRP00000017192	ENSSMRG00000013396	Salvator_merianae
ENSARWP00000019360	ENSARWG00000013268	Apteryx_rowi
ENSAOWP00000009083	ENSAOWG00000006253	Apteryx_owenii
ENSAHAP00000005785	ENSAHAG00000004449	Apteryx_haastii
ENSDNVP00000009160	ENSDNVG00000006494	Dromaius_novaehollandiae
ENSNPEP00000017860	ENSNPEG00000013293	Nothoprocta_perdicaria
ENSTGUP00000008563	ENSTGUG00000008317	Taeniopygia_guttata
ENSLSDP00000023820	ENSLSDG00000016751	Lonchura_striata_domestica
ENSSCAP00000023863	ENSSCAG00000017076	Serinus_canaria
ENSCCEP00000019166	ENSCCEG00000017431	Cyanistes_caeruleus
ENSJHYP00000024134	ENSJHYG00000018130	Junco_hyemalis
ENSZALP00000015765	ENSZALG00000012873	Zonotrichia_albicollis
ENSLCOP00000009060	ENSLCOG00000006644	Lepidothrix_coronata
ENSMUNP00000007750	ENSMUNG00000006193	Melopsittacus_undulatus
ENSABRP00000013510	ENSABRG00000012002	Anser_brachyrhynchus
ENSAPLP00000001595	ENSAPLG00000002172	Anas_platyrhynchos_platyrhynchos
ENSGALP00000010254	ENSGALG00000006352	Gallus_gallus
ENSMGAP00000016270	ENSMGAG00000015329	Meleagris_gallopavo
ENSCJPP00005023933	ENSCJPG00005018912	Coturnix_japonica
ENSNMEP00000000093	ENSNMEG00000000155	Numida_meleagris
ENSCPGP00000025942	ENSCPGG00000017905	Calidris_pygmaea
ENSCPUP00000010270	ENSCPUG00000007301	Calidris_pugnax
ENSCPRP00005025653	ENSCPRG00005017776	Crocodylus_porosus
ENSGAGP00000029107	ENSGAGG00000021060	Gopherus_agassizii
ENSCABP00000024900	ENSCABG00000018339	Chelonoidis_abingdonii
ENSCPBP00000038343	ENSCPBG00000026502	Chrysemys_picta_bellii
ENSPSIP00000000687	ENSPSIG00000000687	Pelodiscus_sinensis
ENSSFOP00015011827	ENSSFOG00015007620	Scleropages_formosus
ENSECRP00000000413	ENSECRG00000000244	Erpetoichthys_calabaricus
ENSXMAP00000041167	ENSXMAG00000028003	Xiphophorus_maculatus
ENSXCOP00000023924	ENSXCOG00000017860	Xiphophorus_couchianus
ENSGAFP00000010668	ENSGAFG00000007219	Gambusia_affinis
ENSPFOP00000000536	ENSPFOG00000000598	Poecilia_formosa
ENSPMEP00000004228	ENSPMEG00000005426	Poecilia_mexicana
ENSPLAP00000002479	ENSPLAG00000003736	Poecilia_latipinna
ENSPREP00000002111	ENSPREG00000001574	Poecilia_reticulata
ENSCVAP00000030474	ENSCVAG00000019034	Cyprinodon_variegatus
ENSFHEP00000019762	ENSFHEG00000021657	Fundulus_heteroclitus
ENSKMAP00000020515	ENSKMAG00000015253	Kryptolebias_marmoratus
ENSCSEP00000001872	ENSCSEG00000001266	Cynoglossus_semilaevis
ENSSLDP00000028087	ENSSLDG00000021761	Seriola_lalandi_dorsalis
ENSSDUP00000020416	ENSSDUG00000014857	Seriola_dumerili
ENSLCAP00010057803	ENSLCAG00010026973	Lates_calcarifer
ENSATEP00000021450	ENSATEG00000014894	Anabas_testudineus
ENSATEP00000021537	ENSATEG00000014959	Anabas_testudineus
ENSBSLP00000047950	ENSBSLG00000022799	Betta_splendens
ENSMALP00000016890	ENSMALG00000011827	Monopterus_albus
ENSMAMP00000015970	ENSMAMG00000010826	Mastacembelus_armatus
ENSLCRP00005006123	ENSLCRG00005003112	Larimichthys_crocea
ENSMZEP00005024702	ENSMZEG00005018454	Maylandia_zebra
ENSACLP00000023668	ENSACLG00000016106	Astatotilapia_calliptera
ENSMZEP00005024712	ENSMZEG00005018457	Maylandia_zebra
ENSACLP00000023709	ENSACLG00000016127	Astatotilapia_calliptera
ENSHBUP00000017438	ENSHBUG00000019468	Haplochromis_burtoni
ENSACLP00000023658	ENSACLG00000016068	Astatotilapia_calliptera
ENSACLP00000023575	ENSACLG00000016032	Astatotilapia_calliptera
ENSACLP00000023727	ENSACLG00000016137	Astatotilapia_calliptera
ENSACLP00000023597	ENSACLG00000016045	Astatotilapia_calliptera
