ENSSFOP00015001314	ENSSFOG00015000940	Scleropages_formosus	ENSSFOT00015001348
ENSPKIP00000001460	ENSPKIG00000019753	Paramormyrops_kingsleyae	ENSPKIT00000025380
ENSDCDP00000003510	ENSDCDG00000001806	Denticeps_clupeoides
ENSCHAP00000021376	ENSCHAG00000010758	Clupea_harengus
ENSPNAP00000002686	ENSPNAG00000009037	Pygocentrus_nattereri	ENSPNAT00000010038
ENSAMXP00000026642	ENSAMXG00000025937	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000026663
ENSEEEP00000021523	ENSEEEG00000010487	Electrophorus_electricus	ENSEEET00000021764
ENSIPUP00000011107	ENSIPUG00000007578	Ictalurus_punctatus	ENSIPUT00000011576
ENSLCRP00005021758	ENSLCRG00005008810	Larimichthys_crocea
ENSLBEP00000001254	ENSLBEG00000000996	Labrus_bergylta
ENSCGOP00000054193	ENSCGOG00000023740	Cottoperca_gobio
ENSGACP00000011248	ENSGACG00000008509	Gasterosteus_aculeatus
ENSMALP00000016610	ENSMALG00000011647	Monopterus_albus
ENSMAMP00000018740	ENSMAMG00000012632	Mastacembelus_armatus
ENSATEP00000007387	ENSATEG00000005198	Anabas_testudineus
ENSBSLP00000039355	ENSBSLG00000019178	Betta_splendens
ENSSLDP00000019726	ENSSLDG00000015467	Seriola_lalandi_dorsalis
ENSSDUP00000008242	ENSSDUG00000006053	Seriola_dumerili
ENSSMAP00000032713	ENSSMAG00000020049	Scophthalmus_maximus
ENSAOCP00000018674	ENSAOCG00000023848	Amphiprion_ocellaris
ENSAPEP00000013826	ENSAPEG00000009853	Amphiprion_percula
ENSAPOP00000004073	ENSAPOG00000005657	Acanthochromis_polyacanthus
ENSPRNP00000005941	ENSPRNG00000003576	Parambassis_ranga
ENSMZEP00005019320	ENSMZEG00005014501	Maylandia_zebra
ENSHBUP00000015006	ENSHBUG00000000965	Haplochromis_burtoni
ENSPNYP00000020935	ENSPNYG00000015838	Pundamilia_nyererei
ENSNBRP00000020295	ENSNBRG00000015620	Neolamprologus_brichardi
ENSONIP00000025916	ENSONIG00000020611	Oreochromis_niloticus
ENSACIP00000019993	ENSACIG00000015547	Amphilophus_citrinellus
ENSORLP00000010041	ENSORLG00000008006	Oryzias_latipes_ASM223467v1
ENSORLP00020030142	ENSORLG00020014439	Oryzias_latipes_ASM223471v1
ENSORLP00015034572	ENSORLG00015020636	Oryzias_latipes_ASM223469v1
ENSPLAP00000015419	ENSPLAG00000019325	Poecilia_latipinna
ENSPMEP00000019687	ENSPMEG00000022696	Poecilia_mexicana
ENSPREP00000031311	ENSPREG00000021217	Poecilia_reticulata
ENSXMAP00000019835	ENSXMAG00000019788	Xiphophorus_maculatus
ENSXCOP00000026483	ENSXCOG00000019774	Xiphophorus_couchianus
ENSGAFP00000008982	ENSGAFG00000006101	Gambusia_affinis
ENSFHEP00000030488	ENSFHEG00000015806	Fundulus_heteroclitus
ENSCVAP00000009621	ENSCVAG00000011607	Cyprinodon_variegatus
ENSKMAP00000019305	ENSKMAG00000014351	Kryptolebias_marmoratus
