ENSCINP00000028521	ENSCING00000016466	Ciona_intestinalis	ENSCINT00000028767
ENSCSAVP00000017443	ENSCSAVG00000010273	Ciona_savignyi	ENSCSAVT00000017634
ENSPMGP00000011800	ENSPMGG00000009766	Periophthalmus_magnuspinnatus
ENSCHAP00000029549	ENSCHAG00000014159	Clupea_harengus	ENSCHAT00000032104
ENSDCDP00000030712	ENSDCDG00000021522	Denticeps_clupeoides	ENSDCDT00000039945
ENSEEEP00000050348	ENSEEEG00000023673	Electrophorus_electricus	ENSEEET00000050899
ENSIPUP00000017375	ENSIPUG00000011801	Ictalurus_punctatus	ENSIPUT00000018117
ENSAMXP00000002123	ENSAMXG00000002077	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000002123
ENSAMXP00005000121	ENSAMXG00005000064	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001120	ENSPNAG00000007971	Pygocentrus_nattereri
ENSDARP00000091872	ENSDARG00000040064	Danio_rerio
ENSMMOP00000026320	ENSMMOG00000019953	Mola_mola
ENSGACP00000004819	ENSGACG00000003672	Gasterosteus_aculeatus
ENSGWIP00000030082	ENSGWIG00000015662	Gouania_willdenowi
ENSCSEP00000017930	ENSCSEG00000011491	Cynoglossus_semilaevis
ENSLBEP00000037417	ENSLBEG00000027931	Labrus_bergylta
ENSLCRP00005034244	ENSLCRG00005013435	Larimichthys_crocea
ENSCGOP00000047628	ENSCGOG00000021346	Cottoperca_gobio
ENSAOCP00000022518	ENSAOCG00000008035	Amphiprion_ocellaris
ENSAPEP00000034408	ENSAPEG00000024439	Amphiprion_percula
ENSAPOP00000001791	ENSAPOG00000003134	Acanthochromis_polyacanthus
ENSSPAP00000008938	ENSSPAG00000006814	Stegastes_partitus
ENSPRNP00000005423	ENSPRNG00000003167	Parambassis_ranga
ENSXCOP00000025438	ENSXCOG00000019005	Xiphophorus_couchianus
ENSXMAP00000027165	ENSXMAG00000023912	Xiphophorus_maculatus
ENSPFOP00000000715	ENSPFOG00000000741	Poecilia_formosa
ENSPLAP00000016732	ENSPLAG00000020988	Poecilia_latipinna
ENSPMEP00000007879	ENSPMEG00000009567	Poecilia_mexicana
ENSPREP00000001218	ENSPREG00000000930	Poecilia_reticulata
ENSGAFP00000031652	ENSGAFG00000021317	Gambusia_affinis
ENSFHEP00000031656	ENSFHEG00000017697	Fundulus_heteroclitus
ENSCVAP00000025780	ENSCVAG00000010838	Cyprinodon_variegatus
ENSCVAP00000011431	ENSCVAG00000013763	Cyprinodon_variegatus
ENSKMAP00000025094	ENSKMAG00000018604	Kryptolebias_marmoratus
ENSORLP00020015098	ENSORLG00020000434	Oryzias_latipes_ASM223471v1
ENSORLP00000022433	ENSORLG00000017924	Oryzias_latipes_ASM223467v1
ENSORLP00015028160	ENSORLG00015010620	Oryzias_latipes_ASM223469v1
ENSOMEP00000007074	ENSOMEG00000001035	Oryzias_melastigma
ENSMZEP00005002315	ENSMZEG00005001843	Maylandia_zebra
ENSACLP00000007615	ENSACLG00000005168	Astatotilapia_calliptera
ENSPNYP00000016609	ENSPNYG00000012584	Pundamilia_nyererei
ENSHBUP00000021689	ENSHBUG00000001532	Haplochromis_burtoni
ENSNBRP00000009727	ENSNBRG00000007530	Neolamprologus_brichardi
ENSONIP00000020118	ENSONIG00000015974	Oreochromis_niloticus
ENSACIP00000021924	ENSACIG00000017042	Amphilophus_citrinellus
ENSLCAP00010011871	ENSLCAG00010005637	Lates_calcarifer
ENSSMAP00000029825	ENSSMAG00000018293	Scophthalmus_maximus
ENSSDUP00000005899	ENSSDUG00000004360	Seriola_dumerili
ENSSLDP00000026060	ENSSLDG00000020257	Seriola_lalandi_dorsalis
ENSMALP00000026425	ENSMALG00000018336	Monopterus_albus
ENSMAMP00000021584	ENSMAMG00000014510	Mastacembelus_armatus
ENSATEP00000017590	ENSATEG00000012231	Anabas_testudineus
