ENSSPUP00000008930	ENSSPUG00000006960	Sphenodon_punctatus
ENSPVIP00000002698	ENSPVIG00000002307	Pogona_vitticeps	ENSPVIT00000003494
ENSARWP00000003498	ENSARWG00000002625	Apteryx_rowi
ENSAOWP00000027479	ENSAOWG00000018522	Apteryx_owenii
ENSAHAP00000011349	ENSAHAG00000008210	Apteryx_haastii
ENSNPEP00000007620	ENSNPEG00000005709	Nothoprocta_perdicaria
ENSNPEP00000009771	ENSNPEG00000007325	Nothoprocta_perdicaria
ENSDNVP00000020192	ENSDNVG00000014131	Dromaius_novaehollandiae
ENSJHYP00000023386	ENSJHYG00000017611	Junco_hyemalis
ENSPMJP00000020571	ENSPMJG00000015315	Parus_major
ENSTGUP00000012497	ENSTGUG00000012135	Taeniopygia_guttata
ENSLSDP00000007074	ENSLSDG00000005340	Lonchura_striata_domestica
ENSSCAP00000000429	ENSSCAG00000000367	Serinus_canaria
ENSZALP00000000264	ENSZALG00000000306	Zonotrichia_albicollis
ENSCCEP00000011435	ENSCCEG00000011187	Cyanistes_caeruleus
ENSFALP00000012305	ENSFALG00000011789	Ficedula_albicollis
ENSLCOP00000022975	ENSLCOG00000016138	Lepidothrix_coronata
ENSMVIP00005000051	ENSMVIG00005000052	Manacus_vitellinus
ENSMUNP00000014664	ENSMUNG00000011398	Melopsittacus_undulatus
ENSCPGP00000021146	ENSCPGG00000014771	Calidris_pygmaea
ENSCPUP00000013143	ENSCPUG00000009336	Calidris_pugnax
ENSABRP00000002542	ENSABRG00000002494	Anser_brachyrhynchus
ENSAPLP00000011053	ENSAPLG00000011319	Anas_platyrhynchos_platyrhynchos
ENSGALP00000024641	ENSGALG00000015297	Gallus_gallus
ENSCJPP00005010893	ENSCJPG00005009420	Coturnix_japonica
ENSMGAP00000014252	ENSMGAG00000013488	Meleagris_gallopavo
ENSNMEP00000008588	ENSNMEG00000008368	Numida_meleagris
ENSCPRP00005001977	ENSCPRG00005001465	Crocodylus_porosus
ENSGAGP00000014734	ENSGAGG00000011170	Gopherus_agassizii
ENSCABP00000018101	ENSCABG00000013443	Chelonoidis_abingdonii
ENSCPBP00000008002	ENSCPBG00000006292	Chrysemys_picta_bellii
ENSPSIP00000008499	ENSPSIG00000007776	Pelodiscus_sinensis
ENSPVIP00000002700	ENSPVIG00000002309	Pogona_vitticeps	ENSPVIT00000003496
ENSNSUP00000025349	ENSNSUG00000018250	Notechis_scutatus
ENSSMRP00000017062	ENSSMRG00000013296	Salvator_merianae
ENSPCIP00000014774	ENSPCIG00000011521	Phascolarctos_cinereus
ENSVURP00010013568	ENSVURG00010010442	Vombatus_ursinus
ENSMEUP00000013257	ENSMEUG00000014523	Notamacropus_eugenii
ENSMODP00000022440	ENSMODG00000017994	Monodelphis_domestica
ENSSHAP00000021607	ENSSHAG00000018299	Sarcophilus_harrisii
ENSCHIP00000019148	ENSCHIG00000018293	Capra_hircus
ENSOARP00000011521	ENSOARG00000010741	Ovis_aries
ENSBTAP00000014920	ENSBTAG00000011234	Bos_taurus
ENSBIXP00000011103	ENSBIXG00000002251	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001531	ENSBIXG00005008024	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000025460	ENSBMUG00000019087	Bos_mutus
ENSBBBP00000001725	ENSBBBG00000010823	Bison_bison_bison
ENSTTRP00000016335	ENSTTRG00000017232	Tursiops_truncatus
ENSSSCP00000004735	ENSSSCG00000004387	Sus_scrofa_strain_reference
ENSVPAP00000000757	ENSVPAG00000000815	Vicugna_pacos
ENSPCOP00000024964	ENSPCOG00000024701	Propithecus_coquereli
ENSMICP00000027154	ENSMICG00000035769	Microcebus_murinus
ENSPSMP00000003618	ENSPSMG00000002963	Prolemur_simus
ENSOGAP00000018360	ENSOGAG00000027196	Otolemur_garnettii
ENSPCAP00000007485	ENSPCAG00000008041	Procavia_capensis
ENSTSYP00000026914	ENSTSYG00000033379	Carlito_syrichta
ENSTBEP00000010558	ENSTBEG00000012196	Tupaia_belangeri
ENSCAPP00000010800	ENSCAPG00000011996	Cavia_aperea
ENSCAPP00000010525	ENSCAPG00000011790	Cavia_aperea
ENSCPOP00000017892	ENSCPOG00000021906	Cavia_porcellus
ENSJJAP00000001812	ENSJJAG00000002701	Jaculus_jaculus
ENSUPAP00010014515	ENSUPAG00010011642	Urocitellus_parryii
ENSSTOP00000022009	ENSSTOG00000022339	Ictidomys_tridecemlineatus
ENSSDAP00000024801	ENSSDAG00000022550	Spermophilus_dauricus
ENSMMMP00000015687	ENSMMMG00000013964	Marmota_marmota_marmota
ENSSARP00000005035	ENSSARG00000005586	Sorex_araneus
ENSEEUP00000012880	ENSEEUG00000014132	Erinaceus_europaeus
ENSUAMP00000012151	ENSUAMG00000009860	Ursus_americanus
ENSUMAP00000027234	ENSUMAG00000019775	Ursus_maritimus
ENSAMEP00000008579	ENSAMEG00000008158	Ailuropoda_melanoleuca
ENSCAFP00000005627	ENSCAFG00000003783	Canis_lupus_familiaris
ENSCAFP00020022690	ENSCAFG00020017905	Canis_lupus_dingo
ENSVVUP00000006212	ENSVVUG00000004833	Vulpes_vulpes
ENSNVIP00000005563	ENSNVIG00000004481	Neovison_vison
ENSMPUP00000009773	ENSMPUG00000009847	Mustela_putorius_furo
ENSPPRP00000024902	ENSPPRG00000015115	Panthera_pardus
ENSPTIP00000003803	ENSPTIG00000006470	Panthera_tigris_altaica
ENSFCAP00000022859	ENSFCAG00000030227	Felis_catus
ENSEASP00005009003	ENSEASG00005006457	Equus_asinus_asinus
ENSECAP00000021980	ENSECAG00000024499	Equus_caballus
ENSPVAP00000001072	ENSPVAG00000001137	Pteropus_vampyrus
ENSMLUP00000002350	ENSMLUG00000002590	Myotis_lucifugus
ENSHGLP00000004002	ENSHGLG00000002946	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011142	ENSHGLG00100008280	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021301	ENSFDAG00000007807	Fukomys_damarensis
ENSCLAP00000015449	ENSCLAG00000010630	Chinchilla_lanigera
ENSODEP00000019596	ENSODEG00000014459	Octodon_degus
ENSDORP00000016594	ENSDORG00000029794	Dipodomys_ordii
ENSLAFP00000004889	ENSLAFG00000005834	Loxodonta_africana
ENSDNOP00000004070	ENSDNOG00000005257	Dasypus_novemcinctus
ENSPPAP00000000148	ENSPPAG00000000536	Pan_paniscus
ENSPTRP00000049754	ENSPTRG00000018476	Pan_troglodytes
ENSP00000339527	ENSG00000118689	Homo_sapiens
ENSGGOP00000003457	ENSGGOG00000003517	Gorilla_gorilla
ENSPPYP00000018917	ENSPPYG00000016896	Pongo_abelii
ENSNLEP00000023641	ENSNLEG00000012446	Nomascus_leucogenys
ENSMNEP00000033846	ENSMNEG00000040158	Macaca_nemestrina
ENSMFAP00000000284	ENSMFAG00000033615	Macaca_fascicularis
ENSMMUP00000032969	ENSMMUG00000020369	Macaca_mulatta
ENSMLEP00000022014	ENSMLEG00000035215	Mandrillus_leucophaeus
ENSPANP00000004459	ENSPANG00000015284	Papio_anubis
ENSTGEP00000000605	ENSTGEG00000000609	Theropithecus_gelada
ENSCATP00000032055	ENSCATG00000039123	Cercocebus_atys
ENSCSAP00000011269	ENSCSAG00000015174	Chlorocebus_sabaeus
ENSRBIP00000034643	ENSRBIG00000041006	Rhinopithecus_bieti
ENSRROP00000008097	ENSRROG00000028438	Rhinopithecus_roxellana
ENSCANP00000007082	ENSCANG00000023399	Colobus_angolensis_palliatus
ENSPTEP00000001157	ENSPTEG00000001270	Piliocolobus_tephrosceles
ENSSBOP00000018545	ENSSBOG00000025905	Saimiri_boliviensis_boliviensis
ENSCJAP00000010922	ENSCJAG00000005929	Callithrix_jacchus
ENSCCAP00000026250	ENSCCAG00000030927	Cebus_capucinus_imitator
ENSANAP00000011984	ENSANAG00000023931	Aotus_nancymaae
ENSCCNP00000031911	ENSCCNG00000030322	Castor_canadensis
ENSMUSP00000101141	ENSMUSG00000048756	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0023904	MGP_SPRETEiJ_G0016086	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000036486	ENSMSIG00000030372	Mus_spicilegus
MGP_CAROLIEiJ_P0022762	MGP_CAROLIEiJ_G0015277	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085946	MGP_PahariEiJ_G0030695	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000000327	ENSRNOG00000000299	Rattus_norvegicus
ENSMUGP00000021738	ENSMUGG00000018289	Meriones_unguiculatus
ENSCGRP00015001492	ENSCGRG00015001248	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000019658	ENSCGRG00000014320	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001017214	ENSCGRG00001017319	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000013872	ENSMAUG00000013798	Mesocricetus_auratus
ENSMOCP00000013878	ENSMOCG00000013546	Microtus_ochrogaster
ENSPEMP00000019213	ENSPEMG00000017580	Peromyscus_maniculatus_bairdii
ENSNGAP00000026814	ENSNGAG00000024345	Nannospalax_galili
ENSOCUP00000009021	ENSOCUG00000010471	Oryctolagus_cuniculus
ENSP00000499455	ENSG00000240445	Homo_sapiens
ENSUAMP00000012153	ENSUAMG00000009861	Ursus_americanus
ENSETEP00000003387	ENSETEG00000004130	Echinops_telfairi
ENSOANP00000001191	ENSOANG00000000768	Ornithorhynchus_anatinus
ENSNGAP00000026745	ENSNGAG00000024301	Nannospalax_galili
ENSXETP00000012706	ENSXETG00000014018	Xenopus_tropicalis
ENSLACP00000018607	ENSLACG00000016385	Latimeria_chalumnae
ENSPKIP00000033068	ENSPKIG00000012915	Paramormyrops_kingsleyae
ENSSFOP00015023162	ENSSFOG00015014901	Scleropages_formosus
ENSLOCP00000020509	ENSLOCG00000016605	Lepisosteus_oculatus
ENSECRP00000001251	ENSECRG00000000874	Erpetoichthys_calabaricus
ENSORLP00015001682	ENSORLG00015002312	Oryzias_latipes_ASM223469v1
ENSORLP00000034099	ENSORLG00000024046	Oryzias_latipes_ASM223467v1
ENSOMEP00000036288	ENSOMEG00000023802	Oryzias_melastigma
ENSCSEP00000005358	ENSCSEG00000003466	Cynoglossus_semilaevis
ENSGACP00000015397	ENSGACG00000011645	Gasterosteus_aculeatus
ENSCGOP00000044858	ENSCGOG00000020115	Cottoperca_gobio
ENSSDUP00000010471	ENSSDUG00000007666	Seriola_dumerili
ENSSLDP00000002502	ENSSLDG00000002025	Seriola_lalandi_dorsalis
ENSSMAP00000023587	ENSSMAG00000014388	Scophthalmus_maximus
ENSLCAP00010049279	ENSLCAG00010022916	Lates_calcarifer
ENSLCAP00010039055	ENSLCAG00010018264	Lates_calcarifer
ENSLCRP00005039872	ENSLCRG00005015391	Larimichthys_crocea
ENSACLP00000004765	ENSACLG00000003193	Astatotilapia_calliptera
ENSMZEP00005017149	ENSMZEG00005012885	Maylandia_zebra
ENSHBUP00000011021	ENSHBUG00000012603	Haplochromis_burtoni
ENSPNYP00000011000	ENSPNYG00000008262	Pundamilia_nyererei
ENSNBRP00000009328	ENSNBRG00000007242	Neolamprologus_brichardi
ENSONIP00000000810	ENSONIG00000000638	Oreochromis_niloticus
ENSACIP00000011407	ENSACIG00000008865	Amphilophus_citrinellus
ENSAOCP00000012873	ENSAOCG00000017383	Amphiprion_ocellaris
ENSAPEP00000015878	ENSAPEG00000011312	Amphiprion_percula
ENSAPOP00000019820	ENSAPOG00000023296	Acanthochromis_polyacanthus
ENSSPAP00000025628	ENSSPAG00000019368	Stegastes_partitus
ENSPRNP00000022637	ENSPRNG00000011616	Parambassis_ranga
