ENSBIXP00005010065	ENSBIXG00005014810	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSFDAP00000015244	ENSFDAG00000002943	Fukomys_damarensis
ENSMAMP00000002656	ENSMAMG00000001830	Mastacembelus_armatus
ENSSCAP00000013473	ENSSCAG00000009988	Serinus_canaria
ENSNBRP00000014769	ENSNBRG00000011438	Neolamprologus_brichardi
ENSCMIP00000022547	ENSCMIG00000010149	Callorhinchus_milii
ENSCPBP00000022413	ENSCPBG00000016017	Chrysemys_picta_bellii
ENSSTOP00000002993	ENSSTOG00000003350	Ictidomys_tridecemlineatus
ENSPEMP00000021142	ENSPEMG00000018878	Peromyscus_maniculatus_bairdii
ENSOGAP00000008019	ENSOGAG00000008944	Otolemur_garnettii
ENSLACP00000017759	ENSLACG00000015640	Latimeria_chalumnae
ENSP00000391299	ENSG00000187033	Homo_sapiens
ENSMVIP00005024815	ENSMVIG00005017388	Manacus_vitellinus
ENSECAP00000011709	ENSECAG00000014004	Equus_caballus
ENSPMJP00000005581	ENSPMJG00000004851	Parus_major
ENSAHAP00000020333	ENSAHAG00000014318	Apteryx_haastii
ENSGALP00000015273	ENSGALG00000009383	Gallus_gallus	ENSGALT00000015289
ENSOCUP00000007522	ENSOCUG00000008711	Oryctolagus_cuniculus
ENSCANP00000035022	ENSCANG00000041198	Colobus_angolensis_palliatus
ENSCGRP00015036574	ENSCGRG00015027430	Cricetulus_griseus_CriGri-PICR
ENSLCRP00005064823	ENSLCRG00005023682	Larimichthys_crocea
ENSPPYP00000016184	ENSPPYG00000014476	Pongo_abelii
ENSPREP00000020306	ENSPREG00000013733	Poecilia_reticulata
ENSETEP00000011800	ENSETEG00000014552	Echinops_telfairi
ENSOPRP00000012338	ENSOPRG00000013527	Ochotona_princeps
ENSRBIP00000014706	ENSRBIG00000031456	Rhinopithecus_bieti
ENSAPLP00000007785	ENSAPLG00000008148	Anas_platyrhynchos_platyrhynchos
ENSCATP00000040499	ENSCATG00000042847	Cercocebus_atys
ENSLCOP00000009308	ENSLCOG00000006795	Lepidothrix_coronata
ENSTRUP00000010630	ENSTRUG00000004470	Takifugu_rubripes
ENSGMOP00000013420	ENSGMOG00000012541	Gadus_morhua
ENSCPGP00000010573	ENSCPGG00000007525	Calidris_pygmaea	ENSCPGT00000011604
ENSPANP00000004956	ENSPANG00000000187	Papio_anubis
ENSOMEP00000010674	ENSOMEG00000011965	Oryzias_melastigma
ENSHHUP00000090419	ENSHHUG00000052202	Hucho_hucho
ENSCABP00000013415	ENSCABG00000010058	Chelonoidis_abingdonii
ENSNLEP00000006237	ENSNLEG00000005150	Nomascus_leucogenys
ENSANAP00000010736	ENSANAG00000023344	Aotus_nancymaae
ENSTSYP00000008971	ENSTSYG00000009808	Carlito_syrichta
ENSMSIP00000010045	ENSMSIG00000008807	Mus_spicilegus
ENSUPAP00010026567	ENSUPAG00010021006	Urocitellus_parryii
ENSMMMP00000007954	ENSMMMG00000007111	Marmota_marmota_marmota
ENSSFOP00015016464	ENSSFOG00015010619	Scleropages_formosus
ENSCVAP00000015867	ENSCVAG00000018763	Cyprinodon_variegatus
ENSHGLP00100001682	ENSHGLG00100001318	Heterocephalus_glaber_HetGla_1.0
ENSBMUP00000020827	ENSBMUG00000015681	Bos_mutus
ENSCSEP00000022479	ENSCSEG00000014323	Cynoglossus_semilaevis
ENSAOWP00000023692	ENSAOWG00000015977	Apteryx_owenii
ENSORLP00000022468	ENSORLG00000017949	Oryzias_latipes_ASM223467v1
ENSVPAP00000007427	ENSVPAG00000007985	Vicugna_pacos
ENSCHOP00000011464	ENSCHOG00000012943	Choloepus_hoffmanni
ENSCGRP00000011753	ENSCGRG00000008553	Cricetulus_griseus_CriGri_1.0
ENSCABP00000012164	ENSCABG00000009095	Chelonoidis_abingdonii
ENSCSAP00000008832	ENSCSAG00000012658	Chlorocebus_sabaeus
MGP_SPRETEiJ_P0059434	MGP_SPRETEiJ_G0025839	Mus_spretus_strain_SPRET/EiJ
ENSONIP00000023451	ENSONIG00000018632	Oreochromis_niloticus
ENSABRP00000011996	ENSABRG00000010779	Anser_brachyrhynchus	ENSABRT00000017188
ENSMZEP00005032837	ENSMZEG00005024454	Maylandia_zebra
ENSCCAP00000022585	ENSCCAG00000029101	Cebus_capucinus_imitator
ENSAMEP00000004843	ENSAMEG00000004606	Ailuropoda_melanoleuca
ENSPFOP00000005759	ENSPFOG00000005810	Poecilia_formosa
ENSTTRP00000001771	ENSTTRG00000001889	Tursiops_truncatus
ENSCAFP00020000694	ENSCAFG00020000689	Canis_lupus_dingo
ENSACIP00000009300	ENSACIG00000007263	Amphilophus_citrinellus
ENSCCNP00000012889	ENSCCNG00000013381	Castor_canadensis
ENSMGAP00000010642	ENSMGAG00000010267	Meleagris_gallopavo	ENSMGAT00000011503
ENSSDUP00000016975	ENSSDUG00000012374	Seriola_dumerili
ENSPSIP00000015573	ENSPSIG00000013872	Pelodiscus_sinensis
ENSXETP00000043471	ENSXETG00000021359	Xenopus_tropicalis
ENSCHIP00000014145	ENSCHIG00000015287	Capra_hircus
ENSODEP00000011272	ENSODEG00000008380	Octodon_degus
ENSPTIP00000014561	ENSPTIG00000013944	Panthera_tigris_altaica
ENSNGAP00000017203	ENSNGAG00000017701	Nannospalax_galili
ENSLAFP00000005458	ENSLAFG00000006504	Loxodonta_africana
ENSKMAP00000029861	ENSKMAG00000022084	Kryptolebias_marmoratus
ENSPMGP00000011699	ENSPMGG00000009675	Periophthalmus_magnuspinnatus
ENSDARP00000106854	ENSDARG00000060354	Danio_rerio
ENSHGLP00000019663	ENSHGLG00000014079	Heterocephalus_glaber_HetGla_female_1.0
ENSPPYP00000015965	ENSPPYG00000014284	Pongo_abelii
ENSHBUP00000012145	ENSHBUG00000013830	Haplochromis_burtoni
ENSLBEP00000017448	ENSLBEG00000013419	Labrus_bergylta
ENSSPAP00000016690	ENSSPAG00000012572	Stegastes_partitus
ENSTNIP00000011712	ENSTNIG00000008861	Tetraodon_nigroviridis
ENSPKIP00000002438	ENSPKIG00000020332	Paramormyrops_kingsleyae
ENSMPUP00000016992	ENSMPUG00000017101	Mustela_putorius_furo
ENSSMRP00000030856	ENSSMRG00000023660	Salvator_merianae
ENSVURP00010017343	ENSVURG00010013238	Vombatus_ursinus
ENSFHEP00000026745	ENSFHEG00000009778	Fundulus_heteroclitus
ENSMFAP00000026149	ENSMFAG00000044546	Macaca_fascicularis
ENSATEP00000032196	ENSATEG00000022156	Anabas_testudineus
