ENSCGRP00001020379	ENSCGRG00001019553	Cricetulus_griseus_CHOK1GS_HDv1
ENSOGAP00000020853	ENSOGAG00000031389	Otolemur_garnettii
ENSRROP00000006016	ENSRROG00000024248	Rhinopithecus_roxellana
ENSTTRP00000015621	ENSTTRG00000016478	Tursiops_truncatus
ENSOARP00000009678	ENSOARG00000009013	Ovis_aries
ENSVVUP00000020403	ENSVVUG00000015015	Vulpes_vulpes
ENSBIXP00005008449	ENSBIXG00005013523	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCPOP00000026786	ENSCPOG00000005721	Cavia_porcellus
ENSSHAP00000002933	ENSSHAG00000002596	Sarcophilus_harrisii
ENSOPRP00000009923	ENSOPRG00000010873	Ochotona_princeps
ENSMOCP00000021859	ENSMOCG00000019077	Microtus_ochrogaster
ENSGGOP00000010235	ENSGGOG00000010494	Gorilla_gorilla
ENSCANP00000016823	ENSCANG00000031865	Colobus_angolensis_palliatus
ENSBIXP00000034577	ENSBIXG00000017594	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPANP00000003373	ENSPANG00000010606	Papio_anubis
ENSCHIP00000028216	ENSCHIG00000023819	Capra_hircus
ENSMPUP00000011532	ENSMPUG00000011624	Mustela_putorius_furo
ENSTSYP00000008133	ENSTSYG00000008894	Carlito_syrichta
ENSMUSP00000131126	ENSMUSG00000051998	Mus_musculus_strain_reference_(CL57BL6)
ENSCHOP00000011108	ENSCHOG00000012551	Choloepus_hoffmanni	ENSCHOT00000012583
ENSLAFP00000008657	ENSLAFG00000010336	Loxodonta_africana	ENSLAFT00000010337
ENSSSCP00000016198	ENSSSCG00000033768	Sus_scrofa_strain_reference
ENSPPRP00000000350	ENSPPRG00000024884	Panthera_pardus
MGP_CAROLIEiJ_P0019907	MGP_CAROLIEiJ_G0014607	Mus_caroli_strain_CAROLI_EIJ
ENSPCOP00000021335	ENSPCOG00000022686	Propithecus_coquereli
ENSNGAP00000022182	ENSNGAG00000021147	Nannospalax_galili
ENSMUGP00000004264	ENSMUGG00000003951	Meriones_unguiculatus
ENSMODP00000038478	ENSMODG00000025657	Monodelphis_domestica
ENSSDAP00000001224	ENSSDAG00000001204	Spermophilus_dauricus
ENSANAP00000032903	ENSANAG00000034140	Aotus_nancymaae
ENSFCAP00000051046	ENSFCAG00000045244	Felis_catus
ENSPTIP00000004537	ENSPTIG00000007022	Panthera_tigris_altaica
ENSPEMP00000033018	ENSPEMG00000025679	Peromyscus_maniculatus_bairdii
ENSCAFP00020008329	ENSCAFG00020006750	Canis_lupus_dingo
ENSMLEP00000005579	ENSMLEG00000024411	Mandrillus_leucophaeus
ENSUMAP00000007126	ENSUMAG00000005538	Ursus_maritimus
ENSPPAP00000012984	ENSPPAG00000029666	Pan_paniscus
ENSDORP00000013753	ENSDORG00000014621	Dipodomys_ordii
ENSTGEP00000021659	ENSTGEG00000017487	Theropithecus_gelada
ENSNLEP00000036895	ENSNLEG00000032816	Nomascus_leucogenys
ENSCJAP00000012299	ENSCJAG00000006659	Callithrix_jacchus
ENSEASP00005016544	ENSEASG00005011464	Equus_asinus_asinus
ENSMAUP00000013615	ENSMAUG00000013607	Mesocricetus_auratus
ENSDNOP00000007633	ENSDNOG00000009857	Dasypus_novemcinctus	ENSDNOT00000009851
MGP_PahariEiJ_P0075202	MGP_PahariEiJ_G0027843	Mus_pahari_strain_PAHARI_EIJ
ENSMMMP00000015287	ENSMMMG00000013640	Marmota_marmota_marmota
ENSVPAP00000011002	ENSVPAG00000011824	Vicugna_pacos
ENSECAP00000019203	ENSECAG00000021798	Equus_caballus
ENSMSIP00000022028	ENSMSIG00000018697	Mus_spicilegus
ENSHGLP00100008719	ENSHGLG00100006491	Heterocephalus_glaber_HetGla_1.0
ENSSARP00000003805	ENSSARG00000004169	Sorex_araneus
ENSPPYP00000000363	ENSPPYG00000000328	Pongo_abelii
ENSAMEP00000000861	ENSAMEG00000000832	Ailuropoda_melanoleuca
ENSHGLP00000005454	ENSHGLG00000003996	Heterocephalus_glaber_HetGla_female_1.0
ENSTBEP00000009238	ENSTBEG00000010672	Tupaia_belangeri
ENSBTAP00000016385	ENSBTAG00000012349	Bos_taurus
ENSUAMP00000006424	ENSUAMG00000005645	Ursus_americanus
ENSMLUP00000009106	ENSMLUG00000009999	Myotis_lucifugus
ENSCGRP00015001653	ENSCGRG00015001361	Cricetulus_griseus_CriGri-PICR
ENSMEUP00000013143	ENSMEUG00000014407	Notamacropus_eugenii
ENSP00000406970	ENSG00000122188	Homo_sapiens
ENSETEP00000010475	ENSETEG00000012919	Echinops_telfairi	ENSETET00000012918
ENSCLAP00000020969	ENSCLAG00000014362	Chinchilla_lanigera
ENSPTEP00000031980	ENSPTEG00000030809	Piliocolobus_tephrosceles
ENSMICP00000019793	ENSMICG00000029490	Microcebus_murinus
ENSCSAP00000010515	ENSCSAG00000014387	Chlorocebus_sabaeus
ENSCGRP00000001255	ENSCGRG00000000973	Cricetulus_griseus_CriGri_1.0
ENSOGAP00000000218	ENSOGAG00000000242	Otolemur_garnettii
ENSBBBP00000009152	ENSBBBG00000004262	Bison_bison_bison
ENSCCAP00000000076	ENSCCAG00000000404	Cebus_capucinus_imitator
ENSUPAP00010009175	ENSUPAG00010007396	Urocitellus_parryii
MGP_SPRETEiJ_P0020956	MGP_SPRETEiJ_G0015414	Mus_spretus_strain_SPRET/EiJ
ENSRBIP00000016152	ENSRBIG00000032142	Rhinopithecus_bieti
ENSSTOP00000021394	ENSSTOG00000022601	Ictidomys_tridecemlineatus
ENSOCUP00000045929	ENSOCUG00000003715	Oryctolagus_cuniculus
ENSPSMP00000004652	ENSPSMG00000003685	Prolemur_simus
ENSOANP00000003041	ENSOANG00000001914	Ornithorhynchus_anatinus
ENSCHIP00000006450	ENSCHIG00000010292	Capra_hircus
ENSCCNP00000027507	ENSCCNG00000026581	Castor_canadensis
ENSCAFP00000036630	ENSCAFG00000031149	Canis_lupus_familiaris
ENSMMUP00000074394	ENSMMUG00000054133	Macaca_mulatta
ENSSBOP00000024950	ENSSBOG00000028944	Saimiri_boliviensis_boliviensis
ENSBMUP00000008960	ENSBMUG00000006988	Bos_mutus
ENSNVIP00000020876	ENSNVIG00000016347	Neovison_vison
ENSMFAP00000040255	ENSMFAG00000046296	Macaca_fascicularis
ENSVURP00010017540	ENSVURG00010013376	Vombatus_ursinus
ENSPTRP00000003143	ENSPTRG00000001874	Pan_troglodytes
ENSEEUP00000012030	ENSEEUG00000013213	Erinaceus_europaeus
ENSCATP00000022996	ENSCATG00000035082	Cercocebus_atys
ENSPCAP00000003822	ENSPCAG00000004098	Procavia_capensis	ENSPCAT00000004073
ENSPCIP00000022902	ENSPCIG00000017388	Phascolarctos_cinereus
ENSRNOP00000032707	ENSRNOG00000028250	Rattus_norvegicus
ENSMNEP00000024390	ENSMNEG00000035734	Macaca_nemestrina
ENSPVAP00000003421	ENSPVAG00000003620	Pteropus_vampyrus
