ENSFDAP00000016797	ENSFDAG00000005457	Fukomys_damarensis	ENSFDAT00000008399
ENSFDAP00000015964	ENSFDAG00000004168	Fukomys_damarensis	ENSFDAT00000006570
ENSFDAP00000009853	ENSFDAG00000017749	Fukomys_damarensis	ENSFDAT00000022797
ENSCPOP00000031118	ENSCPOG00000038179	Cavia_porcellus	ENSCPOT00000031182
ENSCPOP00000025225	ENSCPOG00000032344	Cavia_porcellus	ENSCPOT00000042963
ENSCLAP00000015919	ENSCLAG00000010953	Chinchilla_lanigera	ENSCLAT00000016083
ENSCPOP00000030011	ENSCPOG00000035612	Cavia_porcellus	ENSCPOT00000039542
ENSHGLP00000028527	ENSHGLG00000020821	Heterocephalus_glaber_HetGla_female_1.0
ENSMSIP00000027028	ENSMSIG00000022816	Mus_spicilegus
ENSMUSP00000149917	ENSMUSG00000043692	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0029537	MGP_SPRETEiJ_G0017553	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0028146	MGP_CAROLIEiJ_G0016709	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0034887	MGP_PahariEiJ_G0017845	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026926	ENSRNOG00000027806	Rattus_norvegicus
ENSMUGP00000017203	ENSMUGG00000014661	Meriones_unguiculatus
ENSCGRP00015027978	ENSCGRG00015021230	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000026697	ENSCGRG00000019787	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001008772	ENSCGRG00001010987	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000003111	ENSMOCG00000002482	Microtus_ochrogaster
ENSPEMP00000002398	ENSPEMG00000002598	Peromyscus_maniculatus_bairdii
ENSMMMP00000021233	ENSMMMG00000018712	Marmota_marmota_marmota
ENSSDAP00000026645	ENSSDAG00000024170	Spermophilus_dauricus
ENSSTOP00000008912	ENSSTOG00000025587	Ictidomys_tridecemlineatus
ENSCCNP00000011667	ENSCCNG00000012108	Castor_canadensis
ENSCCNP00000010814	ENSCCNG00000011238	Castor_canadensis
ENSOCUP00000019898	ENSOCUG00000037707	Oryctolagus_cuniculus
ENSOPRP00000012137	ENSOPRG00000013314	Ochotona_princeps
ENSTBEP00000014316	ENSTBEG00000016488	Tupaia_belangeri
ENSPPAP00000028362	ENSPPAG00000037223	Pan_paniscus
ENSPTRP00000065506	ENSPTRG00000052505	Pan_troglodytes
ENSCCAP00000001760	ENSCCAG00000011268	Cebus_capucinus_imitator
ENSOGAP00000009355	ENSOGAG00000010456	Otolemur_garnettii
ENSBTAP00000056673	ENSBTAG00000052445	Bos_taurus
ENSBIXP00005006571	ENSBIXG00005001233	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000009342	ENSBIXG00000015072	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000021524	ENSBMUG00000016211	Bos_mutus
ENSBBBP00000027676	ENSBBBG00000023984	Bison_bison_bison
ENSCHIP00000031112	ENSCHIG00000025613	Capra_hircus
ENSVPAP00000004162	ENSVPAG00000004484	Vicugna_pacos
ENSUMAP00000010869	ENSUMAG00000008187	Ursus_maritimus
ENSUAMP00000001622	ENSUAMG00000001534	Ursus_americanus
ENSAMEP00000006687	ENSAMEG00000006362	Ailuropoda_melanoleuca
ENSPPRP00000026139	ENSPPRG00000016663	Panthera_pardus
ENSECAP00000004090	ENSECAG00000005852	Equus_caballus
ENSEASP00005018443	ENSEASG00005012711	Equus_asinus_asinus
ENSPVAP00000001494	ENSPVAG00000001585	Pteropus_vampyrus
ENSPCAP00000005135	ENSPCAG00000005583	Procavia_capensis
ENSPCAP00000011242	ENSPCAG00000012122	Procavia_capensis
ENSPCAP00000001755	ENSPCAG00000001915	Procavia_capensis
ENSPCAP00000014526	ENSPCAG00000015586	Procavia_capensis
ENSLAFP00000004061	ENSLAFG00000004851	Loxodonta_africana
ENSETEP00000016217	ENSETEG00000019970	Echinops_telfairi
ENSDNOP00000008816	ENSDNOG00000041874	Dasypus_novemcinctus
ENSCHOP00000001178	ENSCHOG00000001332	Choloepus_hoffmanni
