ZK1248.14.1	WBGene00001509	Caenorhabditis_elegans_strain_N2
FBpp0083791	FBgn0011596	Drosophila_melanogaster	FBtr0084399
ENSPVIP00000026509	ENSPVIG00000019190	Pogona_vitticeps
ENSACAP00000007819	ENSACAG00000007952	Anolis_carolinensis
ENSSMRP00000020288	ENSSMRG00000015779	Salvator_merianae
ENSSPUP00000016303	ENSSPUG00000012621	Sphenodon_punctatus
ENSABRP00000023865	ENSABRG00000020006	Anser_brachyrhynchus	ENSABRT00000033483
ENSAPLP00000012292	ENSAPLG00000012438	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000006052	ENSMGAG00000006053	Meleagris_gallopavo
ENSCJPP00005006754	ENSCJPG00005005018	Coturnix_japonica
ENSGALP00000007187	ENSGALG00000004523	Gallus_gallus
ENSNMEP00000019830	ENSNMEG00000016579	Numida_meleagris
ENSTGUP00000002522	ENSTGUG00000002433	Taeniopygia_guttata
ENSTGUP00000015518	ENSTGUG00000015159	Taeniopygia_guttata
ENSLSDP00000012313	ENSLSDG00000008991	Lonchura_striata_domestica
ENSSCAP00000003643	ENSSCAG00000003020	Serinus_canaria
ENSPMJP00000012090	ENSPMJG00000008259	Parus_major
ENSCCEP00000022585	ENSCCEG00000020398	Cyanistes_caeruleus
ENSFALP00000010435	ENSFALG00000010006	Ficedula_albicollis
ENSJHYP00000005142	ENSJHYG00000004207	Junco_hyemalis
ENSZALP00000014808	ENSZALG00000012245	Zonotrichia_albicollis
ENSLCOP00000011677	ENSLCOG00000008403	Lepidothrix_coronata
ENSMUNP00000021545	ENSMUNG00000016256	Melopsittacus_undulatus
ENSCPUP00000027131	ENSCPUG00000018271	Calidris_pugnax
ENSCPGP00000009126	ENSCPGG00000005006	Calidris_pygmaea
ENSAOWP00000013238	ENSAOWG00000009025	Apteryx_owenii
ENSAHAP00000024482	ENSAHAG00000016925	Apteryx_haastii
ENSARWP00000020737	ENSARWG00000013319	Apteryx_rowi
ENSDNVP00000025406	ENSDNVG00000017687	Dromaius_novaehollandiae
ENSNPEP00000014275	ENSNPEG00000010685	Nothoprocta_perdicaria
ENSCPRP00005019935	ENSCPRG00005013386	Crocodylus_porosus
ENSCABP00000023379	ENSCABG00000017233	Chelonoidis_abingdonii
ENSGAGP00000022317	ENSGAGG00000016388	Gopherus_agassizii
ENSCPBP00000031274	ENSCPBG00000021952	Chrysemys_picta_bellii
ENSPSIP00000011808	ENSPSIG00000010668	Pelodiscus_sinensis
ENSSHAP00000008293	ENSSHAG00000007188	Sarcophilus_harrisii
ENSMODP00000052024	ENSMODG00000010801	Monodelphis_domestica
ENSVURP00010031378	ENSVURG00010024006	Vombatus_ursinus
ENSPCIP00000041388	ENSPCIG00000030255	Phascolarctos_cinereus
ENSMEUP00000003094	ENSMEUG00000003384	Notamacropus_eugenii
ENSSHAP00000012750	ENSSHAG00000010912	Sarcophilus_harrisii
ENSGGOP00000005132	ENSGGOG00000005237	Gorilla_gorilla
ENSP00000235329	ENSG00000116688	Homo_sapiens
ENSPTRP00000000305	ENSPTRG00000000159	Pan_troglodytes
ENSPPAP00000009840	ENSPPAG00000028131	Pan_paniscus
ENSPPYP00000002168	ENSPPYG00000001873	Pongo_abelii
ENSNLEP00000011889	ENSNLEG00000009751	Nomascus_leucogenys
ENSRROP00000017487	ENSRROG00000032834	Rhinopithecus_roxellana
ENSRBIP00000041820	ENSRBIG00000044225	Rhinopithecus_bieti
ENSCANP00000011583	ENSCANG00000029188	Colobus_angolensis_palliatus
ENSPTEP00000033489	ENSPTEG00000031977	Piliocolobus_tephrosceles
ENSMFAP00000027344	ENSMFAG00000045034	Macaca_fascicularis
ENSMMUP00000046420	ENSMMUG00000023449	Macaca_mulatta
ENSMNEP00000044341	ENSMNEG00000044766	Macaca_nemestrina
ENSPANP00000003651	ENSPANG00000024241	Papio_anubis
ENSTGEP00000025918	ENSTGEG00000020875	Theropithecus_gelada
ENSCATP00000009895	ENSCATG00000029203	Cercocebus_atys
ENSMLEP00000026683	ENSMLEG00000037512	Mandrillus_leucophaeus
ENSCSAP00000017200	ENSCSAG00000000806	Chlorocebus_sabaeus
ENSCCAP00000018067	ENSCCAG00000026866	Cebus_capucinus_imitator
ENSSBOP00000031653	ENSSBOG00000032019	Saimiri_boliviensis_boliviensis
ENSCJAP00000024872	ENSCJAG00000013494	Callithrix_jacchus
ENSANAP00000015858	ENSANAG00000025746	Aotus_nancymaae
ENSTSYP00000020944	ENSTSYG00000004567	Carlito_syrichta
ENSCAPP00000003987	ENSCAPG00000006585	Cavia_aperea
ENSCPOP00000032970	ENSCPOG00000006834	Cavia_porcellus
ENSCLAP00000013441	ENSCLAG00000009293	Chinchilla_lanigera
ENSODEP00000020825	ENSODEG00000015359	Octodon_degus
ENSCCNP00000011348	ENSCCNG00000011735	Castor_canadensis
ENSMSIP00000012772	ENSMSIG00000011070	Mus_spicilegus
MGP_SPRETEiJ_P0068297	MGP_SPRETEiJ_G0027778	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000030884	ENSMUSG00000029020	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0065721	MGP_CAROLIEiJ_G0026785	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0080829	MGP_PahariEiJ_G0029133	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000059463	ENSRNOG00000046447	Rattus_norvegicus
ENSRNOP00000070746	ENSRNOG00000046424	Rattus_norvegicus
ENSMUGP00000024421	ENSMUGG00000020329	Meriones_unguiculatus
ENSCGRP00000023774	ENSCGRG00000017227	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015002314	ENSCGRG00015001837	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001010446	ENSCGRG00001012340	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000006843	ENSMAUG00000008664	Mesocricetus_auratus
ENSMOCP00000021264	ENSMOCG00000018675	Microtus_ochrogaster
ENSPEMP00000022977	ENSPEMG00000020166	Peromyscus_maniculatus_bairdii
ENSNGAP00000012806	ENSNGAG00000014552	Nannospalax_galili
ENSJJAP00000007669	ENSJJAG00000012023	Jaculus_jaculus
ENSOCUP00000006893	ENSOCUG00000007972	Oryctolagus_cuniculus
ENSOPRP00000006241	ENSOPRG00000006806	Ochotona_princeps
ENSPSMP00000020262	ENSPSMG00000014294	Prolemur_simus
ENSOGAP00000004789	ENSOGAG00000005353	Otolemur_garnettii
ENSPCOP00000003527	ENSPCOG00000010547	Propithecus_coquereli
ENSMICP00000044364	ENSMICG00000002730	Microcebus_murinus
ENSHGLP00000016272	ENSHGLG00000011663	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016888	ENSHGLG00100012457	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008089	ENSFDAG00000016534	Fukomys_damarensis
ENSSDAP00000002497	ENSSDAG00000002340	Spermophilus_dauricus
ENSSTOP00000029896	ENSSTOG00000005705	Ictidomys_tridecemlineatus
ENSMMMP00000018749	ENSMMMG00000016567	Marmota_marmota_marmota
ENSUPAP00010004719	ENSUPAG00010003824	Urocitellus_parryii
ENSTBEP00000003301	ENSTBEG00000003798	Tupaia_belangeri
ENSMLUP00000011560	ENSMLUG00000012698	Myotis_lucifugus
ENSPVAP00000001432	ENSPVAG00000001521	Pteropus_vampyrus
ENSUAMP00000012857	ENSUAMG00000010390	Ursus_americanus
ENSUMAP00000030651	ENSUMAG00000022141	Ursus_maritimus
ENSAMEP00000010614	ENSAMEG00000010033	Ailuropoda_melanoleuca
ENSNVIP00000013467	ENSNVIG00000010611	Neovison_vison
ENSMPUP00000016285	ENSMPUG00000016388	Mustela_putorius_furo
ENSCAFP00000024267	ENSCAFG00000016472	Canis_lupus_familiaris
ENSCAFP00020011245	ENSCAFG00020009106	Canis_lupus_dingo
ENSVVUP00000040023	ENSVVUG00000028576	Vulpes_vulpes
ENSPPRP00000014196	ENSPPRG00000007167	Panthera_pardus
ENSPTIP00000023614	ENSPTIG00000020008	Panthera_tigris_altaica
ENSFCAP00000027165	ENSFCAG00000000076	Felis_catus
ENSEEUP00000003040	ENSEEUG00000003308	Erinaceus_europaeus
ENSSARP00000011294	ENSSARG00000012477	Sorex_araneus
ENSCHIP00000015994	ENSCHIG00000016424	Capra_hircus
ENSOARP00000019062	ENSOARG00000017763	Ovis_aries
ENSBIXP00000015261	ENSBIXG00000019822	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005017822	ENSBIXG00005021331	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000070841	ENSBTAG00000005314	Bos_taurus
ENSBMUP00000017134	ENSBMUG00000012983	Bos_mutus
ENSBBBP00000026454	ENSBBBG00000022332	Bison_bison_bison
ENSVPAP00000002582	ENSVPAG00000002783	Vicugna_pacos
ENSTTRP00000003291	ENSTTRG00000003510	Tursiops_truncatus
ENSSSCP00000057222	ENSSSCG00000003434	Sus_scrofa_strain_reference
ENSEASP00005024267	ENSEASG00005016485	Equus_asinus_asinus
ENSECAP00000014345	ENSECAG00000016296	Equus_caballus
ENSLAFP00000000321	ENSLAFG00000000377	Loxodonta_africana
ENSPCAP00000013093	ENSPCAG00000013959	Procavia_capensis
ENSETEP00000003243	ENSETEG00000003953	Echinops_telfairi
ENSDNOP00000009789	ENSDNOG00000012602	Dasypus_novemcinctus
ENSCHOP00000009036	ENSCHOG00000010198	Choloepus_hoffmanni
ENSOANP00000002715	ENSOANG00000001700	Ornithorhynchus_anatinus
ENSOANP00000029064	ENSOANG00000022745	Ornithorhynchus_anatinus
ENSXETP00000046400	ENSXETG00000019436	Xenopus_tropicalis
ENSLACP00000005825	ENSLACG00000005172	Latimeria_chalumnae
ENSCHAP00000000316	ENSCHAG00000000163	Clupea_harengus
ENSDCDP00000030956	ENSDCDG00000021481	Denticeps_clupeoides
ENSAMXP00005018575	ENSAMXG00005009242	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000014455	ENSAMXG00000014050	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000036350	ENSPNAG00000027163	Pygocentrus_nattereri
ENSIPUP00000030433	ENSIPUG00000020537	Ictalurus_punctatus
ENSEEEP00000002425	ENSEEEG00000001265	Electrophorus_electricus
ENSDARP00000123285	ENSDARG00000079504	Danio_rerio
ENSTNIP00000006991	ENSTNIG00000004357	Tetraodon_nigroviridis
ENSTRUP00000018698	ENSTRUG00000007546	Takifugu_rubripes
ENSPMGP00000022191	ENSPMGG00000017953	Periophthalmus_magnuspinnatus
ENSCSEP00000007228	ENSCSEG00000004648	Cynoglossus_semilaevis
ENSHCOP00000024121	ENSHCOG00000013229	Hippocampus_comes
ENSBSLP00000052104	ENSBSLG00000024627	Betta_splendens
ENSGWIP00000042864	ENSGWIG00000021409	Gouania_willdenowi
ENSGACP00000017010	ENSGACG00000012833	Gasterosteus_aculeatus
ENSCGOP00000010959	ENSCGOG00000003823	Cottoperca_gobio
ENSMMOP00000023030	ENSMMOG00000017522	Mola_mola
