ENSAHAP00000006021	ENSAHAG00000004598	Apteryx_haastii	ENSAHAT00000006720
ENSAOWP00000009645	ENSAOWG00000006629	Apteryx_owenii	ENSAOWT00000010946
ENSARWP00000021279	ENSARWG00000014551	Apteryx_rowi	ENSARWT00000024130
ENSDNVP00000011709	ENSDNVG00000008254	Dromaius_novaehollandiae	ENSDNVT00000014098
ENSNPEP00000005309	ENSNPEG00000004025	Nothoprocta_perdicaria
ENSAPLP00000008953	ENSAPLG00000009269	Anas_platyrhynchos_platyrhynchos
ENSABRP00000003433	ENSABRG00000003231	Anser_brachyrhynchus
ENSCJPP00005021246	ENSCJPG00005017008	Coturnix_japonica
ENSGALP00000036676	ENSGALG00000023032	Gallus_gallus
ENSMGAP00000012739	ENSMGAG00000012132	Meleagris_gallopavo
ENSNMEP00000020794	ENSNMEG00000017845	Numida_meleagris
ENSMVIP00005012772	ENSMVIG00005009282	Manacus_vitellinus
ENSLCOP00000008590	ENSLCOG00000006281	Lepidothrix_coronata
ENSTGUP00000008727	ENSTGUG00000008477	Taeniopygia_guttata
ENSLSDP00000000134	ENSLSDG00000000138	Lonchura_striata_domestica
ENSZALP00000000932	ENSZALG00000001137	Zonotrichia_albicollis
ENSJHYP00000007834	ENSJHYG00000006231	Junco_hyemalis
ENSSCAP00000009503	ENSSCAG00000007237	Serinus_canaria
ENSCCEP00000024434	ENSCCEG00000021709	Cyanistes_caeruleus
ENSPMJP00000020955	ENSPMJG00000015556	Parus_major
ENSFALP00000003046	ENSFALG00000002921	Ficedula_albicollis
ENSCPGP00000028134	ENSCPGG00000019372	Calidris_pygmaea
ENSMUNP00000008691	ENSMUNG00000006885	Melopsittacus_undulatus
ENSCPRP00005013396	ENSCPRG00005009471	Crocodylus_porosus
ENSCABP00000007726	ENSCABG00000005826	Chelonoidis_abingdonii
ENSGAGP00000014941	ENSGAGG00000011291	Gopherus_agassizii
ENSCPBP00000036981	ENSCPBG00000025652	Chrysemys_picta_bellii
ENSPSIP00000005400	ENSPSIG00000005032	Pelodiscus_sinensis
ENSPVIP00000017471	ENSPVIG00000013442	Pogona_vitticeps
ENSACAP00000006953	ENSACAG00000007107	Anolis_carolinensis
ENSNSUP00000020818	ENSNSUG00000015141	Notechis_scutatus
ENSSMRP00000004228	ENSSMRG00000003525	Salvator_merianae
ENSSPUP00000004521	ENSSPUG00000003497	Sphenodon_punctatus
ENSVURP00010011032	ENSVURG00010008526	Vombatus_ursinus
ENSPCIP00000041299	ENSPCIG00000030198	Phascolarctos_cinereus
ENSMEUP00000014976	ENSMEUG00000016382	Notamacropus_eugenii
ENSMODP00000035782	ENSMODG00000024820	Monodelphis_domestica
ENSSHAP00000011849	ENSSHAG00000010170	Sarcophilus_harrisii
ENSTTRP00000015995	ENSTTRG00000016872	Tursiops_truncatus
ENSVPAP00000001772	ENSVPAG00000001919	Vicugna_pacos
ENSOARP00000016015	ENSOARG00000014929	Ovis_aries
ENSCHIP00000025608	ENSCHIG00000022310	Capra_hircus
ENSBIXP00005006215	ENSBIXG00005011742	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000041491	ENSBIXG00000001974	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000044038	ENSBTAG00000032947	Bos_taurus
ENSBBBP00000024302	ENSBBBG00000004958	Bison_bison_bison
ENSSSCP00000009385	ENSSSCG00000008804	Sus_scrofa_strain_reference
ENSEASP00005012465	ENSEASG00005008695	Equus_asinus_asinus
ENSECAP00000020174	ENSECAG00000022751	Equus_caballus
ENSPVAP00000004167	ENSPVAG00000004402	Pteropus_vampyrus
ENSMLUP00000016767	ENSMLUG00000024049	Myotis_lucifugus
ENSMPUP00000006482	ENSMPUG00000006538	Mustela_putorius_furo
ENSNVIP00000007026	ENSNVIG00000005587	Neovison_vison
ENSCAFP00020028027	ENSCAFG00020021991	Canis_lupus_dingo
ENSCAFP00000034396	ENSCAFG00000024975	Canis_lupus_familiaris
ENSVVUP00000008087	ENSVVUG00000006109	Vulpes_vulpes
ENSUMAP00000001644	ENSUMAG00000001525	Ursus_maritimus
ENSUAMP00000009406	ENSUAMG00000007795	Ursus_americanus
ENSAMEP00000013504	ENSAMEG00000012829	Ailuropoda_melanoleuca
ENSPTIP00000026110	ENSPTIG00000021636	Panthera_tigris_altaica
ENSPPRP00000013412	ENSPPRG00000006616	Panthera_pardus
ENSFCAP00000015911	ENSFCAG00000018569	Felis_catus
ENSHGLP00100013849	ENSHGLG00100010244	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000021267	ENSHGLG00000015195	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000018230	ENSFDAG00000009996	Fukomys_damarensis
ENSCPOP00000015013	ENSCPOG00000022895	Cavia_porcellus
ENSCAPP00000014814	ENSCAPG00000015102	Cavia_aperea
ENSCLAP00000002967	ENSCLAG00000002131	Chinchilla_lanigera
ENSODEP00000003552	ENSODEG00000002720	Octodon_degus
ENSSTOP00000021150	ENSSTOG00000025196	Ictidomys_tridecemlineatus
ENSUPAP00010024924	ENSUPAG00010019743	Urocitellus_parryii
ENSMMMP00000021908	ENSMMMG00000019269	Marmota_marmota_marmota
ENSPEMP00000001680	ENSPEMG00000001458	Peromyscus_maniculatus_bairdii
ENSMOCP00000001575	ENSMOCG00000001213	Microtus_ochrogaster
ENSCGRP00015004676	ENSCGRG00015003673	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020615	ENSCGRG00001019714	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000014568	ENSMAUG00000014294	Mesocricetus_auratus
ENSMSIP00000036426	ENSMSIG00000030321	Mus_spicilegus
ENSMUSP00000092305	ENSMUSG00000068082	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0068485	MGP_CAROLIEiJ_G0027271	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0071126	MGP_SPRETEiJ_G0028266	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0031671	MGP_PahariEiJ_G0017052	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000056195	ENSRNOG00000038891	Rattus_norvegicus
ENSNGAP00000020613	ENSNGAG00000020051	Nannospalax_galili
ENSJJAP00000001151	ENSJJAG00000001041	Jaculus_jaculus
ENSPCOP00000013001	ENSPCOG00000018107	Propithecus_coquereli
ENSPSMP00000032660	ENSPSMG00000022588	Prolemur_simus
ENSOGAP00000019108	ENSOGAG00000031256	Otolemur_garnettii
ENSGGOP00000002834	ENSGGOG00000002884	Gorilla_gorilla
ENSP00000382670	ENSG00000215203	Homo_sapiens
ENSPPAP00000004718	ENSPPAG00000019730	Pan_paniscus
ENSPTRP00000057705	ENSPTRG00000034129	Pan_troglodytes
ENSPPYP00000016422	ENSPPYG00000014700	Pongo_abelii
ENSNLEP00000021000	ENSNLEG00000017292	Nomascus_leucogenys
ENSMNEP00000000136	ENSMNEG00000000445	Macaca_nemestrina
ENSMMUP00000035298	ENSMMUG00000030349	Macaca_mulatta
ENSMFAP00000037082	ENSMFAG00000037806	Macaca_fascicularis
ENSCATP00000007969	ENSCATG00000023622	Cercocebus_atys
ENSPANP00000003201	ENSPANG00000021591	Papio_anubis
ENSTGEP00000004301	ENSTGEG00000003603	Theropithecus_gelada
ENSMLEP00000034670	ENSMLEG00000041487	Mandrillus_leucophaeus
ENSCSAP00000013151	ENSCSAG00000017111	Chlorocebus_sabaeus
ENSRBIP00000026169	ENSRBIG00000036969	Rhinopithecus_bieti
ENSRROP00000011603	ENSRROG00000030143	Rhinopithecus_roxellana
ENSCANP00000015507	ENSCANG00000031201	Colobus_angolensis_palliatus
ENSPTEP00000025974	ENSPTEG00000026145	Piliocolobus_tephrosceles
ENSCCAP00000025949	ENSCCAG00000030769	Cebus_capucinus_imitator
ENSSBOP00000032263	ENSSBOG00000032316	Saimiri_boliviensis_boliviensis
ENSCJAP00000035452	ENSCJAG00000019104	Callithrix_jacchus
ENSANAP00000005049	ENSANAG00000020621	Aotus_nancymaae
ENSTSYP00000010990	ENSTSYG00000011977	Carlito_syrichta
ENSOCUP00000020545	ENSOCUG00000002529	Oryctolagus_cuniculus
ENSDORP00000000901	ENSDORG00000000962	Dipodomys_ordii
ENSLAFP00000015911	ENSLAFG00000020760	Loxodonta_africana
ENSPCAP00000012470	ENSPCAG00000013381	Procavia_capensis
ENSMICP00000046275	ENSMICG00000044927	Microcebus_murinus
ENSDNOP00000016571	ENSDNOG00000024876	Dasypus_novemcinctus
ENSCHOP00000004262	ENSCHOG00000004817	Choloepus_hoffmanni
ENSOANP00000017356	ENSOANG00000010954	Ornithorhynchus_anatinus
ENSXETP00000018081	ENSXETG00000001915	Xenopus_tropicalis
ENSLACP00000008466	ENSLACG00000007495	Latimeria_chalumnae
ENSPKIP00000040237	ENSPKIG00000017278	Paramormyrops_kingsleyae
ENSSFOP00015004516	ENSSFOG00015002958	Scleropages_formosus
ENSPFOP00000021734	ENSPFOG00000020420	Poecilia_formosa
ENSPLAP00000017943	ENSPLAG00000022476	Poecilia_latipinna
ENSPMEP00000009883	ENSPMEG00000011760	Poecilia_mexicana
ENSPREP00000007772	ENSPREG00000005334	Poecilia_reticulata
ENSXMAP00000030287	ENSXMAG00000021816	Xiphophorus_maculatus
ENSXCOP00000017597	ENSXCOG00000013274	Xiphophorus_couchianus
ENSGAFP00000028948	ENSGAFG00000019537	Gambusia_affinis
ENSCVAP00000019622	ENSCVAG00000022992	Cyprinodon_variegatus
ENSKMAP00000011681	ENSKMAG00000008801	Kryptolebias_marmoratus
ENSORLP00000026985	ENSORLG00000021983	Oryzias_latipes_ASM223467v1
ENSORLP00015003728	ENSORLG00015004485	Oryzias_latipes_ASM223469v1
ENSOMEP00000009183	ENSOMEG00000010376	Oryzias_melastigma
ENSLBEP00000027914	ENSLBEG00000021169	Labrus_bergylta
ENSAOCP00000014849	ENSAOCG00000001420	Amphiprion_ocellaris
ENSAPEP00000001710	ENSAPEG00000001286	Amphiprion_percula
ENSSPAP00000000221	ENSSPAG00000000204	Stegastes_partitus
ENSACLP00000037355	ENSACLG00000025300	Astatotilapia_calliptera
ENSMZEP00005011504	ENSMZEG00005008643	Maylandia_zebra
ENSHBUP00000014960	ENSHBUG00000016846	Haplochromis_burtoni
ENSPNYP00000030420	ENSPNYG00000022933	Pundamilia_nyererei
ENSACIP00000029620	ENSACIG00000022931	Amphilophus_citrinellus
ENSSDUP00000024902	ENSSDUG00000018091	Seriola_dumerili
ENSSLDP00000031239	ENSSLDG00000024007	Seriola_lalandi_dorsalis
ENSSMAP00000019439	ENSSMAG00000011934	Scophthalmus_maximus
ENSLCAP00010047916	ENSLCAG00010022259	Lates_calcarifer
ENSMALP00000000033	ENSMALG00000000062	Monopterus_albus
ENSMAMP00000020281	ENSMAMG00000013659	Mastacembelus_armatus
ENSMMOP00000006032	ENSMMOG00000004732	Mola_mola
ENSTRUP00000054912	ENSTRUG00000024715	Takifugu_rubripes
ENSHCOP00000007932	ENSHCOG00000010061	Hippocampus_comes
ENSPMGP00000029929	ENSPMGG00000024080	Periophthalmus_magnuspinnatus
ENSPNAP00000031131	ENSPNAG00000018288	Pygocentrus_nattereri
ENSAMXP00000029183	ENSAMXG00000039148	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000008618	ENSIPUG00000005905	Ictalurus_punctatus
ENSDARP00000123503	ENSDARG00000069865	Danio_rerio
ENSCHAP00000008496	ENSCHAG00000005130	Clupea_harengus
ENSDCDP00000012710	ENSDCDG00000007842	Denticeps_clupeoides
ENSIPUP00000004430	ENSIPUG00000003103	Ictalurus_punctatus
ENSEEEP00000046554	ENSEEEG00000021926	Electrophorus_electricus
ENSAMXP00005037243	ENSAMXG00005017737	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000014217	ENSAMXG00000013815	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000016527	ENSPNAG00000022693	Pygocentrus_nattereri
ENSDARP00000144003	ENSDARG00000105434	Danio_rerio
ENSTNIP00000018811	ENSTNIG00000015736	Tetraodon_nigroviridis
ENSTRUP00000036203	ENSTRUG00000014150	Takifugu_rubripes
ENSCSEP00000004830	ENSCSEG00000003132	Cynoglossus_semilaevis
ENSGWIP00000040358	ENSGWIG00000020399	Gouania_willdenowi
