ENSRNOP00000019863	ENSRNOG00000014740	Rattus_norvegicus
ENSP00000331358	ENSG00000184502	Homo_sapiens
ENSGGOP00000016220	ENSGGOG00000016628	Gorilla_gorilla
ENSCHOP00000009554	ENSCHOG00000010805	Choloepus_hoffmanni
ENSMNEP00000037644	ENSMNEG00000041907	Macaca_nemestrina
ENSMOCP00000016968	ENSMOCG00000015714	Microtus_ochrogaster
ENSPEMP00000010441	ENSPEMG00000011428	Peromyscus_maniculatus_bairdii
ENSMUSP00000017309	ENSMUSG00000017165	Mus_musculus_strain_reference_(CL57BL6)
ENSSDAP00000008943	ENSSDAG00000008142	Spermophilus_dauricus
ENSNVIP00000014747	ENSNVIG00000011578	Neovison_vison
ENSXETP00000033008	ENSXETG00000016602	Xenopus_tropicalis	ENSXETT00000022984
ENSMUGP00000020768	ENSMUGG00000017512	Meriones_unguiculatus
ENSCLAP00000023408	ENSCLAG00000016052	Chinchilla_lanigera
ENSXETP00000032967	ENSXETG00000016642	Xenopus_tropicalis	ENSXETT00000036088
ENSMPUP00000010793	ENSMPUG00000010880	Mustela_putorius_furo
ENSCHIP00000009713	ENSCHIG00000012489	Capra_hircus
ENSEEUP00000009904	ENSEEUG00000010893	Erinaceus_europaeus
ENSUAMP00000032206	ENSUAMG00000024623	Ursus_americanus
MGP_PahariEiJ_P0036561	MGP_PahariEiJ_G0018297	Mus_pahari_strain_PAHARI_EIJ
ENSMSIP00000001040	ENSMSIG00000001061	Mus_spicilegus
ENSECAP00000010215	ENSECAG00000012504	Equus_caballus
ENSCHIP00000003189	ENSCHIG00000007130	Capra_hircus
ENSDNOP00000030241	ENSDNOG00000040703	Dasypus_novemcinctus
ENSFCAP00000011542	ENSFCAG00000038911	Felis_catus
ENSDORP00000005541	ENSDORG00000005917	Dipodomys_ordii
ENSMMUP00000072182	ENSMMUG00000063004	Macaca_mulatta
ENSMLUP00000004622	ENSMLUG00000005072	Myotis_lucifugus
ENSRBIP00000020686	ENSRBIG00000034328	Rhinopithecus_bieti
ENSPSMP00000019830	ENSPSMG00000014008	Prolemur_simus
ENSCGRP00000016494	ENSCGRG00000011978	Cricetulus_griseus_CriGri_1.0
ENSVVUP00000025874	ENSVVUG00000018998	Vulpes_vulpes
ENSPCIP00000049579	ENSPCIG00000015381	Phascolarctos_cinereus	ENSPCIT00000067680
ENSSSCP00000022312	ENSSSCG00000021910	Sus_scrofa_strain_reference
ENSRROP00000040180	ENSRROG00000043365	Rhinopithecus_roxellana
ENSCGRP00001018341	ENSCGRG00001018132	Cricetulus_griseus_CHOK1GS_HDv1
ENSCCAP00000013973	ENSCCAG00000024810	Cebus_capucinus_imitator
ENSBIXP00000011284	ENSBIXG00000006102	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTSYP00000021021	ENSTSYG00000032402	Carlito_syrichta
MGP_SPRETEiJ_P0031251	MGP_SPRETEiJ_G0018010	Mus_spretus_strain_SPRET/EiJ
ENSNLEP00000013408	ENSNLEG00000011040	Nomascus_leucogenys
ENSOCUP00000019850	ENSOCUG00000024965	Oryctolagus_cuniculus
ENSCAFP00000023420	ENSCAFG00000015924	Canis_lupus_familiaris
ENSUMAP00000031050	ENSUMAG00000022415	Ursus_maritimus
ENSPCOP00000020989	ENSPCOG00000022487	Propithecus_coquereli
ENSPANP00000020665	ENSPANG00000021514	Papio_anubis
ENSMODP00000018313	ENSMODG00000014656	Monodelphis_domestica	ENSMODT00000018646
ENSPTRP00000015628	ENSPTRG00000009176	Pan_troglodytes
ENSBBBP00000017718	ENSBBBG00000000082	Bison_bison_bison
ENSBMUP00000023566	ENSBMUG00000017661	Bos_mutus
ENSOARP00000018691	ENSOARG00000017412	Ovis_aries
ENSCATP00000039157	ENSCATG00000042229	Cercocebus_atys
ENSVURP00010028830	ENSVURG00010022068	Vombatus_ursinus	ENSVURT00010032844
ENSFDAP00000001203	ENSFDAG00000011242	Fukomys_damarensis
ENSLAFP00000006901	ENSLAFG00000008225	Loxodonta_africana
ENSCSAP00000015030	ENSCSAG00000003011	Chlorocebus_sabaeus
ENSANAP00000017613	ENSANAG00000026679	Aotus_nancymaae
ENSCAFP00020023144	ENSCAFG00020018277	Canis_lupus_dingo
ENSCPOP00000008841	ENSCPOG00000009853	Cavia_porcellus
ENSJJAP00000020792	ENSJJAG00000021370	Jaculus_jaculus
ENSMMMP00000007345	ENSMMMG00000006600	Marmota_marmota_marmota
ENSPPYP00000009459	ENSPPYG00000008412	Pongo_abelii
ENSOGAP00000008514	ENSOGAG00000009512	Otolemur_garnettii
ENSMAUP00000017337	ENSMAUG00000016246	Mesocricetus_auratus
ENSMEUP00000002956	ENSMEUG00000003247	Notamacropus_eugenii	ENSMEUT00000003249
ENSCGRP00015004582	ENSCGRG00015003620	Cricetulus_griseus_CriGri-PICR
ENSOPRP00000007281	ENSOPRG00000007965	Ochotona_princeps
ENSODEP00000024395	ENSODEG00000017853	Octodon_degus
ENSMICP00000010757	ENSMICG00000011819	Microcebus_murinus
ENSBTAP00000023489	ENSBTAG00000017663	Bos_taurus
ENSPTIP00000002221	ENSPTIG00000005313	Panthera_tigris_altaica
ENSHGLP00100021499	ENSHGLG00100015823	Heterocephalus_glaber_HetGla_1.0
ENSCJAP00000022264	ENSCJAG00000012135	Callithrix_jacchus
ENSXETP00000016092	ENSXETG00000010593	Xenopus_tropicalis	ENSXETT00000005229
ENSCANP00000010780	ENSCANG00000028797	Colobus_angolensis_palliatus
ENSMLEP00000021854	ENSMLEG00000035133	Mandrillus_leucophaeus
ENSUPAP00010011276	ENSUPAG00010009145	Urocitellus_parryii
ENSPTEP00000031677	ENSPTEG00000030560	Piliocolobus_tephrosceles
ENSNGAP00000019919	ENSNGAG00000019585	Nannospalax_galili
ENSAMEP00000005936	ENSAMEG00000005630	Ailuropoda_melanoleuca
ENSCCNP00000026134	ENSCCNG00000025402	Castor_canadensis
ENSSHAP00000006292	ENSSHAG00000005479	Sarcophilus_harrisii
ENSMFAP00000018433	ENSMFAG00000032300	Macaca_fascicularis
ENSPCAP00000010297	ENSPCAG00000011106	Procavia_capensis
MGP_CAROLIEiJ_P0029831	MGP_CAROLIEiJ_G0017167	Mus_caroli_strain_CAROLI_EIJ
ENSSTOP00000005267	ENSSTOG00000005906	Ictidomys_tridecemlineatus
ENSHGLP00000018516	ENSHGLG00000013252	Heterocephalus_glaber_HetGla_female_1.0
ENSPPRP00000014278	ENSPPRG00000007220	Panthera_pardus
ENSEASP00005009331	ENSEASG00005006671	Equus_asinus_asinus
ENSSDAP00000008954	ENSSDAG00000008158	Spermophilus_dauricus
ENSCAPP00000012748	ENSCAPG00000013537	Cavia_aperea
ENSPPAP00000014288	ENSPPAG00000030298	Pan_paniscus
