ENSOGAP00000017148	ENSOGAG00000026048	Otolemur_garnettii	ENSOGAT00000025714
ENSCCNP00000011451	ENSCCNG00000011886	Castor_canadensis	ENSCCNT00000014994
ENSMLUP00000016821	ENSMLUG00000029117	Myotis_lucifugus	ENSMLUT00000023366
ENSMLUP00000019273	ENSMLUG00000025216	Myotis_lucifugus	ENSMLUT00000022509
ENSPVAP00000012106	ENSPVAG00000012839	Pteropus_vampyrus	ENSPVAT00000012837
ENSBBBP00000009987	ENSBBBG00000018130	Bison_bison_bison
ENSBMUP00000034727	ENSBMUG00000025850	Bos_mutus	ENSBMUT00000039955
ENSOARP00000015552	ENSOARG00000014495	Ovis_aries
ENSVPAP00000010136	ENSVPAG00000010888	Vicugna_pacos
ENSLAFP00000015845	ENSLAFG00000020859	Loxodonta_africana
ENSPCAP00000001783	ENSPCAG00000001946	Procavia_capensis
ENSMEUP00000014064	ENSMEUG00000015412	Notamacropus_eugenii
ENSMVIP00005022847	ENSMVIG00005016040	Manacus_vitellinus
ENSLCOP00000005540	ENSLCOG00000004126	Lepidothrix_coronata
ENSLSDP00000019833	ENSLSDG00000014084	Lonchura_striata_domestica
ENSFALP00000005414	ENSFALG00000005204	Ficedula_albicollis
ENSCPGP00000000481	ENSCPGG00000000379	Calidris_pygmaea
ENSGALP00000072609	ENSGALG00000055117	Gallus_gallus
ENSAOWP00000014558	ENSAOWG00000009937	Apteryx_owenii
ENSAHAP00000011138	ENSAHAG00000008081	Apteryx_haastii
ENSARWP00000023591	ENSARWG00000016086	Apteryx_rowi
ENSNPEP00000018817	ENSNPEG00000014035	Nothoprocta_perdicaria
ENSCPRP00005026386	ENSCPRG00005018291	Crocodylus_porosus
ENSCABP00000016899	ENSCABG00000012537	Chelonoidis_abingdonii
ENSPVIP00000008348	ENSPVIG00000006741	Pogona_vitticeps
