ENSXETP00000014574	ENSXETG00000000600	Xenopus_tropicalis
ENSLACP00000020406	ENSLACG00000017934	Latimeria_chalumnae
ENSDCDP00000039631	ENSDCDG00000026285	Denticeps_clupeoides
ENSDCDP00000047791	ENSDCDG00000029719	Denticeps_clupeoides
ENSCHAP00000060947	ENSCHAG00000027201	Clupea_harengus
ENSAMXP00000005033	ENSAMXG00000004912	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000015930	ENSPNAG00000022027	Pygocentrus_nattereri
ENSIPUP00000033711	ENSIPUG00000022666	Ictalurus_punctatus
ENSEEEP00000003098	ENSEEEG00000001755	Electrophorus_electricus
ENSDARP00000072702	ENSDARG00000055740	Danio_rerio
ENSCSEP00000014704	ENSCSEG00000009463	Cynoglossus_semilaevis
ENSGWIP00000011872	ENSGWIG00000006975	Gouania_willdenowi
ENSMMOP00000014016	ENSMMOG00000010734	Mola_mola
ENSTNIP00000005476	ENSTNIG00000002908	Tetraodon_nigroviridis
ENSBSLP00000016097	ENSBSLG00000008504	Betta_splendens
ENSAOCP00000018349	ENSAOCG00000023537	Amphiprion_ocellaris
ENSAPEP00000022951	ENSAPEG00000016342	Amphiprion_percula
ENSAPOP00000005408	ENSAPOG00000007105	Acanthochromis_polyacanthus
ENSSPAP00000006605	ENSSPAG00000005090	Stegastes_partitus
ENSPRNP00000025931	ENSPRNG00000013064	Parambassis_ranga
ENSPFOP00000019717	ENSPFOG00000019594	Poecilia_formosa
ENSPLAP00000028130	ENSPLAG00000017260	Poecilia_latipinna
ENSPMEP00000028740	ENSPMEG00000014033	Poecilia_mexicana
ENSPREP00000029814	ENSPREG00000020188	Poecilia_reticulata
ENSXMAP00000009454	ENSXMAG00000009434	Xiphophorus_maculatus
ENSXCOP00000021004	ENSXCOG00000015715	Xiphophorus_couchianus
ENSGAFP00000028334	ENSGAFG00000019169	Gambusia_affinis
ENSCVAP00000025699	ENSCVAG00000010689	Cyprinodon_variegatus
ENSFHEP00000010037	ENSFHEG00000011312	Fundulus_heteroclitus
ENSKMAP00000004412	ENSKMAG00000003363	Kryptolebias_marmoratus
ENSORLP00020005527	ENSORLG00020006342	Oryzias_latipes_ASM223471v1
ENSORLP00015020310	ENSORLG00015021433	Oryzias_latipes_ASM223469v1
ENSORLP00000020760	ENSORLG00000016582	Oryzias_latipes_ASM223467v1
ENSOMEP00000030276	ENSOMEG00000014448	Oryzias_melastigma
ENSLBEP00000033660	ENSLBEG00000025350	Labrus_bergylta
ENSSMAP00000030065	ENSSMAG00000018445	Scophthalmus_maximus
ENSNBRP00000031683	ENSNBRG00000024076	Neolamprologus_brichardi
ENSSLDP00000004137	ENSSLDG00000003272	Seriola_lalandi_dorsalis
ENSSDUP00000007867	ENSSDUG00000005761	Seriola_dumerili
ENSLCAP00010006728	ENSLCAG00010003310	Lates_calcarifer
ENSMALP00000013281	ENSMALG00000009402	Monopterus_albus
