ENSCSAVP00000002764	ENSCSAVG00000001640	Ciona_savignyi	ENSCSAVT00000002807
ENSCINP00000012344	ENSCING00000005977	Ciona_intestinalis	ENSCINT00000012344
ENSCSAVP00000007183	ENSCSAVG00000004294	Ciona_savignyi	ENSCSAVT00000007276
ENSXMAP00000038300	ENSXMAG00000026374	Xiphophorus_maculatus
ENSPFOP00000026318	ENSPFOG00000022164	Poecilia_formosa
ENSXCOP00000002580	ENSXCOG00000002065	Xiphophorus_couchianus
ENSPREP00000025214	ENSPREG00000017003	Poecilia_reticulata
ENSGAFP00000003282	ENSGAFG00000002247	Gambusia_affinis
ENSFHEP00000030437	ENSFHEG00000015755	Fundulus_heteroclitus
ENSKMAP00000015205	ENSKMAG00000011372	Kryptolebias_marmoratus
ENSORLP00020031968	ENSORLG00020017288	Oryzias_latipes_ASM223471v1
ENSORLP00015017822	ENSORLG00015018863	Oryzias_latipes_ASM223469v1
ENSORLP00000004104	ENSORLG00000003300	Oryzias_latipes_ASM223467v1
ENSOMEP00000034045	ENSOMEG00000020397	Oryzias_melastigma
ENSACLP00000021174	ENSACLG00000014397	Astatotilapia_calliptera
ENSPNYP00000021647	ENSPNYG00000016354	Pundamilia_nyererei
ENSMZEP00005004455	ENSMZEG00005003481	Maylandia_zebra
ENSNBRP00000005227	ENSNBRG00000004156	Neolamprologus_brichardi
ENSHBUP00000009563	ENSHBUG00000011096	Haplochromis_burtoni
ENSACIP00000008967	ENSACIG00000007025	Amphilophus_citrinellus
ENSAPEP00000016120	ENSAPEG00000011485	Amphiprion_percula
ENSAOCP00000024415	ENSAOCG00000011183	Amphiprion_ocellaris
ENSAPOP00000024364	ENSAPOG00000006747	Acanthochromis_polyacanthus
ENSSPAP00000020561	ENSSPAG00000015505	Stegastes_partitus
ENSPRNP00000002332	ENSPRNG00000001407	Parambassis_ranga
ENSLCRP00005012891	ENSLCRG00005005633	Larimichthys_crocea
ENSCGOP00000008288	ENSCGOG00000004273	Cottoperca_gobio
ENSLBEP00000011805	ENSLBEG00000009068	Labrus_bergylta
ENSMAMP00000002064	ENSMAMG00000001439	Mastacembelus_armatus
ENSMALP00000019452	ENSMALG00000013580	Monopterus_albus
ENSATEP00000018896	ENSATEG00000013148	Anabas_testudineus
ENSBSLP00000012403	ENSBSLG00000006292	Betta_splendens
ENSSLDP00000001877	ENSSLDG00000001521	Seriola_lalandi_dorsalis
ENSSDUP00000020617	ENSSDUG00000015014	Seriola_dumerili
ENSLCAP00010024586	ENSLCAG00010011510	Lates_calcarifer
ENSSMAP00000001552	ENSSMAG00000000979	Scophthalmus_maximus
ENSTNIP00000016123	ENSTNIG00000013141	Tetraodon_nigroviridis
ENSEBUP00000008466	ENSEBUG00000005482	Eptatretus_burgeri
K06B9.5a.1	WBGene00003938	Caenorhabditis_elegans_strain_N2
C04G2.7.1	WBGene00001204	Caenorhabditis_elegans_strain_N2
K07C11.1.1	WBGene00003937	Caenorhabditis_elegans_strain_N2
FBpp0302942	FBgn0003130	Drosophila_melanogaster
