ENSOARP00000018154	ENSOARG00000016896	Ovis_aries	ENSOART00000018411
ENSCHIP00000018664	ENSCHIG00000018005	Capra_hircus	ENSCHIT00000026479
ENSBMUP00000029214	ENSBMUG00000021870	Bos_mutus
ENSBIXP00005019110	ENSBIXG00005022334	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000005677	ENSBIXG00000001012	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000046313	ENSBTAG00000034945	Bos_taurus
ENSBBBP00000004423	ENSBBBG00000013322	Bison_bison_bison
ENSSSCP00000028586	ENSSSCG00000001447	Sus_scrofa_strain_reference
ENSMLUP00000017222	ENSMLUG00000023212	Myotis_lucifugus	ENSMLUT00000022199
ENSECAP00000014771	ENSECAG00000016943	Equus_caballus
ENSAMEP00000002538	ENSAMEG00000002412	Ailuropoda_melanoleuca
ENSUMAP00000013487	ENSUMAG00000009950	Ursus_maritimus
ENSMPUP00000009448	ENSMPUG00000009524	Mustela_putorius_furo
ENSNVIP00000022313	ENSNVIG00000017404	Neovison_vison
ENSCAFP00020001867	ENSCAFG00020001614	Canis_lupus_dingo
ENSCAFP00020019280	ENSCAFG00020015331	Canis_lupus_dingo
ENSCAFP00000001142	ENSCAFG00000000801	Canis_lupus_familiaris
ENSVVUP00000034768	ENSVVUG00000025058	Vulpes_vulpes
ENSPTIP00000004147	ENSPTIG00000006731	Panthera_tigris_altaica
ENSPPRP00000007814	ENSPPRG00000002833	Panthera_pardus
ENSFCAP00000051663	ENSFCAG00000028529	Felis_catus
ENSCCNP00000013717	ENSCCNG00000014204	Castor_canadensis
ENSOCUP00000015567	ENSOCUG00000023975	Oryctolagus_cuniculus
ENSLAFP00000020708	ENSLAFG00000031892	Loxodonta_africana
ENSPCAP00000008122	ENSPCAG00000008701	Procavia_capensis
ENSEEUP00000006239	ENSEEUG00000006874	Erinaceus_europaeus	ENSEEUT00000006831
ENSPCIP00000024985	ENSPCIG00000018812	Phascolarctos_cinereus
