ENSSFOP00015001023	ENSSFOG00015000740	Scleropages_formosus
ENSPKIP00000026893	ENSPKIG00000009185	Paramormyrops_kingsleyae
ENSSDUP00000022395	ENSSDUG00000016304	Seriola_dumerili
ENSSLDP00000001236	ENSSLDG00000001069	Seriola_lalandi_dorsalis
ENSSMAP00000015459	ENSSMAG00000009465	Scophthalmus_maximus
ENSTRUP00000055635	ENSTRUG00000023111	Takifugu_rubripes
ENSTNIP00000014539	ENSTNIG00000011589	Tetraodon_nigroviridis	ENSTNIT00000014738
ENSLBEP00000028500	ENSLBEG00000021572	Labrus_bergylta
ENSMAMP00000004220	ENSMAMG00000002846	Mastacembelus_armatus
ENSGWIP00000024190	ENSGWIG00000012849	Gouania_willdenowi
ENSATEP00000006398	ENSATEG00000004481	Anabas_testudineus
ENSBSLP00000009651	ENSBSLG00000004709	Betta_splendens
ENSORLP00000015271	ENSORLG00000012199	Oryzias_latipes_ASM223467v1
ENSORLP00020011225	ENSORLG00020012166	Oryzias_latipes_ASM223471v1
ENSORLP00015021554	ENSORLG00015022792	Oryzias_latipes_ASM223469v1
ENSPMGP00000020485	ENSPMGG00000016552	Periophthalmus_magnuspinnatus	ENSPMGT00000021823
ENSAOCP00000009948	ENSAOCG00000014127	Amphiprion_ocellaris
ENSAPEP00000020701	ENSAPEG00000014768	Amphiprion_percula
ENSAPOP00000015630	ENSAPOG00000018652	Acanthochromis_polyacanthus
ENSACLP00000011719	ENSACLG00000008021	Astatotilapia_calliptera
ENSMZEP00005011728	ENSMZEG00005008794	Maylandia_zebra
ENSPNYP00000022921	ENSPNYG00000017308	Pundamilia_nyererei
ENSHBUP00000018331	ENSHBUG00000020452	Haplochromis_burtoni
ENSNBRP00000002572	ENSNBRG00000002011	Neolamprologus_brichardi
ENSONIP00000024443	ENSONIG00000019418	Oreochromis_niloticus
ENSPMEP00000034920	ENSPMEG00000024293	Poecilia_mexicana
ENSPFOP00000031278	ENSPFOG00000024467	Poecilia_formosa
ENSPLAP00000015898	ENSPLAG00000019912	Poecilia_latipinna
ENSGAFP00000008579	ENSGAFG00000005808	Gambusia_affinis
ENSPREP00000023095	ENSPREG00000015539	Poecilia_reticulata
ENSXMAP00000031798	ENSXMAG00000022771	Xiphophorus_maculatus
ENSXCOP00000024212	ENSXCOG00000018083	Xiphophorus_couchianus
ENSCVAP00000012565	ENSCVAG00000014996	Cyprinodon_variegatus
ENSFHEP00000017789	ENSFHEG00000019543	Fundulus_heteroclitus
ENSKMAP00000012092	ENSKMAG00000009095	Kryptolebias_marmoratus
ENSLCAP00010003036	ENSLCAG00010001604	Lates_calcarifer
ENSPRNP00000023960	ENSPRNG00000012236	Parambassis_ranga
ENSCSEP00000027747	ENSCSEG00000017725	Cynoglossus_semilaevis
ENSLCRP00005005668	ENSLCRG00005002897	Larimichthys_crocea
ENSHCOP00000025020	ENSHCOG00000014859	Hippocampus_comes
ENSCGOP00000031781	ENSCGOG00000014820	Cottoperca_gobio
ENSGACP00000017526	ENSGACG00000013218	Gasterosteus_aculeatus
ENSGMOP00000009094	ENSGMOG00000008497	Gadus_morhua
ENSMMOP00000016335	ENSMMOG00000012472	Mola_mola	ENSMMOT00000016609
ENSHHUP00000013856	ENSHHUG00000008521	Hucho_hucho
ENSAMXP00000030297	ENSAMXG00000033233	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005034748	ENSAMXG00005016742	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000029624	ENSPNAG00000015809	Pygocentrus_nattereri
ENSEEEP00000037598	ENSEEEG00000017888	Electrophorus_electricus
ENSIPUP00000013486	ENSIPUG00000009190	Ictalurus_punctatus
ENSHHUP00000058102	ENSHHUG00000034593	Hucho_hucho
ENSELUP00000037675	ENSELUG00000017382	Esox_lucius
ENSOMEP00000033145	ENSOMEG00000018938	Oryzias_melastigma
ENSACIP00000008316	ENSACIG00000006526	Amphilophus_citrinellus
