ENSSDUP00000024047	ENSSDUG00000017490	Seriola_dumerili
ENSSLDP00000018739	ENSSLDG00000014730	Seriola_lalandi_dorsalis
ENSSMAP00000032201	ENSSMAG00000019719	Scophthalmus_maximus
ENSLCAP00010048454	ENSLCAG00010022531	Lates_calcarifer
ENSATEP00000034283	ENSATEG00000023557	Anabas_testudineus
ENSBSLP00000026605	ENSBSLG00000013324	Betta_splendens
ENSLBEP00000033980	ENSLBEG00000025580	Labrus_bergylta	ENSLBET00000035456
ENSLBEP00000005543	ENSLBEG00000004263	Labrus_bergylta	ENSLBET00000005827
ENSLCRP00005035444	ENSLCRG00005013842	Larimichthys_crocea	ENSLCRT00005036101
ENSMMOP00000000981	ENSMMOG00000000840	Mola_mola	ENSMMOT00000001004
ENSAOCP00000008082	ENSAOCG00000012042	Amphiprion_ocellaris
ENSAPEP00000026813	ENSAPEG00000019047	Amphiprion_percula
ENSAPOP00000004041	ENSAPOG00000005632	Acanthochromis_polyacanthus
ENSSPAP00000009379	ENSSPAG00000007138	Stegastes_partitus
ENSPFOP00000027452	ENSPFOG00000023031	Poecilia_formosa
ENSPLAP00000029091	ENSPLAG00000019043	Poecilia_latipinna
ENSPMEP00000030947	ENSPMEG00000017748	Poecilia_mexicana
ENSXMAP00000023893	ENSXMAG00000022189	Xiphophorus_maculatus
ENSXCOP00000023874	ENSXCOG00000017833	Xiphophorus_couchianus
ENSPREP00000003993	ENSPREG00000002850	Poecilia_reticulata
ENSFHEP00000022399	ENSFHEG00000002744	Fundulus_heteroclitus
ENSPSIP00000020292	ENSPSIG00000017973	Pelodiscus_sinensis
ENSGAGP00000025591	ENSGAGG00000018693	Gopherus_agassizii
ENSPMJP00000020728	ENSPMJG00000015412	Parus_major
ENSCCEP00000021723	ENSCCEG00000019685	Cyanistes_caeruleus
ENSFALP00000013886	ENSFALG00000013307	Ficedula_albicollis
ENSTGUP00000005440	ENSTGUG00000005288	Taeniopygia_guttata
ENSLSDP00000019264	ENSLSDG00000013730	Lonchura_striata_domestica
ENSSCAP00000004672	ENSSCAG00000003789	Serinus_canaria
ENSJHYP00000021048	ENSJHYG00000015912	Junco_hyemalis
ENSMVIP00005017183	ENSMVIG00005012277	Manacus_vitellinus
ENSCPUP00000016324	ENSCPUG00000011309	Calidris_pugnax
ENSABRP00000024757	ENSABRG00000020789	Anser_brachyrhynchus
ENSAPLP00000031149	ENSAPLG00000017253	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000003028	ENSMGAG00000003344	Meleagris_gallopavo
ENSGALP00000004749	ENSGALG00000003013	Gallus_gallus
ENSCJPP00005019574	ENSCJPG00005015856	Coturnix_japonica
ENSNMEP00000017057	ENSNMEG00000014967	Numida_meleagris
ENSAHAP00000012696	ENSAHAG00000009143	Apteryx_haastii
ENSACAP00000010769	ENSACAG00000010976	Anolis_carolinensis
ENSOARP00000004698	ENSOARG00000004391	Ovis_aries
ENSMLUP00000012231	ENSMLUG00000013443	Myotis_lucifugus
ENSLAFP00000004463	ENSLAFG00000005335	Loxodonta_africana
ENSMODP00000021338	ENSMODG00000017099	Monodelphis_domestica
ENSSHAP00000016744	ENSSHAG00000014246	Sarcophilus_harrisii
ENSPMAP00000001261	ENSPMAG00000001138	Petromyzon_marinus
