ENSDORP00000016208	ENSDORG00000023528	Dipodomys_ordii
ENSNGAP00000001351	ENSNGAG00000001008	Nannospalax_galili
ENSNLEP00000033308	ENSNLEG00000027151	Nomascus_leucogenys
ENSATEP00000022047	ENSATEG00000015304	Anabas_testudineus
ENSELUP00000024277	ENSELUG00000023080	Esox_lucius
ENSAMXP00005004647	ENSAMXG00005002858	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00020034325	ENSORLG00020020788	Oryzias_latipes_ASM223471v1
ENSXETP00000036252	ENSXETG00000013626	Xenopus_tropicalis
ENSLCRP00005050839	ENSLCRG00005019181	Larimichthys_crocea
ENSPEMP00000023141	ENSPEMG00000020274	Peromyscus_maniculatus_bairdii
ENSMUGP00000000812	ENSMUGG00000000775	Meriones_unguiculatus
ENSDNOP00000035171	ENSDNOG00000030903	Dasypus_novemcinctus
ENSDCDP00000059112	ENSDCDG00000034186	Denticeps_clupeoides
ENSPPYP00000001180	ENSPPYG00000001012	Pongo_abelii
ENSIPUP00000029341	ENSIPUG00000019815	Ictalurus_punctatus
ENSAPOP00000022282	ENSAPOG00000003387	Acanthochromis_polyacanthus
ENSODEP00000026184	ENSODEG00000019566	Octodon_degus
ENSONIP00000010822	ENSONIG00000008607	Oreochromis_niloticus
ENSCGRP00000010356	ENSCGRG00000007592	Cricetulus_griseus_CriGri_1.0
ENSECAP00000042617	ENSECAG00000032164	Equus_caballus
ENSSSCP00000014406	ENSSSCG00000040926	Sus_scrofa_strain_reference
ENSPLAP00000026989	ENSPLAG00000015223	Poecilia_latipinna
ENSAMEP00000004516	ENSAMEG00000004293	Ailuropoda_melanoleuca
ENSPKIP00000002338	ENSPKIG00000020270	Paramormyrops_kingsleyae
ENSMLUP00000016571	ENSMLUG00000028644	Myotis_lucifugus
ENSSMRP00000023475	ENSSMRG00000018224	Salvator_merianae	ENSSMRT00000027495
ENSXMAP00000000440	ENSXMAG00000000439	Xiphophorus_maculatus
ENSRROP00000000682	ENSRROG00000002558	Rhinopithecus_roxellana
ENSRROP00000021462	ENSRROG00000034643	Rhinopithecus_roxellana
ENSFDAP00000018847	ENSFDAG00000009547	Fukomys_damarensis
ENSHHUP00000056272	ENSHHUG00000033596	Hucho_hucho
ENSLACP00000009285	ENSLACG00000008189	Latimeria_chalumnae
ENSCCAP00000033554	ENSCCAG00000034802	Cebus_capucinus_imitator
ENSHCOP00000005484	ENSHCOG00000007174	Hippocampus_comes
ENSPANP00000009298	ENSPANG00000012900	Papio_anubis
ENSNLEP00000010383	ENSNLEG00000008518	Nomascus_leucogenys
ENSSDAP00000002746	ENSSDAG00000002645	Spermophilus_dauricus
ENSLACP00000016434	ENSLACG00000014480	Latimeria_chalumnae
ENSORLP00000000484	ENSORLG00000027074	Oryzias_latipes_ASM223467v1
ENSLBEP00000021817	ENSLBEG00000016767	Labrus_bergylta
ENSPTRP00000048014	ENSPTRG00000017273	Pan_troglodytes
ENSORLP00015015588	ENSORLG00015016507	Oryzias_latipes_ASM223469v1
MGP_SPRETEiJ_P0036243	MGP_SPRETEiJ_G0019473	Mus_spretus_strain_SPRET/EiJ
ENSCGRP00015006800	ENSCGRG00015005276	Cricetulus_griseus_CriGri-PICR
ENSEBUP00000026945	ENSEBUG00000016570	Eptatretus_burgeri
ENSSSCP00000067875	ENSSSCG00000042630	Sus_scrofa_strain_reference
ENSCGOP00000026518	ENSCGOG00000012510	Cottoperca_gobio
ENSPPYP00000017682	ENSPPYG00000015814	Pongo_abelii
ENSORLP00015014256	ENSORLG00015015182	Oryzias_latipes_ASM223469v1
ENSORLP00020021215	ENSORLG00020022487	Oryzias_latipes_ASM223471v1
ENSNPEP00000010061	ENSNPEG00000007545	Nothoprocta_perdicaria
ENSACAP00000012073	ENSACAG00000012234	Anolis_carolinensis	ENSACAT00000012318
ENSCSAP00000017505	ENSCSAG00000000499	Chlorocebus_sabaeus
ENSPREP00000007888	ENSPREG00000005411	Poecilia_reticulata
ENSCJAP00000011244	ENSCJAG00000006112	Callithrix_jacchus
ENSAPOP00000002276	ENSAPOG00000003688	Acanthochromis_polyacanthus
ENSFDAP00000004940	ENSFDAG00000014067	Fukomys_damarensis
ENSMFAP00000014673	ENSMFAG00000030522	Macaca_fascicularis
ENSANAP00000041210	ENSANAG00000037918	Aotus_nancymaae
ENSNPEP00000020232	ENSNPEG00000015040	Nothoprocta_perdicaria	ENSNPET00000020746
ENSHGLP00100008985	ENSHGLG00100006677	Heterocephalus_glaber_HetGla_1.0
ENSPNAP00000034212	ENSPNAG00000023333	Pygocentrus_nattereri
ENSGMOP00000017409	ENSGMOG00000016232	Gadus_morhua
ENSLSDP00000013293	ENSLSDG00000009666	Lonchura_striata_domestica
ENSORLP00015013876	ENSORLG00015014774	Oryzias_latipes_ASM223469v1
ENSMAUP00000019072	ENSMAUG00000017462	Mesocricetus_auratus
ENSMLEP00000006395	ENSMLEG00000026629	Mandrillus_leucophaeus
ENSETEP00000006295	ENSETEG00000007747	Echinops_telfairi
ENSLAFP00000022900	ENSLAFG00000027712	Loxodonta_africana
ENSTGUP00000001223	ENSTGUG00000001186	Taeniopygia_guttata
ENSCPBP00000011464	ENSCPBG00000008738	Chrysemys_picta_bellii
ENSMUSP00000007980	ENSMUSG00000007836	Mus_musculus_strain_reference_(CL57BL6)
ENSPNYP00000011165	ENSPNYG00000008424	Pundamilia_nyererei
ENSAPOP00000029044	ENSAPOG00000014678	Acanthochromis_polyacanthus
ENSORLP00020025519	ENSORLG00020007505	Oryzias_latipes_ASM223471v1
ENSODEP00000022587	ENSODEG00000016578	Octodon_degus
ENSZALP00000012177	ENSZALG00000010253	Zonotrichia_albicollis
ENSOCUP00000040421	ENSOCUG00000034388	Oryctolagus_cuniculus
ENSNSUP00000003815	ENSNSUG00000003078	Notechis_scutatus
ENSCINP00000024998	ENSCING00000013663	Ciona_intestinalis
ENSPMAP00000004874	ENSPMAG00000004449	Petromyzon_marinus
ENSCHAP00000058946	ENSCHAG00000026478	Clupea_harengus
ENSORLP00015031747	ENSORLG00015016157	Oryzias_latipes_ASM223469v1
ENSAMEP00000017225	ENSAMEG00000016316	Ailuropoda_melanoleuca
ENSPKIP00000002352	ENSPKIG00000020281	Paramormyrops_kingsleyae
ENSSPUP00000021636	ENSSPUG00000016613	Sphenodon_punctatus
ENSORLP00015031824	ENSORLG00015016302	Oryzias_latipes_ASM223469v1
ENSSDUP00000000408	ENSSDUG00000000381	Seriola_dumerili
ENSSFOP00015004075	ENSSFOG00015002650	Scleropages_formosus
ENSSTOP00000017379	ENSSTOG00000019374	Ictidomys_tridecemlineatus
ENSHGLP00000025583	ENSHGLG00000018216	Heterocephalus_glaber_HetGla_female_1.0
ENSMLUP00000016369	ENSMLUG00000012683	Myotis_lucifugus
ENSPMGP00000000830	ENSPMGG00000000747	Periophthalmus_magnuspinnatus
ENSCPOP00000020541	ENSCPOG00000026092	Cavia_porcellus
ENSFDAP00000013606	ENSFDAG00000000331	Fukomys_damarensis
ENSDARP00000093709	ENSDARG00000059351	Danio_rerio
ENSORLP00000030815	ENSORLG00000025332	Oryzias_latipes_ASM223467v1
ENSHGLP00100001709	ENSHGLG00100001336	Heterocephalus_glaber_HetGla_1.0
ENSORLP00015031786	ENSORLG00015016236	Oryzias_latipes_ASM223469v1
ENSP00000316042	ENSG00000177733	Homo_sapiens
ENSSFOP00015002711	ENSSFOG00015001814	Scleropages_formosus
ENSGAGP00000006993	ENSGAGG00000005632	Gopherus_agassizii
ENSECRP00000014197	ENSECRG00000009479	Erpetoichthys_calabaricus
ENSCGOP00000020848	ENSCGOG00000010091	Cottoperca_gobio
ENSPTEP00000035434	ENSPTEG00000033443	Piliocolobus_tephrosceles
