ENSMMOP00000016412	ENSMMOG00000012519	Mola_mola
ENSTRUP00000025292	ENSTRUG00000010051	Takifugu_rubripes
ENSLBEP00000027690	ENSLBEG00000020968	Labrus_bergylta
ENSLCRP00005007416	ENSLCRG00005003641	Larimichthys_crocea
ENSCGOP00000019929	ENSCGOG00000009605	Cottoperca_gobio
ENSGACP00000012951	ENSGACG00000009801	Gasterosteus_aculeatus
ENSSDUP00000025539	ENSSDUG00000018512	Seriola_dumerili
ENSSLDP00000026798	ENSSLDG00000020766	Seriola_lalandi_dorsalis
ENSSMAP00000022311	ENSSMAG00000013458	Scophthalmus_maximus
ENSLCAP00010014036	ENSLCAG00010006654	Lates_calcarifer
ENSMALP00000017673	ENSMALG00000012305	Monopterus_albus
ENSMALP00000017574	ENSMALG00000012205	Monopterus_albus
ENSMAMP00000017224	ENSMAMG00000011649	Mastacembelus_armatus
ENSATEP00000019618	ENSATEG00000013640	Anabas_testudineus
ENSBSLP00000010230	ENSBSLG00000005190	Betta_splendens
ENSAPEP00000034388	ENSAPEG00000024427	Amphiprion_percula
ENSAOCP00000002660	ENSAOCG00000005832	Amphiprion_ocellaris
ENSAPOP00000013796	ENSAPOG00000016662	Acanthochromis_polyacanthus
ENSSPAP00000011327	ENSSPAG00000008575	Stegastes_partitus
ENSPRNP00000006956	ENSPRNG00000004138	Parambassis_ranga
ENSMZEP00005022302	ENSMZEG00005016711	Maylandia_zebra
ENSACLP00000023913	ENSACLG00000016149	Astatotilapia_calliptera
ENSPNYP00000008202	ENSPNYG00000006261	Pundamilia_nyererei
ENSNBRP00000005494	ENSNBRG00000004303	Neolamprologus_brichardi
ENSHBUP00000000800	ENSHBUG00000002011	Haplochromis_burtoni
ENSONIP00000004675	ENSONIG00000003718	Oreochromis_niloticus
ENSACIP00000018105	ENSACIG00000014088	Amphilophus_citrinellus
ENSXMAP00000018699	ENSXMAG00000018623	Xiphophorus_maculatus
ENSXCOP00000016726	ENSXCOG00000012607	Xiphophorus_couchianus
ENSGAFP00000018166	ENSGAFG00000012278	Gambusia_affinis
ENSPFOP00000010521	ENSPFOG00000010342	Poecilia_formosa
ENSPLAP00000015666	ENSPLAG00000019658	Poecilia_latipinna
ENSPMEP00000030015	ENSPMEG00000016191	Poecilia_mexicana
ENSPREP00000001359	ENSPREG00000000933	Poecilia_reticulata
ENSFHEP00000005347	ENSFHEG00000006314	Fundulus_heteroclitus
ENSCVAP00000002792	ENSCVAG00000003934	Cyprinodon_variegatus
ENSKMAP00000028369	ENSKMAG00000021028	Kryptolebias_marmoratus
ENSORLP00020002392	ENSORLG00020003142	Oryzias_latipes_ASM223471v1
ENSORLP00015004757	ENSORLG00015005547	Oryzias_latipes_ASM223469v1
ENSORLP00000008351	ENSORLG00000006650	Oryzias_latipes_ASM223467v1
ENSOMEP00000011865	ENSOMEG00000013205	Oryzias_melastigma
ENSGWIP00000029613	ENSGWIG00000015468	Gouania_willdenowi
ENSCSEP00000026579	ENSCSEG00000016961	Cynoglossus_semilaevis
ENSHCOP00000020979	ENSHCOG00000007498	Hippocampus_comes
ENSPMGP00000017228	ENSPMGG00000014105	Periophthalmus_magnuspinnatus
ENSGMOP00000010754	ENSGMOG00000010046	Gadus_morhua
ENSHHUP00000056909	ENSHHUG00000033892	Hucho_hucho
ENSHHUP00000004868	ENSHHUG00000002931	Hucho_hucho
ENSHHUP00000004991	ENSHHUG00000003030	Hucho_hucho
ENSELUP00000014448	ENSELUG00000014512	Esox_lucius
ENSDCDP00000012066	ENSDCDG00000005795	Denticeps_clupeoides	ENSDCDT00000014399
ENSCHAP00000031451	ENSCHAG00000014696	Clupea_harengus	ENSCHAT00000034100
ENSIPUP00000017682	ENSIPUG00000011968	Ictalurus_punctatus	ENSIPUT00000018433
ENSEEEP00000033329	ENSEEEG00000015840	Electrophorus_electricus	ENSEEET00000033723
ENSAMXP00000054772	ENSAMXG00000032872	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000042545
ENSAMXP00005022673	ENSAMXG00005011687	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031675	ENSPNAG00000019158	Pygocentrus_nattereri
ENSDARP00000106290	ENSDARG00000010758	Danio_rerio
ENSPKIP00000030297	ENSPKIG00000011153	Paramormyrops_kingsleyae
ENSSFOP00015009885	ENSSFOG00015006406	Scleropages_formosus
ENSLOCP00000018023	ENSLOCG00000014633	Lepisosteus_oculatus
ENSECRP00000000120	ENSECRG00000000083	Erpetoichthys_calabaricus
