ENSPEMP00000005537	ENSPEMG00000007983	Peromyscus_maniculatus_bairdii
ENSUAMP00000035714	ENSUAMG00000027112	Ursus_americanus
ENSMUGP00000015815	ENSMUGG00000013582	Meriones_unguiculatus
ENSMEUP00000005076	ENSMEUG00000005562	Notamacropus_eugenii	ENSMEUT00000005570
ENSRROP00000011518	ENSRROG00000030100	Rhinopithecus_roxellana
ENSTSYP00000006674	ENSTSYG00000007307	Carlito_syrichta
ENSPCIP00000005022	ENSPCIG00000004161	Phascolarctos_cinereus	ENSPCIT00000006295
ENSRNOP00000014457	ENSRNOG00000010811	Rattus_norvegicus
ENSNVIP00000009918	ENSNVIG00000007843	Neovison_vison
ENSCGRP00015006872	ENSCGRG00015005325	Cricetulus_griseus_CriGri-PICR
ENSVVUP00000026645	ENSVVUG00000019572	Vulpes_vulpes
ENSCLAP00000004031	ENSCLAG00000002878	Chinchilla_lanigera
ENSPANP00000001573	ENSPANG00000004602	Papio_anubis
ENSCATP00000023494	ENSCATG00000035302	Cercocebus_atys
ENSODEP00000004373	ENSODEG00000003342	Octodon_degus
ENSFCAP00000056431	ENSFCAG00000050644	Felis_catus
MGP_SPRETEiJ_P0041512	MGP_SPRETEiJ_G0021130	Mus_spretus_strain_SPRET/EiJ
ENSDNOP00000014634	ENSDNOG00000018853	Dasypus_novemcinctus
ENSJJAP00000006748	ENSJJAG00000011329	Jaculus_jaculus
ENSBBBP00000027937	ENSBBBG00000024432	Bison_bison_bison
ENSOPRP00000011798	ENSOPRG00000012936	Ochotona_princeps
ENSOARP00000020650	ENSOARG00000019223	Ovis_aries	ENSOART00000020933
ENSSTOP00000029347	ENSSTOG00000033863	Ictidomys_tridecemlineatus
ENSCPOP00000019835	ENSCPOG00000027342	Cavia_porcellus
ENSLAFP00000011887	ENSLAFG00000014199	Loxodonta_africana
ENSSDAP00000017201	ENSSDAG00000015582	Spermophilus_dauricus
ENSMODP00000041366	ENSMODG00000021150	Monodelphis_domestica	ENSMODT00000059087
ENSCSAP00000002555	ENSCSAG00000006263	Chlorocebus_sabaeus
ENSCHIP00000024154	ENSCHIG00000021449	Capra_hircus	ENSCHIT00000032014
ENSSHAP00000001562	ENSSHAG00000001392	Sarcophilus_harrisii	ENSSHAT00000001579
ENSCCAP00000014927	ENSCCAG00000025269	Cebus_capucinus_imitator
ENSNGAP00000019641	ENSNGAG00000019393	Nannospalax_galili
ENSETEP00000002456	ENSETEG00000002995	Echinops_telfairi
ENSNLEP00000021723	ENSNLEG00000017877	Nomascus_leucogenys
ENSEASP00005000289	ENSEASG00005000118	Equus_asinus_asinus
ENSPCAP00000010016	ENSPCAG00000010779	Procavia_capensis
ENSMUGP00000015903	ENSMUGG00000013656	Meriones_unguiculatus
ENSCCNP00000012002	ENSCCNG00000012471	Castor_canadensis
ENSMSIP00000000456	ENSMSIG00000000500	Mus_spicilegus
ENSRBIP00000001459	ENSRBIG00000007431	Rhinopithecus_bieti
ENSMICP00000019945	ENSMICG00000027875	Microcebus_murinus
ENSSBOP00000035281	ENSSBOG00000033801	Saimiri_boliviensis_boliviensis
ENSTGEP00000000081	ENSTGEG00000000108	Theropithecus_gelada
ENSCANP00000038904	ENSCANG00000043127	Colobus_angolensis_palliatus
ENSPTRP00000008347	ENSPTRG00000004881	Pan_troglodytes
MGP_CAROLIEiJ_P0039679	MGP_CAROLIEiJ_G0020233	Mus_caroli_strain_CAROLI_EIJ
ENSMAUP00000013444	ENSMAUG00000013490	Mesocricetus_auratus
ENSCGRP00000000163	ENSCGRG00000000174	Cricetulus_griseus_CriGri_1.0
ENSPCOP00000013948	ENSPCOG00000018633	Propithecus_coquereli
ENSOPRP00000006887	ENSOPRG00000007532	Ochotona_princeps
ENSMMUP00000000385	ENSMMUG00000000283	Macaca_mulatta
ENSMMMP00000026138	ENSMMMG00000022893	Marmota_marmota_marmota
ENSMUSP00000023726	ENSMUSG00000022991	Mus_musculus_strain_reference_(CL57BL6)
ENSPPRP00000011101	ENSPPRG00000005035	Panthera_pardus
ENSVURP00010007875	ENSVURG00010006084	Vombatus_ursinus	ENSVURT00010008928
ENSHGLP00000005902	ENSHGLG00000004311	Heterocephalus_glaber_HetGla_female_1.0
ENSPVAP00000016929	ENSPVAG00000017943	Pteropus_vampyrus
ENSP00000301046	ENSG00000167531	Homo_sapiens
ENSCAFP00000013149	ENSCAFG00000008950	Canis_lupus_familiaris
ENSPTIP00000018494	ENSPTIG00000016605	Panthera_tigris_altaica
ENSCAFP00020016628	ENSCAFG00020013310	Canis_lupus_dingo
ENSFDAP00000023114	ENSFDAG00000021341	Fukomys_damarensis
ENSMFAP00000033676	ENSMFAG00000003340	Macaca_fascicularis
ENSCAPP00000004964	ENSCAPG00000007401	Cavia_aperea
ENSCJAP00000038560	ENSCJAG00000020732	Callithrix_jacchus
ENSOGAP00000018266	ENSOGAG00000028012	Otolemur_garnettii
ENSDORP00000009249	ENSDORG00000009838	Dipodomys_ordii
ENSSARP00000010825	ENSSARG00000011994	Sorex_araneus
ENSAMEP00000007751	ENSAMEG00000007352	Ailuropoda_melanoleuca
ENSANAP00000019066	ENSANAG00000027355	Aotus_nancymaae
ENSCHOP00000000336	ENSCHOG00000000383	Choloepus_hoffmanni
ENSOCUP00000024236	ENSOCUG00000015834	Oryctolagus_cuniculus
ENSGGOP00000025397	ENSGGOG00000025788	Gorilla_gorilla
ENSTTRP00000016184	ENSTTRG00000017071	Tursiops_truncatus
ENSBMUP00000030496	ENSBMUG00000022803	Bos_mutus
ENSSSCP00000024183	ENSSSCG00000024573	Sus_scrofa_strain_reference
ENSECAP00000001776	ENSECAG00000001401	Equus_caballus
ENSMOCP00000021230	ENSMOCG00000018652	Microtus_ochrogaster
ENSMPUP00000014825	ENSMPUG00000014936	Mustela_putorius_furo
ENSUMAP00000008428	ENSUMAG00000006409	Ursus_maritimus
ENSBTAP00000060771	ENSBTAG00000005859	Bos_taurus	ENSBTAT00000066421
ENSBIXP00005038829	ENSBIXG00005003554	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPSMP00000008544	ENSPSMG00000006288	Prolemur_simus
ENSCGRP00001003553	ENSCGRG00001004333	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPYP00000005095	ENSPPYG00000004463	Pongo_abelii
ENSMLUP00000009932	ENSMLUG00000010895	Myotis_lucifugus
ENSMNEP00000021217	ENSMNEG00000034387	Macaca_nemestrina
ENSPPAP00000014726	ENSPPAG00000030532	Pan_paniscus
MGP_PahariEiJ_P0043030	MGP_PahariEiJ_G0020236	Mus_pahari_strain_PAHARI_EIJ
ENSPTEP00000010095	ENSPTEG00000011471	Piliocolobus_tephrosceles
ENSMLEP00000020238	ENSMLEG00000034337	Mandrillus_leucophaeus
ENSUPAP00010010857	ENSUPAG00010008774	Urocitellus_parryii
ENSMLEP00000019449	ENSMLEG00000033939	Mandrillus_leucophaeus
ENSHGLP00100023859	ENSHGLG00100017519	Heterocephalus_glaber_HetGla_1.0
ENSBIXP00000038053	ENSBIXG00000021721	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTBEP00000014313	ENSTBEG00000016481	Tupaia_belangeri
