ENSPCIP00000038296	ENSPCIG00000027965	Phascolarctos_cinereus
ENSVURP00010011788	ENSVURG00010009114	Vombatus_ursinus
ENSMEUP00000009323	ENSMEUG00000010170	Notamacropus_eugenii
ENSSHAP00000014834	ENSSHAG00000012663	Sarcophilus_harrisii
ENSMODP00000005545	ENSMODG00000004495	Monodelphis_domestica
ENSOANP00000020317	ENSOANG00000012843	Ornithorhynchus_anatinus
ENSOANP00000005977	ENSOANG00000003765	Ornithorhynchus_anatinus
ENSOANP00000005978	ENSOANG00000003768	Ornithorhynchus_anatinus
ENSPVIP00000026517	ENSPVIG00000001961	Pogona_vitticeps
ENSACAP00000010080	ENSACAG00000009987	Anolis_carolinensis
ENSNSUP00000008409	ENSNSUG00000006516	Notechis_scutatus
ENSSMRP00000023031	ENSSMRG00000017870	Salvator_merianae
ENSSPUP00000003576	ENSSPUG00000002645	Sphenodon_punctatus
ENSABRP00000015192	ENSABRG00000010195	Anser_brachyrhynchus
ENSAPLP00000026290	ENSAPLG00000016350	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000017527	ENSMGAG00000017227	Meleagris_gallopavo
ENSMGAP00000014513	ENSMGAG00000010046	Meleagris_gallopavo
ENSGALP00000072224	ENSGALG00000008294	Gallus_gallus
ENSCJPP00005026201	ENSCJPG00005018726	Coturnix_japonica
ENSNMEP00000007480	ENSNMEG00000004674	Numida_meleagris
ENSCPGP00000005601	ENSCPGG00000004031	Calidris_pygmaea
ENSCPUP00000028101	ENSCPUG00000018909	Calidris_pugnax
ENSMVIP00005023697	ENSMVIG00005014094	Manacus_vitellinus
ENSLCOP00000021666	ENSLCOG00000014138	Lepidothrix_coronata
ENSTGUP00000015378	ENSTGUG00000015030	Taeniopygia_guttata
ENSTGUP00000010616	ENSTGUG00000010241	Taeniopygia_guttata
ENSLSDP00000024251	ENSLSDG00000017020	Lonchura_striata_domestica
ENSSCAP00000022141	ENSSCAG00000013652	Serinus_canaria
ENSJHYP00000024301	ENSJHYG00000017161	Junco_hyemalis
ENSZALP00000006976	ENSZALG00000004698	Zonotrichia_albicollis
ENSFALP00000014156	ENSFALG00000013566	Ficedula_albicollis
ENSPMJP00000006970	ENSPMJG00000005801	Parus_major
ENSCCEP00000019703	ENSCCEG00000007850	Cyanistes_caeruleus
ENSMUNP00000020585	ENSMUNG00000015646	Melopsittacus_undulatus
ENSAOWP00000026266	ENSAOWG00000012075	Apteryx_owenii
ENSAHAP00000027937	ENSAHAG00000018985	Apteryx_haastii
ENSARWP00000027666	ENSARWG00000016717	Apteryx_rowi
ENSDNVP00000021015	ENSDNVG00000014666	Dromaius_novaehollandiae
ENSNPEP00000015968	ENSNPEG00000011896	Nothoprocta_perdicaria
ENSCPRP00005021715	ENSCPRG00005013420	Crocodylus_porosus
ENSGAGP00000003047	ENSGAGG00000002436	Gopherus_agassizii
ENSCABP00000023789	ENSCABG00000017505	Chelonoidis_abingdonii
ENSCPBP00000021664	ENSCPBG00000015066	Chrysemys_picta_bellii
