ENSMEUP00000008980	ENSMEUG00000009832	Notamacropus_eugenii
ENSVURP00010021016	ENSVURG00010013600	Vombatus_ursinus
ENSPCIP00000001043	ENSPCIG00000000677	Phascolarctos_cinereus
ENSSHAP00000000404	ENSSHAG00000000356	Sarcophilus_harrisii
ENSSHAP00000005397	ENSSHAG00000004716	Sarcophilus_harrisii
ENSMODP00000039165	ENSMODG00000027724	Monodelphis_domestica
ENSOANP00000010945	ENSOANG00000006869	Ornithorhynchus_anatinus
ENSSARP00000008413	ENSSARG00000009281	Sorex_araneus
ENSMLUP00000016015	ENSMLUG00000017561	Myotis_lucifugus
ENSTBEP00000006920	ENSTBEG00000007986	Tupaia_belangeri
ENSOANP00000002253	ENSOANG00000001423	Ornithorhynchus_anatinus
ENSMICP00000008199	ENSMICG00000008990	Microcebus_murinus
ENSPCOP00000028408	ENSPCOG00000026829	Propithecus_coquereli
ENSPSMP00000015674	ENSPSMG00000011147	Prolemur_simus
ENSOGAP00000008750	ENSOGAG00000009782	Otolemur_garnettii
ENSPPAP00000042077	ENSPPAG00000043631	Pan_paniscus
ENSPPAP00000006220	ENSPPAG00000024640	Pan_paniscus
ENSPTRP00000072252	ENSPTRG00000019087	Pan_troglodytes
ENSP00000312185	ENSG00000155849	Homo_sapiens
ENSGGOP00000016539	ENSGGOG00000016941	Gorilla_gorilla
ENSPPYP00000019761	ENSPPYG00000017632	Pongo_abelii
ENSNLEP00000003075	ENSNLEG00000002372	Nomascus_leucogenys
ENSPANP00000007620	ENSPANG00000022520	Papio_anubis
ENSTGEP00000019037	ENSTGEG00000015321	Theropithecus_gelada
ENSCATP00000034786	ENSCATG00000040289	Cercocebus_atys
ENSMFAP00000004883	ENSMFAG00000002088	Macaca_fascicularis
ENSMMUP00000030417	ENSMMUG00000023104	Macaca_mulatta
ENSMNEP00000001855	ENSMNEG00000008396	Macaca_nemestrina
ENSMLEP00000021058	ENSMLEG00000034706	Mandrillus_leucophaeus
ENSCSAP00000011154	ENSCSAG00000015053	Chlorocebus_sabaeus
ENSCANP00000014739	ENSCANG00000030799	Colobus_angolensis_palliatus
ENSPTEP00000039402	ENSPTEG00000036456	Piliocolobus_tephrosceles
ENSRBIP00000001797	ENSRBIG00000008551	Rhinopithecus_bieti
ENSRROP00000036525	ENSRROG00000041696	Rhinopithecus_roxellana
ENSCCAP00000021570	ENSCCAG00000028600	Cebus_capucinus_imitator
ENSCJAP00000022958	ENSCJAG00000012484	Callithrix_jacchus
ENSSBOP00000027322	ENSSBOG00000030050	Saimiri_boliviensis_boliviensis
ENSANAP00000013879	ENSANAG00000024845	Aotus_nancymaae
ENSTSYP00000024830	ENSTSYG00000028643	Carlito_syrichta
ENSOPRP00000008203	ENSOPRG00000008933	Ochotona_princeps
ENSCCNP00000009307	ENSCCNG00000009828	Castor_canadensis
ENSOCUP00000002853	ENSOCUG00000003285	Oryctolagus_cuniculus
MGP_SPRETEiJ_P0035327	MGP_SPRETEiJ_G0019114	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000021302	ENSMSIG00000018089	Mus_spicilegus
ENSMUSP00000072334	ENSMUSG00000041112	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0033763	MGP_CAROLIEiJ_G0018258	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040361	MGP_PahariEiJ_G0019308	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073656	ENSRNOG00000059705	Rattus_norvegicus
ENSMUGP00000023432	ENSMUGG00000019567	Meriones_unguiculatus
ENSCGRP00000001530	ENSCGRG00000001164	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001019683	ENSCGRG00001019058	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015010979	ENSCGRG00015008400	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024100	ENSMAUG00000021051	Mesocricetus_auratus
