ENSABRP00000017856	ENSABRG00000015441	Anser_brachyrhynchus
ENSAPLP00000032425	ENSAPLG00000018780	Anas_platyrhynchos_platyrhynchos
ENSMVIP00005015654	ENSMVIG00005011249	Manacus_vitellinus
ENSLCOP00000012099	ENSLCOG00000008772	Lepidothrix_coronata
ENSMUNP00000012983	ENSMUNG00000010151	Melopsittacus_undulatus
ENSCPGP00000010462	ENSCPGG00000007454	Calidris_pygmaea
ENSLSDP00000014961	ENSLSDG00000010779	Lonchura_striata_domestica
ENSTGUP00000011844	ENSTGUG00000011494	Taeniopygia_guttata
ENSSCAP00000018209	ENSSCAG00000013183	Serinus_canaria
ENSJHYP00000004291	ENSJHYG00000003566	Junco_hyemalis
ENSZALP00000007632	ENSZALG00000006761	Zonotrichia_albicollis
ENSPMJP00000020214	ENSPMJG00000015057	Parus_major
ENSCCEP00000015059	ENSCCEG00000014299	Cyanistes_caeruleus
ENSFALP00000015761	ENSFALG00000015146	Ficedula_albicollis
ENSCPUP00000010733	ENSCPUG00000007624	Calidris_pugnax
ENSAHAP00000017628	ENSAHAG00000012521	Apteryx_haastii
ENSAOWP00000025254	ENSAOWG00000017082	Apteryx_owenii
ENSDNVP00000002131	ENSDNVG00000001552	Dromaius_novaehollandiae
ENSGALP00000058009	ENSGALG00000039228	Gallus_gallus
ENSCJPP00005021954	ENSCJPG00005017519	Coturnix_japonica
ENSNMEP00000023617	ENSNMEG00000020123	Numida_meleagris
ENSNPEP00000011126	ENSNPEG00000008356	Nothoprocta_perdicaria
ENSCABP00000023048	ENSCABG00000016972	Chelonoidis_abingdonii
ENSGAGP00000009260	ENSGAGG00000007315	Gopherus_agassizii
ENSCPBP00000030561	ENSCPBG00000021516	Chrysemys_picta_bellii
ENSPSIP00000008952	ENSPSIG00000008151	Pelodiscus_sinensis
ENSCPRP00005025361	ENSCPRG00005017588	Crocodylus_porosus
ENSPVIP00000016756	ENSPVIG00000012936	Pogona_vitticeps
ENSNSUP00000024473	ENSNSUG00000017673	Notechis_scutatus
ENSSMRP00000012231	ENSSMRG00000009565	Salvator_merianae
ENSSPUP00000002641	ENSSPUG00000002037	Sphenodon_punctatus
ENSOCUP00000016699	ENSOCUG00000003168	Oryctolagus_cuniculus
ENSOPRP00000005500	ENSOPRG00000005990	Ochotona_princeps
ENSTSYP00000033292	ENSTSYG00000034276	Carlito_syrichta
ENSMUSP00000021552	ENSMUSG00000021127	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0034163	MGP_SPRETEiJ_G0018738	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0032655	MGP_CAROLIEiJ_G0017893	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000002015	ENSMSIG00000001938	Mus_spicilegus
MGP_PahariEiJ_P0082765	MGP_PahariEiJ_G0029649	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075412	ENSRNOG00000058646	Rattus_norvegicus
ENSMUGP00000028950	ENSMUGG00000023970	Meriones_unguiculatus
ENSCGRP00015037418	ENSCGRG00015028028	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008685	ENSCGRG00001010926	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010536	ENSCGRG00000007735	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000022734	ENSMAUG00000020087	Mesocricetus_auratus
ENSMOCP00000003983	ENSMOCG00000003189	Microtus_ochrogaster
ENSPEMP00000010350	ENSPEMG00000011361	Peromyscus_maniculatus_bairdii
ENSNGAP00000026854	ENSNGAG00000024367	Nannospalax_galili
ENSJJAP00000014905	ENSJJAG00000017247	Jaculus_jaculus
ENSDORP00000016057	ENSDORG00000029853	Dipodomys_ordii
ENSOCUP00000037215	ENSOCUG00000028099	Oryctolagus_cuniculus
ENSPCOP00000021052	ENSPCOG00000022518	Propithecus_coquereli
ENSPSMP00000015879	ENSPSMG00000011302	Prolemur_simus
ENSMICP00000036424	ENSMICG00000037296	Microcebus_murinus
ENSOGAP00000008964	ENSOGAG00000010033	Otolemur_garnettii
ENSPTRP00000061442	ENSPTRG00000051193	Pan_troglodytes
ENSPPAP00000008436	ENSPPAG00000027452	Pan_paniscus
ENSP00000388402	ENSG00000185650	Homo_sapiens
ENSGGOP00000034936	ENSGGOG00000041615	Gorilla_gorilla
ENSPPYP00000006744	ENSPPYG00000005933	Pongo_abelii
ENSNLEP00000001225	ENSNLEG00000001046	Nomascus_leucogenys
ENSCSAP00000009290	ENSCSAG00000013114	Chlorocebus_sabaeus
ENSCANP00000016150	ENSCANG00000031505	Colobus_angolensis_palliatus
ENSRROP00000034070	ENSRROG00000040595	Rhinopithecus_roxellana
ENSRBIP00000033500	ENSRBIG00000040496	Rhinopithecus_bieti
ENSPTEP00000036379	ENSPTEG00000034180	Piliocolobus_tephrosceles
ENSMFAP00000020290	ENSMFAG00000033125	Macaca_fascicularis
ENSMMUP00000047605	ENSMMUG00000044603	Macaca_mulatta
ENSMNEP00000017213	ENSMNEG00000032614	Macaca_nemestrina
ENSPANP00000017136	ENSPANG00000009731	Papio_anubis
ENSTGEP00000023497	ENSTGEG00000019021	Theropithecus_gelada
ENSMLEP00000040462	ENSMLEG00000044247	Mandrillus_leucophaeus
ENSCATP00000041697	ENSCATG00000043529	Cercocebus_atys
ENSSBOP00000018085	ENSSBOG00000025671	Saimiri_boliviensis_boliviensis
ENSCJAP00000074036	ENSCJAG00000067422	Callithrix_jacchus
ENSCCAP00000001169	ENSCCAG00000007439	Cebus_capucinus_imitator
ENSANAP00000039478	ENSANAG00000037142	Aotus_nancymaae
ENSSTOP00000008745	ENSSTOG00000009758	Ictidomys_tridecemlineatus
ENSMMMP00000000490	ENSMMMG00000000485	Marmota_marmota_marmota
ENSUPAP00010015403	ENSUPAG00010012336	Urocitellus_parryii
ENSCCNP00000019092	ENSCCNG00000019234	Castor_canadensis
ENSHGLP00000023126	ENSHGLG00000016491	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024733	ENSHGLG00100018163	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006093	ENSFDAG00000014938	Fukomys_damarensis
ENSCPOP00000028707	ENSCPOG00000040127	Cavia_porcellus
ENSCAPP00000003145	ENSCAPG00000005988	Cavia_aperea
ENSODEP00000019199	ENSODEG00000014162	Octodon_degus
ENSCLAP00000005206	ENSCLAG00000003695	Chinchilla_lanigera
ENSTTRP00000003257	ENSTTRG00000003475	Tursiops_truncatus
ENSSSCP00000060036	ENSSSCG00000028304	Sus_scrofa_strain_reference
ENSBIXP00000020538	ENSBIXG00000023844	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000977	ENSBIXG00005029639	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000016850	ENSBMUG00000012776	Bos_mutus
ENSBTAP00000035611	ENSBTAG00000025434	Bos_taurus
ENSCHIP00000026339	ENSCHIG00000022716	Capra_hircus
ENSOARP00000022763	ENSOARG00000021177	Ovis_aries
ENSPVAP00000011017	ENSPVAG00000011686	Pteropus_vampyrus
ENSUMAP00000013753	ENSUMAG00000010126	Ursus_maritimus
ENSUAMP00000013365	ENSUAMG00000010751	Ursus_americanus
ENSAMEP00000015128	ENSAMEG00000014353	Ailuropoda_melanoleuca
ENSCAFP00020007344	ENSCAFG00020005951	Canis_lupus_dingo
ENSCAFP00000024272	ENSCAFG00000016497	Canis_lupus_familiaris
ENSVVUP00000004531	ENSVVUG00000003551	Vulpes_vulpes
ENSNVIP00000012135	ENSNVIG00000009632	Neovison_vison
ENSMPUP00000007225	ENSMPUG00000007282	Mustela_putorius_furo
ENSPPRP00000024891	ENSPPRG00000015094	Panthera_pardus
ENSPTIP00000022298	ENSPTIG00000019155	Panthera_tigris_altaica
ENSFCAP00000023831	ENSFCAG00000026617	Felis_catus
ENSECAP00000016390	ENSECAG00000018860	Equus_caballus
ENSEASP00005012551	ENSEASG00005008760	Equus_asinus_asinus
ENSLAFP00000026015	ENSLAFG00000028594	Loxodonta_africana
ENSPCAP00000004972	ENSPCAG00000005383	Procavia_capensis
ENSDNOP00000003991	ENSDNOG00000005159	Dasypus_novemcinctus
ENSVURP00010030553	ENSVURG00010023363	Vombatus_ursinus
ENSPCIP00000051178	ENSPCIG00000019895	Phascolarctos_cinereus
ENSMEUP00000002797	ENSMEUG00000003070	Notamacropus_eugenii
ENSSHAP00000013630	ENSSHAG00000011647	Sarcophilus_harrisii
ENSMODP00000012674	ENSMODG00000010122	Monodelphis_domestica
ENSXETP00000035565	ENSXETG00000014095	Xenopus_tropicalis
ENSLACP00000022123	ENSLACG00000015967	Latimeria_chalumnae
ENSHHUP00000056033	ENSHHUG00000033471	Hucho_hucho
ENSHHUP00000052709	ENSHHUG00000031678	Hucho_hucho
ENSELUP00000007959	ENSELUG00000008675	Esox_lucius
