C08B11.3a.1	WBGene00007433	Caenorhabditis_elegans_strain_N2
FBpp0085442	FBgn0042085	Drosophila_melanogaster
ENSCINP00000021703	ENSCING00000011332	Ciona_intestinalis
ENSCINP00000013909	ENSCING00000006777	Ciona_intestinalis
ENSSPUP00000011684	ENSSPUG00000008963	Sphenodon_punctatus
ENSSPUP00000011696	ENSSPUG00000008974	Sphenodon_punctatus
ENSNSUP00000009116	ENSNSUG00000006971	Notechis_scutatus
ENSNSUP00000009119	ENSNSUG00000006972	Notechis_scutatus
ENSPVIP00000012471	ENSPVIG00000009728	Pogona_vitticeps
ENSACAP00000002345	ENSACAG00000002402	Anolis_carolinensis
ENSSMRP00000020663	ENSSMRG00000016073	Salvator_merianae
ENSDNVP00000011767	ENSDNVG00000008292	Dromaius_novaehollandiae
ENSNPEP00000006265	ENSNPEG00000004739	Nothoprocta_perdicaria
ENSPMJP00000014538	ENSPMJG00000011036	Parus_major
ENSCCEP00000009089	ENSCCEG00000009276	Cyanistes_caeruleus
ENSFALP00000010594	ENSFALG00000010156	Ficedula_albicollis
ENSTGUP00000006250	ENSTGUG00000006070	Taeniopygia_guttata
ENSTGUP00000017196	ENSTGUG00000016913	Taeniopygia_guttata
ENSLSDP00000022749	ENSLSDG00000016062	Lonchura_striata_domestica
ENSSCAP00000000201	ENSSCAG00000000185	Serinus_canaria
ENSZALP00000011539	ENSZALG00000009728	Zonotrichia_albicollis
ENSJHYP00000022847	ENSJHYG00000017227	Junco_hyemalis
ENSLCOP00000020473	ENSLCOG00000014503	Lepidothrix_coronata
ENSMVIP00005007610	ENSMVIG00005005684	Manacus_vitellinus
ENSMUNP00000020891	ENSMUNG00000015853	Melopsittacus_undulatus
ENSCPUP00000006951	ENSCPUG00000005024	Calidris_pugnax
ENSCPGP00000028385	ENSCPGG00000019513	Calidris_pygmaea
ENSAPLP00000010331	ENSAPLG00000010567	Anas_platyrhynchos_platyrhynchos
ENSABRP00000005269	ENSABRG00000004894	Anser_brachyrhynchus
ENSGALP00000053887	ENSGALG00000033074	Gallus_gallus
ENSMGAP00000009999	ENSMGAG00000009656	Meleagris_gallopavo
ENSCJPP00005016318	ENSCJPG00005013421	Coturnix_japonica
ENSNMEP00000012750	ENSNMEG00000011731	Numida_meleagris
ENSAHAP00000005801	ENSAHAG00000004180	Apteryx_haastii	ENSAHAT00000006488
ENSAOWP00000019757	ENSAOWG00000013386	Apteryx_owenii	ENSAOWT00000022381
ENSARWP00000010216	ENSARWG00000007111	Apteryx_rowi	ENSARWT00000011636
ENSNPEP00000006257	ENSNPEG00000004711	Nothoprocta_perdicaria	ENSNPET00000006413
ENSDNVP00000011757	ENSDNVG00000008255	Dromaius_novaehollandiae	ENSDNVT00000014158
ENSCPRP00005012041	ENSCPRG00005008355	Crocodylus_porosus
ENSCABP00000030292	ENSCABG00000022188	Chelonoidis_abingdonii
ENSCABP00000030293	ENSCABG00000022189	Chelonoidis_abingdonii
ENSGAGP00000029408	ENSGAGG00000021259	Gopherus_agassizii
ENSCPBP00000021343	ENSCPBG00000015339	Chrysemys_picta_bellii
ENSPSIP00000007371	ENSPSIG00000006686	Pelodiscus_sinensis
ENSOANP00000017166	ENSOANG00000010834	Ornithorhynchus_anatinus
ENSOANP00000032804	ENSOANG00000029320	Ornithorhynchus_anatinus
ENSSHAP00000012124	ENSSHAG00000010388	Sarcophilus_harrisii
ENSSHAP00000012516	ENSSHAG00000010716	Sarcophilus_harrisii
ENSVURP00010011301	ENSVURG00010008698	Vombatus_ursinus
ENSPCIP00000030366	ENSPCIG00000022575	Phascolarctos_cinereus
ENSMEUP00000012376	ENSMEUG00000013553	Notamacropus_eugenii
ENSMODP00000058088	ENSMODG00000018527	Monodelphis_domestica
ENSPTEP00000014774	ENSPTEG00000016454	Piliocolobus_tephrosceles
ENSCANP00000038007	ENSCANG00000042678	Colobus_angolensis_palliatus
ENSCATP00000034531	ENSCATG00000040163	Cercocebus_atys
ENSMLEP00000009545	ENSMLEG00000028920	Mandrillus_leucophaeus
ENSTGEP00000028517	ENSTGEG00000022956	Theropithecus_gelada
ENSPANP00000045615	ENSPANG00000015334	Papio_anubis
ENSMNEP00000018569	ENSMNEG00000033155	Macaca_nemestrina
ENSMMUP00000020998	ENSMMUG00000015962	Macaca_mulatta
ENSCSAP00000003035	ENSCSAG00000006749	Chlorocebus_sabaeus
ENSPPAP00000041969	ENSPPAG00000043567	Pan_paniscus
ENSPTRP00000008299	ENSPTRG00000004853	Pan_troglodytes
ENSP00000335044	ENSG00000189079	Homo_sapiens
ENSGGOP00000013569	ENSGGOG00000013896	Gorilla_gorilla
ENSPPYP00000005060	ENSPPYG00000004433	Pongo_abelii
ENSMFAP00000038744	ENSMFAG00000038693	Macaca_fascicularis
ENSNLEP00000041947	ENSNLEG00000017919	Nomascus_leucogenys
ENSRBIP00000035575	ENSRBIG00000041418	Rhinopithecus_bieti
ENSRROP00000034507	ENSRROG00000040801	Rhinopithecus_roxellana
ENSCCAP00000023624	ENSCCAG00000029546	Cebus_capucinus_imitator
ENSSBOP00000027166	ENSSBOG00000029953	Saimiri_boliviensis_boliviensis
ENSCJAP00000024129	ENSCJAG00000013099	Callithrix_jacchus
ENSANAP00000036039	ENSANAG00000035486	Aotus_nancymaae
ENSTSYP00000007502	ENSTSYG00000008152	Carlito_syrichta
ENSPSMP00000012812	ENSPSMG00000009214	Prolemur_simus
ENSMICP00000001356	ENSMICG00000001487	Microcebus_murinus
ENSPCOP00000003269	ENSPCOG00000009815	Propithecus_coquereli
ENSOGAP00000020184	ENSOGAG00000024418	Otolemur_garnettii
ENSTBEP00000001972	ENSTBEG00000002221	Tupaia_belangeri
ENSCCNP00000012572	ENSCCNG00000013056	Castor_canadensis
ENSDORP00000011540	ENSDORG00000012273	Dipodomys_ordii
ENSJJAP00000002000	ENSJJAG00000003064	Jaculus_jaculus
ENSJJAP00000019526	ENSJJAG00000020460	Jaculus_jaculus
ENSNGAP00000008923	ENSNGAG00000011742	Nannospalax_galili
ENSNGAP00000005574	ENSNGAG00000007967	Nannospalax_galili
ENSMOCP00000017498	ENSMOCG00000016077	Microtus_ochrogaster
ENSMOCP00000023177	ENSMOCG00000019972	Microtus_ochrogaster
ENSPEMP00000015248	ENSPEMG00000014806	Peromyscus_maniculatus_bairdii
ENSCGRP00001003403	ENSCGRG00001004106	Cricetulus_griseus_CHOK1GS_HDv1
