ENSMUGP00000010740	ENSMUGG00000009424	Meriones_unguiculatus
ENSGACP00000007370	ENSGACG00000005578	Gasterosteus_aculeatus
ENSPSIP00000006344	ENSPSIG00000005877	Pelodiscus_sinensis
ENSACLP00000031447	ENSACLG00000021342	Astatotilapia_calliptera
ENSOGAP00000016736	ENSOGAG00000031288	Otolemur_garnettii
ENSBMUP00000022028	ENSBMUG00000016583	Bos_mutus
ENSAHAP00000020409	ENSAHAG00000014372	Apteryx_haastii
ENSPRNP00000031255	ENSPRNG00000015679	Parambassis_ranga
ENSCSEP00000031606	ENSCSEG00000020249	Cynoglossus_semilaevis
ENSPNAP00000015373	ENSPNAG00000021388	Pygocentrus_nattereri
ENSEEEP00000005071	ENSEEEG00000002643	Electrophorus_electricus
ENSPTRP00000015059	ENSPTRG00000008832	Pan_troglodytes
ENSSTOP00000027454	ENSSTOG00000004800	Ictidomys_tridecemlineatus
ENSP00000255389	ENSG00000133027	Homo_sapiens
ENSZALP00000009897	ENSZALG00000008434	Zonotrichia_albicollis
ENSPKIP00000010363	ENSPKIG00000025104	Paramormyrops_kingsleyae
ENSCLAP00000000417	ENSCLAG00000000348	Chinchilla_lanigera
ENSCCEP00000025592	ENSCCEG00000022567	Cyanistes_caeruleus
ENSMODP00000005884	ENSMODG00000004778	Monodelphis_domestica
ENSRBIP00000018541	ENSRBIG00000033264	Rhinopithecus_bieti
ENSSMAP00000008349	ENSSMAG00000005158	Scophthalmus_maximus
ENSSLDP00000024881	ENSSLDG00000019376	Seriola_lalandi_dorsalis
ENSATEP00000001656	ENSATEG00000001202	Anabas_testudineus
ENSMUNP00000010853	ENSMUNG00000008522	Melopsittacus_undulatus
ENSPMJP00000023610	ENSPMJG00000017428	Parus_major
ENSCAFP00020026609	ENSCAFG00020020910	Canis_lupus_dingo
MGP_PahariEiJ_P0033736	MGP_PahariEiJ_G0017579	Mus_pahari_strain_PAHARI_EIJ
ENSBSLP00000046245	ENSBSLG00000022095	Betta_splendens
ENSGWIP00000043549	ENSGWIG00000021764	Gouania_willdenowi
ENSCATP00000026773	ENSCATG00000036791	Cercocebus_atys
ENSMVIP00005021522	ENSMVIG00005015129	Manacus_vitellinus
ENSTNIP00000010213	ENSTNIG00000007407	Tetraodon_nigroviridis
ENSSARP00000003969	ENSSARG00000004384	Sorex_araneus
ENSXMAP00000017295	ENSXMAG00000017263	Xiphophorus_maculatus
ENSHHUP00000022253	ENSHHUG00000013927	Hucho_hucho
ENSNBRP00000019314	ENSNBRG00000014806	Neolamprologus_brichardi
ENSCJPP00005001442	ENSCJPG00005001461	Coturnix_japonica
ENSTTRP00000014133	ENSTTRG00000014915	Tursiops_truncatus
ENSCANP00000020079	ENSCANG00000033471	Colobus_angolensis_palliatus
ENSARWP00000025646	ENSARWG00000017404	Apteryx_rowi
ENSMLUP00000003256	ENSMLUG00000003576	Myotis_lucifugus
ENSACIP00000026587	ENSACIG00000020587	Amphilophus_citrinellus
ENSABRP00000018103	ENSABRG00000015603	Anser_brachyrhynchus	ENSABRT00000025582
ENSCCAP00000023329	ENSCCAG00000029440	Cebus_capucinus_imitator
ENSXETP00000006974	ENSXETG00000008445	Xenopus_tropicalis
ENSMALP00000003117	ENSMALG00000002297	Monopterus_albus
ENSSHAP00000021194	ENSSHAG00000017965	Sarcophilus_harrisii
ENSVURP00010012841	ENSVURG00010009887	Vombatus_ursinus
ENSPFOP00000017925	ENSPFOG00000017830	Poecilia_formosa
ENSSDUP00000012146	ENSSDUG00000008850	Seriola_dumerili
ENSKMAP00000001525	ENSKMAG00000001216	Kryptolebias_marmoratus
ENSMAUP00000022736	ENSMAUG00000020085	Mesocricetus_auratus
ENSNMEP00000010040	ENSNMEG00000009603	Numida_meleagris
ENSMEUP00000014962	ENSMEUG00000016369	Notamacropus_eugenii
ENSCABP00000029532	ENSCABG00000021672	Chelonoidis_abingdonii
ENSMPUP00000000022	ENSMPUG00000000022	Mustela_putorius_furo
ENSPMGP00000005711	ENSPMGG00000004794	Periophthalmus_magnuspinnatus
ENSSBOP00000000745	ENSSBOG00000003338	Saimiri_boliviensis_boliviensis
ENSCPUP00000015204	ENSCPUG00000010595	Calidris_pugnax
YJR073C_mRNA	YJR073C	Saccharomyces_cerevisiae_strain_S288C
ENSSCAP00000011840	ENSSCAG00000008844	Serinus_canaria
ENSONIP00000024720	ENSONIG00000019636	Oreochromis_niloticus
ENSMZEP00005008696	ENSMZEG00005006622	Maylandia_zebra
ENSPCIP00000000881	ENSPCIG00000000675	Phascolarctos_cinereus
ENSPNYP00000007841	ENSPNYG00000006020	Pundamilia_nyererei
ENSUAMP00000006580	ENSUAMG00000005759	Ursus_americanus
ENSDNOP00000020644	ENSDNOG00000037074	Dasypus_novemcinctus
ENSMUSP00000099754	ENSMUSG00000000301	Mus_musculus_strain_reference_(CL57BL6)
ENSLBEP00000020955	ENSLBEG00000016106	Labrus_bergylta
ENSCMIP00000040778	ENSCMIG00000017000	Callorhinchus_milii
ENSCHAP00000005104	ENSCHAG00000003345	Clupea_harengus
ENSPCAP00000005587	ENSPCAG00000006030	Procavia_capensis
ENSGAFP00000003097	ENSGAFG00000002101	Gambusia_affinis
MGP_SPRETEiJ_P0028346	MGP_SPRETEiJ_G0017284	Mus_spretus_strain_SPRET/EiJ
ENSFALP00000014373	ENSFALG00000013773	Ficedula_albicollis
ENSMMOP00000006030	ENSMMOG00000004727	Mola_mola
ENSTSYP00000001552	ENSTSYG00000001683	Carlito_syrichta
ENSGAGP00000011588	ENSGAGG00000008949	Gopherus_agassizii
ENSCGOP00000039909	ENSCGOG00000018215	Cottoperca_gobio
ENSJJAP00000020075	ENSJJAG00000020863	Jaculus_jaculus
ENSTRUP00000043977	ENSTRUG00000017168	Takifugu_rubripes
ENSPCOP00000027569	ENSPCOG00000026302	Propithecus_coquereli
ENSCCNP00000006028	ENSCCNG00000006358	Castor_canadensis
ENSGMOP00000013698	ENSGMOG00000012798	Gadus_morhua
ENSELUP00000005461	ENSELUG00000006515	Esox_lucius
ENSBIXP00000006633	ENSBIXG00000012736	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNPEP00000019635	ENSNPEG00000014625	Nothoprocta_perdicaria
ENSBIXP00005031908	ENSBIXG00005012354	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRROP00000007368	ENSRROG00000027400	Rhinopithecus_roxellana
ENSTGUP00000007576	ENSTGUG00000007349	Taeniopygia_guttata
ENSPSMP00000016248	ENSPSMG00000011564	Prolemur_simus
