ENSNPEP00000016640	ENSNPEG00000012385	Nothoprocta_perdicaria
ENSSMRP00000018444	ENSSMRG00000014344	Salvator_merianae	ENSSMRT00000021605
ENSSPUP00000021316	ENSSPUG00000016323	Sphenodon_punctatus	ENSSPUT00000022727
ENSORLP00000017786	ENSORLG00000014177	Oryzias_latipes_ASM223467v1
ENSPMGP00000004397	ENSPMGG00000003715	Periophthalmus_magnuspinnatus
ENSIPUP00000013773	ENSIPUG00000009362	Ictalurus_punctatus
ENSLSDP00000001954	ENSLSDG00000001465	Lonchura_striata_domestica
ENSARWP00000026012	ENSARWG00000017654	Apteryx_rowi
ENSFALP00000014129	ENSFALG00000013537	Ficedula_albicollis
ENSMUNP00000002436	ENSMUNG00000002159	Melopsittacus_undulatus	ENSMUNT00000002885
ENSVVUP00000010028	ENSVVUG00000007417	Vulpes_vulpes
ENSCANP00000035504	ENSCANG00000041431	Colobus_angolensis_palliatus
ENSACIP00000007170	ENSACIG00000005595	Amphilophus_citrinellus
ENSSPAP00000014764	ENSSPAG00000011069	Stegastes_partitus
ENSCCEP00000008490	ENSCCEG00000008651	Cyanistes_caeruleus
ENSCHAP00000001493	ENSCHAG00000000897	Clupea_harengus
ENSJHYP00000023686	ENSJHYG00000017804	Junco_hyemalis	ENSJHYT00000028547
ENSONIP00000020325	ENSONIG00000016135	Oreochromis_niloticus
ENSDCDP00000042949	ENSDCDG00000027455	Denticeps_clupeoides
ENSCAPP00000002579	ENSCAPG00000005540	Cavia_aperea
ENSNBRP00000019791	ENSNBRG00000015191	Neolamprologus_brichardi
Y43F4A.1a.1	WBGene00012796	Caenorhabditis_elegans_strain_N2
ENSTNIP00000004802	ENSTNIG00000002319	Tetraodon_nigroviridis
ENSNLEP00000018986	ENSNLEG00000015638	Nomascus_leucogenys
ENSCGRP00015027685	ENSCGRG00015021003	Cricetulus_griseus_CriGri-PICR
ENSGAFP00000008464	ENSGAFG00000005755	Gambusia_affinis
ENSATEP00000019056	ENSATEG00000013230	Anabas_testudineus
ENSRBIP00000010792	ENSRBIG00000029233	Rhinopithecus_bieti
ENSJJAP00000017615	ENSJJAG00000019098	Jaculus_jaculus
ENSPLAP00000018083	ENSPLAG00000022641	Poecilia_latipinna
ENSPSMP00000009104	ENSPSMG00000006581	Prolemur_simus
ENSDNOP00000027052	ENSDNOG00000045591	Dasypus_novemcinctus
ENSCSEP00000032415	ENSCSEG00000020792	Cynoglossus_semilaevis
MGP_PahariEiJ_P0028750	MGP_PahariEiJ_G0016389	Mus_pahari_strain_PAHARI_EIJ
ENSSLDP00000021123	ENSSLDG00000016495	Seriola_lalandi_dorsalis
ENSUMAP00000004435	ENSUMAG00000003480	Ursus_maritimus
ENSPMJP00000027363	ENSPMJG00000019904	Parus_major
ENSPNYP00000031052	ENSPNYG00000023380	Pundamilia_nyererei
ENSCLAP00000016789	ENSCLAG00000011520	Chinchilla_lanigera
ENSMALP00000017504	ENSMALG00000012191	Monopterus_albus
ENSDNVP00000023816	ENSDNVG00000016516	Dromaius_novaehollandiae
ENSOARP00000021751	ENSOARG00000020253	Ovis_aries
ENSMAMP00000024730	ENSMAMG00000016624	Mastacembelus_armatus
ENSCAFP00020004130	ENSCAFG00020003363	Canis_lupus_dingo
ENSMUGP00000021075	ENSMUGG00000017742	Meriones_unguiculatus
ENSKMAP00000026804	ENSKMAG00000019876	Kryptolebias_marmoratus
ENSPTEP00000027420	ENSPTEG00000027260	Piliocolobus_tephrosceles
ENSBIXP00000038800	ENSBIXG00000022704	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOCUP00000001069	ENSOCUG00000001233	Oryctolagus_cuniculus
ENSORLP00020005546	ENSORLG00020006373	Oryzias_latipes_ASM223471v1
ENSNVIP00000016062	ENSNVIG00000012494	Neovison_vison
ENSMPUP00000004096	ENSMPUG00000004130	Mustela_putorius_furo
ENSTTRP00000015442	ENSTTRG00000016293	Tursiops_truncatus
ENSPANP00000019151	ENSPANG00000025303	Papio_anubis
ENSMMMP00000009648	ENSMMMG00000008588	Marmota_marmota_marmota
ENSP00000410926	ENSG00000185621	Homo_sapiens
ENSLCRP00005030195	ENSLCRG00005012009	Larimichthys_crocea
ENSRROP00000008007	ENSRROG00000028339	Rhinopithecus_roxellana
ENSMLUP00000009840	ENSMLUG00000010788	Myotis_lucifugus
ENSGMOP00000004954	ENSGMOG00000004647	Gadus_morhua
ENSACAP00000009593	ENSACAG00000009772	Anolis_carolinensis	ENSACAT00000009790
ENSPFOP00000000492	ENSPFOG00000000411	Poecilia_formosa
ENSCGRP00001007564	ENSCGRG00001009959	Cricetulus_griseus_CHOK1GS_HDv1
ENSPKIP00000038288	ENSPKIG00000016041	Paramormyrops_kingsleyae
ENSGALP00000019687	ENSGALG00000012067	Gallus_gallus
ENSOPRP00000003480	ENSOPRG00000003771	Ochotona_princeps
ENSLCAP00010042085	ENSLCAG00010019667	Lates_calcarifer
ENSBIXP00005002884	ENSBIXG00005009194	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCATP00000034095	ENSCATG00000039980	Cercocebus_atys
ENSSMAP00000024273	ENSSMAG00000014840	Scophthalmus_maximus
ENSTGEP00000034502	ENSTGEG00000027500	Theropithecus_gelada
ENSCABP00000009888	ENSCABG00000007389	Chelonoidis_abingdonii
ENSELUP00000011152	ENSELUG00000011558	Esox_lucius
ENSUAMP00000028289	ENSUAMG00000021872	Ursus_americanus
ENSBMUP00000033918	ENSBMUG00000025277	Bos_mutus
