ENSCGRP00015007403	ENSCGRG00015005777	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000026299	ENSCGRG00000019357	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001009127	ENSCGRG00001011281	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000034464	ENSPEMG00000029030	Peromyscus_maniculatus_bairdii
ENSMSIP00000029407	ENSMSIG00000024714	Mus_spicilegus
ENSMUSP00000151386	ENSMUSG00000048356	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0050302	MGP_SPRETEiJ_G0023703	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0048312	MGP_CAROLIEiJ_G0022784	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021297	MGP_PahariEiJ_G0014281	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017604	ENSRNOG00000013192	Rattus_norvegicus
ENSMUGP00000009777	ENSMUGG00000008708	Meriones_unguiculatus
ENSHGLP00000028008	ENSHGLG00000020138	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027115	ENSHGLG00100020136	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016693	ENSFDAG00000005309	Fukomys_damarensis
ENSCAPP00000010346	ENSCAPG00000011631	Cavia_aperea
ENSCPOP00000005445	ENSCPOG00000006032	Cavia_porcellus
ENSCCNP00000023010	ENSCCNG00000022623	Castor_canadensis
ENSUPAP00010022027	ENSUPAG00010017514	Urocitellus_parryii
ENSSTOP00000023912	ENSSTOG00000001202	Ictidomys_tridecemlineatus
ENSSDAP00000002702	ENSSDAG00000002599	Spermophilus_dauricus
ENSMMMP00000022058	ENSMMMG00000019408	Marmota_marmota_marmota
ENSOCUP00000025552	ENSOCUG00000016681	Oryctolagus_cuniculus
ENSOPRP00000002368	ENSOPRG00000002582	Ochotona_princeps
ENSPSMP00000005744	ENSPSMG00000004372	Prolemur_simus
ENSOGAP00000016916	ENSOGAG00000024189	Otolemur_garnettii
ENSP00000305469	ENSG00000197887	Homo_sapiens
ENSPPAP00000006332	ENSPPAG00000024880	Pan_paniscus
ENSPPYP00000003741	ENSPPYG00000003257	Pongo_abelii
ENSPTRP00000006347	ENSPTRG00000003676	Pan_troglodytes
ENSPPAP00000006991	ENSPPAG00000026039	Pan_paniscus
ENSP00000485156	ENSG00000280204	Homo_sapiens
ENSPPYP00000003740	ENSPPYG00000003256	Pongo_abelii
ENSNLEP00000023174	ENSNLEG00000013015	Nomascus_leucogenys
ENSTGEP00000025992	ENSTGEG00000020934	Theropithecus_gelada
ENSMMUP00000068006	ENSMMUG00000062872	Macaca_mulatta
ENSCSAP00000018698	ENSCSAG00000019188	Chlorocebus_sabaeus
ENSPTEP00000031061	ENSPTEG00000030119	Piliocolobus_tephrosceles
ENSCJAP00000015577	ENSCJAG00000008467	Callithrix_jacchus
ENSSBOP00000002928	ENSSBOG00000014860	Saimiri_boliviensis_boliviensis
ENSSSCP00000013997	ENSSSCG00000041067	Sus_scrofa_strain_reference
ENSSSCP00000013990	ENSSSCG00000046773	Sus_scrofa_strain_reference
ENSVPAP00000009134	ENSVPAG00000009818	Vicugna_pacos
ENSVPAP00000002184	ENSVPAG00000002363	Vicugna_pacos
ENSMLUP00000016483	ENSMLUG00000017201	Myotis_lucifugus
ENSPVAP00000005437	ENSPVAG00000005752	Pteropus_vampyrus
ENSBIXP00005041715	ENSBIXG00005024844	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000012992	ENSBIXG00000002177	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005041609	ENSBIXG00005024703	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000013024	ENSBIXG00000018023	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000025156	ENSBMUG00000018888	Bos_mutus
ENSBMUP00000004443	ENSBMUG00000003493	Bos_mutus
ENSBTAP00000052703	ENSBTAG00000040150	Bos_taurus
ENSBBBP00000015976	ENSBBBG00000023809	Bison_bison_bison
ENSEEUP00000010183	ENSEEUG00000011193	Erinaceus_europaeus
ENSAMEP00000015437	ENSAMEG00000014661	Ailuropoda_melanoleuca
ENSUAMP00000033062	ENSUAMG00000025202	Ursus_americanus
ENSMPUP00000018746	ENSMPUG00000018866	Mustela_putorius_furo
ENSVVUP00000023266	ENSVVUG00000017056	Vulpes_vulpes
ENSFCAP00000061482	ENSFCAG00000022562	Felis_catus
ENSEASP00005002478	ENSEASG00005001936	Equus_asinus_asinus
ENSECAP00000033918	ENSECAG00000034688	Equus_caballus
ENSECAP00000033606	ENSECAG00000034864	Equus_caballus
ENSEASP00005002469	ENSEASG00005001930	Equus_asinus_asinus
ENSECAP00000005053	ENSECAG00000039161	Equus_caballus
ENSEASP00005002438	ENSEASG00005001915	Equus_asinus_asinus
ENSLAFP00000024741	ENSLAFG00000029457	Loxodonta_africana
ENSLAFP00000023661	ENSLAFG00000028338	Loxodonta_africana
ENSLAFP00000023432	ENSLAFG00000028200	Loxodonta_africana
ENSLAFP00000018685	ENSLAFG00000027023	Loxodonta_africana
ENSLAFP00000021452	ENSLAFG00000031779	Loxodonta_africana
ENSLAFP00000027901	ENSLAFG00000026598	Loxodonta_africana
ENSLAFP00000028158	ENSLAFG00000027159	Loxodonta_africana
ENSCHOP00000010236	ENSCHOG00000011586	Choloepus_hoffmanni
ENSDNOP00000017492	ENSDNOG00000017827	Dasypus_novemcinctus
ENSMEUP00000010986	ENSMEUG00000012070	Notamacropus_eugenii
ENSVURP00010008119	ENSVURG00010006280	Vombatus_ursinus
ENSMODP00000025163	ENSMODG00000020130	Monodelphis_domestica
ENSMODP00000043199	ENSMODG00000050047	Monodelphis_domestica
ENSMODP00000049640	ENSMODG00000008894	Monodelphis_domestica
ENSSHAP00000019499	ENSSHAG00000016562	Sarcophilus_harrisii
