ENSMUSP00000043691	ENSMUSG00000022360	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000018649	ENSMSIG00000015754	Mus_spicilegus	ENSMSIT00000023558
MGP_SPRETEiJ_P0040059	MGP_SPRETEiJ_G0020708	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0038268	MGP_CAROLIEiJ_G0019811	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041643	MGP_PahariEiJ_G0019821	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008508	ENSRNOG00000025604	Rattus_norvegicus
ENSMUGP00000010618	ENSMUGG00000009278	Meriones_unguiculatus
ENSCGRP00001000081	ENSCGRG00001000084	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009301	ENSCGRG00015007110	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024756	ENSMAUG00000021506	Mesocricetus_auratus
ENSPEMP00000027974	ENSPEMG00000023628	Peromyscus_maniculatus_bairdii
ENSMOCP00000024636	ENSMOCG00000020981	Microtus_ochrogaster
ENSCPOP00000007098	ENSCPOG00000007885	Cavia_porcellus
ENSMLUP00000013886	ENSMLUG00000015236	Myotis_lucifugus
ENSSPUP00000002357	ENSSPUG00000001803	Sphenodon_punctatus
ENSPTEP00000019187	ENSPTEG00000020551	Piliocolobus_tephrosceles
ENSPTEP00000005499	ENSPTEG00000006374	Piliocolobus_tephrosceles
ENSPTEP00000012719	ENSPTEG00000014264	Piliocolobus_tephrosceles
ENSPTEP00000012663	ENSPTEG00000014212	Piliocolobus_tephrosceles
ENSPTEP00000003339	ENSPTEG00000003999	Piliocolobus_tephrosceles
ENSPTEP00000005069	ENSPTEG00000005897	Piliocolobus_tephrosceles
ENSSDUP00000015847	ENSSDUG00000011569	Seriola_dumerili
ENSCGOP00000021201	ENSCGOG00000010027	Cottoperca_gobio
ENSLOCP00000011342	ENSLOCG00000009291	Lepisosteus_oculatus
ENSCINP00000018316	ENSCING00000009019	Ciona_intestinalis
YDL126C_mRNA	YDL126C	Saccharomyces_cerevisiae_strain_S288C
