ENSCGOP00000037794	ENSCGOG00000017370	Cottoperca_gobio
ENSLCRP00005021488	ENSLCRG00005008712	Larimichthys_crocea
ENSTRUP00000052309	ENSTRUG00000025933	Takifugu_rubripes
ENSSDUP00000000318	ENSSDUG00000000294	Seriola_dumerili
ENSSMAP00000011935	ENSSMAG00000007353	Scophthalmus_maximus
ENSMAMP00000032333	ENSMAMG00000021743	Mastacembelus_armatus
ENSMMOP00000010119	ENSMMOG00000007819	Mola_mola
ENSCSEP00000009303	ENSCSEG00000005969	Cynoglossus_semilaevis
ENSLBEP00000027283	ENSLBEG00000020707	Labrus_bergylta
ENSPLAP00000021821	ENSPLAG00000005872	Poecilia_latipinna
ENSPMEP00000030844	ENSPMEG00000017574	Poecilia_mexicana
ENSPREP00000033678	ENSPREG00000022821	Poecilia_reticulata
ENSFHEP00000006024	ENSFHEG00000007039	Fundulus_heteroclitus
ENSCVAP00000008980	ENSCVAG00000010894	Cyprinodon_variegatus
ENSORLP00000032791	ENSORLG00000027478	Oryzias_latipes_ASM223467v1
ENSORLP00020033067	ENSORLG00020018906	Oryzias_latipes_ASM223471v1
ENSLCAP00010036412	ENSLCAG00010017062	Lates_calcarifer
ENSBSLP00000050068	ENSBSLG00000023794	Betta_splendens
ENSSPAP00000009350	ENSSPAG00000007122	Stegastes_partitus
ENSPRNP00000021078	ENSPRNG00000010922	Parambassis_ranga
ENSHHUP00000032931	ENSHHUG00000020837	Hucho_hucho
ENSAMXP00005018544	ENSAMXG00005009642	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000022798	ENSPNAG00000007351	Pygocentrus_nattereri
ENSEEEP00000051482	ENSEEEG00000024170	Electrophorus_electricus
ENSIPUP00000008058	ENSIPUG00000005543	Ictalurus_punctatus
ENSMALP00000004320	ENSMALG00000003138	Monopterus_albus
ENSHCOP00000024189	ENSHCOG00000013325	Hippocampus_comes
ENSSLDP00000026389	ENSSLDG00000020518	Seriola_lalandi_dorsalis
ENSACIP00000027429	ENSACIG00000021241	Amphilophus_citrinellus
ENSHBUP00000007455	ENSHBUG00000008953	Haplochromis_burtoni
ENSAPEP00000018481	ENSAPEG00000013190	Amphiprion_percula
ENSAPOP00000013326	ENSAPOG00000016131	Acanthochromis_polyacanthus
ENSCHAP00000030761	ENSCHAG00000014747	Clupea_harengus
ENSELUP00000011389	ENSELUG00000011781	Esox_lucius
ENSPKIP00000039143	ENSPKIG00000016618	Paramormyrops_kingsleyae
