ENSPVIP00000018133	ENSPVIG00000013880	Pogona_vitticeps	ENSPVIT00000022551
ENSACAP00000019661	ENSACAG00000028065	Anolis_carolinensis	ENSACAT00000026241
ENSSMRP00000001631	ENSSMRG00000001420	Salvator_merianae
ENSSPUP00000015443	ENSSPUG00000011920	Sphenodon_punctatus
ENSCPUP00000000065	ENSCPUG00000000078	Calidris_pugnax
ENSCPGP00000000343	ENSCPGG00000000273	Calidris_pygmaea
ENSMUNP00000004222	ENSMUNG00000003518	Melopsittacus_undulatus
ENSTGUP00000011223	ENSTGUG00000010886	Taeniopygia_guttata
ENSLSDP00000003682	ENSLSDG00000002824	Lonchura_striata_domestica
ENSFALP00000013429	ENSFALG00000012866	Ficedula_albicollis
ENSZALP00000013443	ENSZALG00000011191	Zonotrichia_albicollis
ENSJHYP00000020087	ENSJHYG00000015251	Junco_hyemalis
ENSSCAP00000003719	ENSSCAG00000003075	Serinus_canaria
ENSPMJP00000010018	ENSPMJG00000007955	Parus_major
ENSCCEP00000015535	ENSCCEG00000014702	Cyanistes_caeruleus
ENSLCOP00000023328	ENSLCOG00000016365	Lepidothrix_coronata
ENSMVIP00005024382	ENSMVIG00005017122	Manacus_vitellinus
ENSCJPP00005010119	ENSCJPG00005008861	Coturnix_japonica
ENSGALP00000031140	ENSGALG00000013865	Gallus_gallus
ENSMGAP00000013716	ENSMGAG00000013003	Meleagris_gallopavo
ENSNMEP00000026040	ENSNMEG00000022005	Numida_meleagris
ENSABRP00000012341	ENSABRG00000011074	Anser_brachyrhynchus
ENSAPLP00000001484	ENSAPLG00000002012	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000018628	ENSAOWG00000012685	Apteryx_owenii
ENSAHAP00000004291	ENSAHAG00000003345	Apteryx_haastii
ENSARWP00000025843	ENSARWG00000017557	Apteryx_rowi
ENSDNVP00000012405	ENSDNVG00000008756	Dromaius_novaehollandiae
ENSNPEP00000009756	ENSNPEG00000007312	Nothoprocta_perdicaria
ENSCPRP00005002147	ENSCPRG00005001587	Crocodylus_porosus
ENSCABP00000014254	ENSCABG00000010642	Chelonoidis_abingdonii
ENSGAGP00000032260	ENSGAGG00000023094	Gopherus_agassizii
ENSCPBP00000024634	ENSCPBG00000017540	Chrysemys_picta_bellii
ENSPSIP00000017584	ENSPSIG00000015602	Pelodiscus_sinensis
ENSSHAP00000000276	ENSSHAG00000000241	Sarcophilus_harrisii
ENSMODP00000055686	ENSMODG00000017421	Monodelphis_domestica
ENSVURP00010004368	ENSVURG00010003490	Vombatus_ursinus
ENSPCIP00000036934	ENSPCIG00000027248	Phascolarctos_cinereus
