ENSP00000369440	ENSG00000121236	Homo_sapiens
ENSOGAP00000011779	ENSOGAG00000013145	Otolemur_garnettii
ENSMICP00000004661	ENSMICG00000005107	Microcebus_murinus
ENSSBOP00000033502	ENSSBOG00000032904	Saimiri_boliviensis_boliviensis
ENSCCAP00000036795	ENSCCAG00000036296	Cebus_capucinus_imitator
ENSMUSP00000095782	ENSMUSG00000072244	Mus_musculus_strain_reference_(CL57BL6)
ENSUPAP00010023519	ENSUPAG00010018642	Urocitellus_parryii
ENSSSCP00000028656	ENSSSCG00000032133	Sus_scrofa_strain_reference
ENSCATP00000033652	ENSCATG00000039805	Cercocebus_atys
ENSFCAP00000022912	ENSFCAG00000028634	Felis_catus
ENSCJAP00000037389	ENSCJAG00000020117	Callithrix_jacchus
ENSBIXP00000034612	ENSBIXG00000017653	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMNEP00000030568	ENSMNEG00000038705	Macaca_nemestrina
ENSBBBP00000026833	ENSBBBG00000022905	Bison_bison_bison
ENSCAPP00000007209	ENSCAPG00000009205	Cavia_aperea
ENSECAP00000024098	ENSECAG00000034308	Equus_caballus
ENSPANP00000007232	ENSPANG00000008345	Papio_anubis
ENSTGEP00000026802	ENSTGEG00000021584	Theropithecus_gelada
ENSMFAP00000027550	ENSMFAG00000045179	Macaca_fascicularis
ENSAMEP00000014117	ENSAMEG00000013410	Ailuropoda_melanoleuca	ENSAMET00000014709
MGP_PahariEiJ_P0018060	MGP_PahariEiJ_G0013400	Mus_pahari_strain_PAHARI_EIJ
ENSANAP00000041991	ENSANAG00000038271	Aotus_nancymaae
ENSANAP00000002936	ENSANAG00000019342	Aotus_nancymaae
ENSCANP00000036771	ENSCANG00000042055	Colobus_angolensis_palliatus
ENSMMMP00000014951	ENSMMMG00000013325	Marmota_marmota_marmota
ENSCPOP00000026928	ENSCPOG00000030803	Cavia_porcellus
ENSDORP00000008391	ENSDORG00000008938	Dipodomys_ordii
ENSMLEP00000004310	ENSMLEG00000019382	Mandrillus_leucophaeus
ENSUMAP00000034236	ENSUMAG00000024637	Ursus_maritimus	ENSUMAT00000040504
ENSNLEP00000042301	ENSNLEG00000029983	Nomascus_leucogenys
ENSNVIP00000022820	ENSNVIG00000017760	Neovison_vison
ENSMMUP00000017730	ENSMMUG00000013490	Macaca_mulatta
ENSMSIP00000035959	ENSMSIG00000029929	Mus_spicilegus
ENSBMUP00000000339	ENSBMUG00000000325	Bos_mutus
ENSJJAP00000001417	ENSJJAG00000001536	Jaculus_jaculus
MGP_SPRETEiJ_P0084595	MGP_SPRETEiJ_G0031292	Mus_spretus_strain_SPRET/EiJ
ENSPTEP00000013005	ENSPTEG00000014596	Piliocolobus_tephrosceles
ENSNGAP00000020485	ENSNGAG00000019952	Nannospalax_galili
ENSPEMP00000026913	ENSPEMG00000022867	Peromyscus_maniculatus_bairdii
MGP_CAROLIEiJ_P0081234	MGP_CAROLIEiJ_G0030184	Mus_caroli_strain_CAROLI_EIJ
ENSDNOP00000029074	ENSDNOG00000038027	Dasypus_novemcinctus
ENSCHIP00000014180	ENSCHIG00000015317	Capra_hircus
ENSBTAP00000015712	ENSBTAG00000048999	Bos_taurus
ENSCGRP00015021017	ENSCGRG00015016040	Cricetulus_griseus_CriGri-PICR
ENSCLAP00000023834	ENSCLAG00000016363	Chinchilla_lanigera
ENSMAUP00000002518	ENSMAUG00000002130	Mesocricetus_auratus
ENSMOCP00000011391	ENSMOCG00000011634	Microtus_ochrogaster
ENSOCUP00000045325	ENSOCUG00000036859	Oryctolagus_cuniculus
ENSCGRP00000012085	ENSCGRG00000008796	Cricetulus_griseus_CriGri_1.0
ENSLAFP00000028180	ENSLAFG00000005775	Loxodonta_africana
ENSCGRP00015002453	ENSCGRG00015001992	Cricetulus_griseus_CriGri-PICR
ENSRROP00000000719	ENSRROG00000002499	Rhinopithecus_roxellana
ENSCGRP00001003709	ENSCGRG00001004562	Cricetulus_griseus_CHOK1GS_HDv1
ENSRNOP00000023043	ENSRNOG00000017147	Rattus_norvegicus
ENSVVUP00000021336	ENSVVUG00000015682	Vulpes_vulpes
ENSEASP00005001750	ENSEASG00005001398	Equus_asinus_asinus
ENSPTIP00000001413	ENSPTIG00000003416	Panthera_tigris_altaica
ENSPPRP00000004184	ENSPPRG00000000397	Panthera_pardus
ENSSDAP00000001210	ENSSDAG00000001211	Spermophilus_dauricus
ENSUAMP00000012382	ENSUAMG00000010034	Ursus_americanus	ENSUAMT00000013914
ENSCCNP00000027863	ENSCCNG00000026914	Castor_canadensis
ENSMPUP00000009974	ENSMPUG00000010049	Mustela_putorius_furo
ENSPSMP00000000966	ENSPSMG00000000698	Prolemur_simus
ENSTSYP00000020287	ENSTSYG00000037265	Carlito_syrichta
ENSHGLP00000012406	ENSHGLG00000008863	Heterocephalus_glaber_HetGla_female_1.0
ENSCAFP00020011345	ENSCAFG00020009173	Canis_lupus_dingo
ENSHGLP00100023866	ENSHGLG00100017526	Heterocephalus_glaber_HetGla_1.0
ENSSTOP00000022671	ENSSTOG00000024836	Ictidomys_tridecemlineatus
ENSCGRP00015024989	ENSCGRG00015018945	Cricetulus_griseus_CriGri-PICR
ENSPCOP00000006249	ENSPCOG00000014255	Propithecus_coquereli
ENSCAFP00000053137	ENSCAFG00000048998	Canis_lupus_familiaris
ENSRBIP00000023871	ENSRBIG00000035845	Rhinopithecus_bieti
ENSBIXP00005039585	ENSBIXG00005022077	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSFDAP00000009986	ENSFDAG00000006590	Fukomys_damarensis
ENSMUGP00000024216	ENSMUGG00000020247	Meriones_unguiculatus
ENSODEP00000014446	ENSODEG00000010687	Octodon_degus
